,Env,Contribution,Region
C002,Senior,0.51,Italy
C002,Senior,0.55,Italy
C002,Senior,0.53,Italy
C002,Senior,0.5,Italy
C002,Senior,0.59,Italy
C002,Senior,0.59,Italy
C002,Senior,0.64,Italy
C002,Senior,0.61,Italy
C002,Senior,0.61,Italy
C002,Senior,0.69,Italy
C002,Senior,0.62,Italy
C002,Senior,0.55,Italy
C002,Senior,0.64,Italy
C002,Senior,0.62,Italy
C002,Young,0.49,Italy
C002,Young,0.45,Italy
C002,Young,0.47,Italy
C002,Young,0.5,Italy
C002,Young,0.41,Italy
C002,Young,0.41,Italy
C002,Young,0.36,Italy
C002,Young,0.39,Italy
C002,Young,0.39,Italy
C002,Young,0.31,Italy
C002,Young,0.38,Italy
C002,Young,0.45,Italy
C002,Young,0.36,Italy
C002,Young,0.38,Italy
C003,Senior,0.33,Italy
C003,Senior,0.39,Italy
C003,Senior,0.32,Italy
C003,Senior,0.41,Italy
C003,Senior,0.35,Italy
C003,Senior,0.45,Italy
C003,Senior,0.31,Italy
C003,Senior,0.45,Italy
C003,Senior,0.35,Italy
C003,Senior,0.39,Italy
C003,Senior,0.35,Italy
C003,Senior,0.46,Italy
C003,Senior,0.38,Italy
C003,Senior,0.33,Italy
C003,Senior,0.33,Italy
C003,Senior,0.34,Italy
C003,Senior,0.43,Italy
C003,Senior,0.4,Italy
C003,Senior,0.4,Italy
C003,Senior,0.27,Italy
C003,Senior,0.38,Italy
C003,Young,0.67,Italy
C003,Young,0.61,Italy
C003,Young,0.68,Italy
C003,Young,0.59,Italy
C003,Young,0.65,Italy
C003,Young,0.55,Italy
C003,Young,0.69,Italy
C003,Young,0.55,Italy
C003,Young,0.65,Italy
C003,Young,0.61,Italy
C003,Young,0.65,Italy
C003,Young,0.54,Italy
C003,Young,0.62,Italy
C003,Young,0.67,Italy
C003,Young,0.67,Italy
C003,Young,0.66,Italy
C003,Young,0.57,Italy
C003,Young,0.6,Italy
C003,Young,0.6,Italy
C003,Young,0.73,Italy
C003,Young,0.62,Italy
C007,Senior,0.65,Italy
C007,Senior,0.71,Italy
C007,Senior,0.56,Italy
C007,Senior,0.62,Italy
C007,Senior,0.52,Italy
C007,Senior,0.64,Italy
C007,Senior,0.59,Italy
C007,Senior,0.61,Italy
C007,Senior,0.56,Italy
C007,Senior,0.54,Italy
C007,Senior,0.55,Italy
C007,Senior,0.66,Italy
C007,Senior,0.57,Italy
C007,Senior,0.61,Italy
C007,Senior,0.58,Italy
C007,Senior,0.52,Italy
C007,Senior,0.56,Italy
C007,Senior,0.6,Italy
C007,Senior,0.61,Italy
C007,Senior,0.58,Italy
C007,Senior,0.65,Italy
C007,Senior,0.61,Italy
C007,Senior,0.61,Italy
C007,Senior,0.59,Italy
