SampleID,Age
9,21
10,21
11,20
12,20
13,21
14,20
15,23
18,20
21,21
22,21
23,19
24,20
25,22
26,20
27,21
28,19
29,20
31,22
32,20
33,21
34,23
35,20
37,21
39,23
40,21
41,20
42,23
43,20
44,22
46,22
47,22
48,20
50,20
51,19
52,21
54,20
55,24
56,19
57,20
58,20
59,20
60,20
61,21
62,21
63,20
64,20
65,20
66,20
67,20
70,21
71,19
72,21
73,20
76,24
77,20
78,20
80,20
83,20
84,22
85,20
86,20
87,20
88,20
89,21
90,21
91,24
93,20
95,21
96,20
97,20
98,20
99,20
100,19
101,21
102,24
103,24
104,20
105,21
106,20
107,20
108,19
109,20
110,23
111,21
113,21
114,21
116,20
117,19
118,19
119,20
120,20
121,21
124,20
125,21
126,19
128,19
129,22
130,20
141,19
142,21
151,20
152,20
153,20
154,21
156,21
157,21
158,22
159,19
160,20
161,19
162,19
163,23
164,20
165,19
167,19
169,21
170,20
171,20
172,23
173,19
175,23
176,21
177,20
178,19
180,21
181,19
182,21
183,21
184,21
186,20
188,20
190,20
191,19
192,23
193,24
194,19
195,19
196,21
197,24
198,21
199,21
200,20
201,20
202,19
203,22
206,22
207,21
209,19
210,20
211,21
213,19
214,19
215,20
217,22
219,19
221,23
222,20
223,21
224,21
225,21
226,19
227,22
228,22
229,20
230,19
231,21
232,20
233,23
236,20
237,19
239,23
241,21
242,20
243,21
245,24
246,23
247,23
248,20
252,19
253,21
254,20
255,22
256,20
257,19
258,22
259,21
260,21
261,20
262,19
264,20
265,23
266,24
267,21
268,20
269,20
270,23
271,20
272,19
273,23
276,19
277,19
278,22
280,20
282,20
283,21
284,19
286,23
287,24
288,19
289,22
22X,20
95x,22
