,Env
SRR5610096,Young
SRR3680059,Elder
SRR5610014,Elder
SRR5602080,Elder
SRR5610008,Elder
SRR5802300,Young
SRR3680064,Elder
SRR5602027,Elder
SRR5610073,Young
SRR5602246,Elder
SRR5602105,Young
SRR5802279,Young
SRR5602155,Centenarian
SRR5580648,Young
SRR5610077,Young
SRR5802253,Young
SRR5602046,Young
SRR5610090,Young
SRR5602310,Elder
SRR5610042,Young
SRR5610004,Young
SRR3679974,Elder
SRR5802323,Young
SRR5602182,Centenarian
SRR5610132,Young
SRR5802389,Young
SRR5602179,Centenarian
SRR5602242,Young
SRR5580467,Young
SRR5610030,Young
SRR5802187,Young
SRR5602205,Elder
SRR5610161,Young
SRR5602137,Elder
SRR5602312,Elder
SRR5802310,Young
SRR5580544,Young
SRR5802281,Young
SRR5602180,Elder
SRR5602233,Elder
SRR5802381,Young
SRR5602191,Elder
SRR5602002,Young
SRR5601917,Young
SRR5602008,Elder
SRR5601910,Young
SRR5802236,Young
SRR5802272,Young
SRR5580543,Young
SRR5802400,Young
SRR5602052,Young
SRR5602091,Young
SRR5609957,Young
SRR5802285,Young
SRR5580498,Young
SRR5610001,Young
SRR5610071,Young
SRR5602339,Elder
SRR5802277,Young
SRR5602189,Elder
SRR5601945,Young
SRR5580500,Young
SRR3680068,Elder
SRR5602226,Elder
SRR5601998,Young
SRR5602244,Young
SRR5602354,Elder
SRR5610142,Young
SRR5609951,Young
SRR5580583,Young
SRR5609971,Young
SRR5602121,Elder
SRR5580499,Young
SRR5802261,Young
SRR5609966,Young
SRR5610163,Young
SRR5802377,Young
SRR5602058,Elder
SRR5609967,Young
SRR5601947,Young
SRR5601995,Elder
SRR5609992,Young
SRR5609985,Young
SRR5610045,Young
SRR3679961,Centenarian
SRR5610037,Young
SRR5602287,Elder
SRR5610055,Young
SRR3679975,Elder
SRR5602113,Young
SRR5802267,Young
SRR5610079,Young
SRR5580619,Young
SRR5802318,Young
SRR5802233,Young
SRR5602199,Elder
SRR5580651,Young
SRR5602084,Young
SRR3679953,Young
SRR5601933,Elder
SRR5609994,Young
SRR5802404,Young
SRR5602167,Elder
SRR5610133,Young
SRR5610068,Young
SRR3679945,Elder
SRR5602308,Young
SRR5802306,Young
SRR5601934,Elder
SRR5601990,Elder
SRR5610075,Young
SRR3680070,Elder
SRR3680018,Young
SRR3679938,Young
SRR5802240,Young
SRR5602248,Elder
SRR5601941,Elder
SRR5602265,Elder
SRR5602252,Elder
SRR5602074,Young
SRR5602014,Elder
SRR5580542,Young
SRR3679932,Young
SRR5802320,Young
SRR5610039,Young
SRR5802228,Young
SRR5602028,Young
SRR5609989,Young
SRR5609991,Young
SRR5602330,Elder
SRR5602068,Young
SRR5602145,Centenarian
SRR3679967,Elder
SRR3680072,Elder
SRR5601994,Elder
SRR5602031,Elder
SRR5602214,Elder
SRR5580537,Young
SRR5610062,Young
SRR5802376,Young
SRR3680080,Elder
SRR5602269,Young
SRR5602060,Elder
SRR5601996,Elder
SRR5580539,Young
SRR3680093,Elder
SRR5802291,Young
SRR5609979,Young
SRR5602011,Elder
SRR5602256,Centenarian
SRR5802188,Young
SRR5610149,Young
SRR5610074,Young
SRR5610019,Young
SRR5802330,Young
SRR5602342,Elder
SRR5802231,Young
SRR5802296,Young
SRR5602341,Elder
SRR5602038,Elder
SRR5610044,Young
SRR5802395,Young
SRR5610164,Young
SRR5610020,Young
SRR5802217,Young
SRR5610066,Young
SRR5802271,Young
SRR5802264,Young
SRR5580541,Young
SRR5802192,Young
SRR5602148,Elder
SRR5609990,Young
SRR5802383,Young
SRR5802213,Young
SRR5602006,Young
SRR5602157,Elder
SRR5802235,Young
SRR5802276,Young
SRR5602169,Elder
SRR5802273,Young
SRR5602094,Elder
SRR5802259,Young
SRR5802218,Young
SRR5610072,Young
SRR3679962,Elder
SRR5602174,Elder
SRR5602278,Elder
SRR5802185,Young
SRR5602093,Elder
SRR5802374,Young
SRR5602302,Elder
SRR5602042,Young
SRR5602089,Young
SRR5580616,Young
SRR3680004,Young
SRR3680021,Young
SRR3680046,Elder
SRR5802216,Young
SRR5580463,Young
SRR5602117,Elder
SRR5602166,Elder
SRR5610122,Young
SRR5610128,Young
SRR5602097,Elder
SRR3679985,Elder
SRR5609953,Young
SRR5602250,Elder
SRR5802345,Young
SRR5610047,Young
SRR5802183,Elder
SRR5802327,Young
SRR5602293,Elder
SRR5602306,Elder
SRR5602081,Young
SRR5802326,Young
SRR5802391,Young
SRR3679988,Elder
SRR5602315,Elder
SRR3680044,Elder
SRR5610109,Young
SRR5602236,Young
