,Env
USygt47.T2.418762,Young
SRR5601948,Young
SRR5802326,Young
SRR5610069,Young
SRR5610072,Young
USygt16.B1.418368,Young
SRR5602104,Young
SRR5802258,Young
SRR5580433,Young
SRR5802394,Young
USygt19.T2.418432,Young
SRR3680092,Young
SRR5580429,Young
SRR5580539,Young
SRR5802281,Young
SRR5610032,Young
SRR5802251,Young
SRR5802379,Young
USinfTw9.1.418845,Young
SRR5609989,Young
SRR5610081,Young
SRR5802262,Young
SRR5610071,Young
USchp3Child.418614,Young
USygt8.T1.418829,Young
SRR5802191,Young
SRR5602344,Young
SRR5602134,Centenarian
S330,Centenarian
SRR5602159,Centenarian
SRR5602085,Young
SRR5802269,Young
SRR5802337,Young
SRR5580619,Young
SRR5602087,Young
SRR5602145,Centenarian
SRR5802330,Young
SRR5580541,Young
SRR5802291,Young
SRR5610113,Young
SRR5609992,Young
SRR5610121,Young
USchp41Infant.418542,Young
USygt20.T2.418500,Young
USygt49.B1.418842,Young
SRR5610044,Young
SRR5580647,Young
SRR5802355,Young
SRR5802257,Young
SRR5610037,Young
SRR5602071,Young
C054,Elder
USchp11Child.418850,Young
SRR5609975,Young
USinfTw2.1.418478,Young
SRR5802237,Young
SRR5610086,Young
SRR5609957,Young
USygt54.T1.418381,Young
USygt12.T2.418790,Young
SRR5602220,Centenarian
SRR5802359,Young
SRR5610034,Young
SRR5580440,Young
SRR5609976,Young
SRR5802230,Young
SRR5802300,Young
SRR5602345,Centenarian
SRR5609991,Young
S100,Centenarian
Y7,Elder
SRR5601952,Young
S260,Centenarian
SRR5802234,Young
SRR5602244,Young
SRR5580650,Young
C012,Centenarian
SRR5610097,Young
SRR5802384,Young
SRR5802261,Young
SRR5802243,Young
USBldChld2.418414,Young
Y6,Elder
SRR5610132,Young
USinfTw7.1.418386,Young
USygt9.B1.418824,Young
SRR5802290,Young
SRR5609988,Young
SRR5802338,Young
SRR5610038,Young
SRR5602090,Young
SRR5802403,Young
SRR5802189,Young
SRR5602333,Centenarian
SRR5802368,Young
S030,Centenarian
SRR5802242,Young
USinfTw21.1.418467,Young
SRR5802216,Young
SRR5802233,Young
USygt29.T2.418768,Young
SRR5602182,Centenarian
SRR5802223,Young
USchp60Mom.418566,Young
SRR5580434,Young
SRR5580537,Young
SRR5580430,Young
SRR5580462,Young
S020,Centenarian
SRR5580503,Young
SRR5602240,Young
SRR5601916,Young
USchp18Child.418782,Young
SRR5802350,Young
SRR5802253,Young
SRR5609967,Young
C003,Elder
SRR5610082,Young
C021,Centenarian
SRR5610083,Young
USygt38.T2.418456,Young
SRR5602269,Young
S220,Centenarian
S110,Centenarian
SRR5610124,Young
SRR5610146,Young
SRR5610035,Young
SRR5802389,Young
SRR5610076,Young
SRR5802263,Young
USygt11.T1.418632,Young
SRR5802217,Young
SRR5802238,Young
SRR5802401,Young
C018,Elder
SRR5802205,Young
SRR5802247,Young
SRR5610070,Young
SRR5802404,Young
Y8,Elder
SRR5602284,Centenarian
SRR5580438,Young
SRR5802231,Young
SRR5602112,Young
SRR5610158,Young
SRR5610129,Young
SRR5609999,Young
USinfTw9.2.418769,Young
USinfTw20.2.418696,Young
K316,Elder
USygt26.T1.418758,Young
USygt7.T1.418622,Young
S240,Centenarian
SRR5610073,Young
SRR5802268,Young
USchp25Child.418345,Young
USygt19.T1.418385,Young
SRR5609994,Young
SRR5610140,Young
S200,Centenarian
SRR5802353,Young
SRR5610068,Young
USygt47.T1.418692,Young
SRR5602168,Centenarian
S080,Centenarian
SRR5802289,Young
SRR5602081,Young
SRR5580652,Young
SRR5602083,Young
SRR5802324,Young
SRR5602069,Young
S010,Centenarian
SRR5602086,Young
USinfTw5.2.418695,Young
SRR5802270,Young
SRR5802380,Young
SRR5802187,Young
SRR5802331,Young
SRR5802210,Young
USygt43.T1.418816,Young
SRR5610127,Young
SRR5610163,Young
S280,Centenarian
USchp33ChildA.418742,Young
SRR5602242,Young
SRR5802306,Young
USinfTw7.2.418463,Young
SRR5610066,Young
SRR5580502,Young
SRR5601964,Young
SRR5802236,Young
USygt16.T1.418527,Young
SRR5610029,Young
SRR5602078,Young
USygt44.B1.418371,Young
SRR5602105,Young
SRR5802246,Young
SRR5802361,Young
SRR5602113,Young
SRR5580464,Young
SRR5610102,Young
USygt6.AS.418353,Young
USygt36.T2.418655,Young
SRR5802358,Young
USBldChld4.418528,Young
C042,Centenarian
SRR5602074,Young
C024,Elder
S180,Centenarian
SRR5580436,Young
SRR5610033,Young
SRR5802352,Young
SRR5802215,Young
USygt49.T2.418670,Young
SRR5602290,Centenarian
USygt3.T2.418807,Young
SRR5610092,Young
SRR5609995,Young
SRR5802277,Young
SRR5610064,Young
SRR5802240,Young
SRR5610001,Young
SRR5609985,Young
Y3,Young
SRR5802212,Young
SRR5610079,Young
USygt31.T1.418408,Young
SRR5602349,Centenarian
USinfTw18.2.418796,Young
K306,Elder
SRR5602236,Young
Y5,Elder
SRR5802284,Young
SRR5580499,Young
SRR5802266,Young
SRR5802274,Young
SRR5802232,Young
SRR5802318,Young
SRR5610031,Young
SRR5610067,Young
SRR5802328,Young
SRR5802357,Young
SRR5580540,Young
USygt42.T1.418811,Young
SRR5610065,Young
USygt14.T1.418853,Young
SRR5610142,Young
SRR5602210,Centenarian
SRR5610117,Young
SRR5802393,Young
SRR5609996,Young
C007,Elder
S210,Centenarian
SRR5802345,Young
S150,Centenarian
SRR5602193,Centenarian
SRR5610089,Young
SRR5602070,Young
USchp36Infant.418576,Young
Y1,Elder
SRR5802327,Young
SRR5602089,Young
SRR5580466,Young
USygt31.T2.418361,Young
SRR5610157,Young
SRR5802386,Young
Y11,Young
SRR5802209,Young
SRR5580428,Young
SRR5802221,Young
SRR5602235,Young
USBldInf3.418459,Young
SRR5580525,Young
SRR5802297,Young
K113,Elder
SRR5610063,Young
SRR5602106,Young
SRR5802376,Young
USygt25.T1.418406,Young
SRR5601909,Young
SRR5610149,Young
SRR5802219,Young
SRR5610120,Young
K108,Elder
SRR5802296,Young
SRR5802265,Young
USBldChld10.418660,Young
USchp50Infant.418380,Young
SRR5602125,Centenarian
USBld1.418516,Young
SRR5802200,Young
SRR5802197,Young
USygt8.T2.418755,Young
SRR5802245,Young
SRR5609993,Young
USygt13.T2.418745,Young
SRR5580463,Young
SRR5580432,Young
SRR5580498,Young
SRR5802206,Young
C048,Elder
SRR5610131,Young
