,Env
K113,Elder
USinfTw2.1.418478,Young
K106,Elder
SRR5602329,Elder
SRR3680078,Elder
USchp11Child.418850,Young
K306,Elder
SRR3680059,Elder
SRR5602070,Young
SRR5601925,Elder
SRR5602038,Elder
SRR5602278,Elder
SRR5580540,Young
SRR3679963,Elder
S320,Centenarian
USchp1Child.418697,Young
SRR5602242,Young
SRR5602230,Elder
SRR5602201,Elder
SRR3680042,Elder
USygt11.T1.418632,Young
SRR5610124,Young
SRR5601932,Elder
SRR5580501,Young
USinfTw19.2.418595,Young
SRR5802214,Young
S290,Centenarian
SRR5610084,Young
SRR5601995,Elder
USygt28.T1.418827,Young
SRR5601929,Elder
SRR3680016,Elder
SRR5602136,Elder
SRR5602076,Elder
SRR5602217,Elder
SRR5602147,Elder
SRR5602236,Young
SRR5602069,Young
SRR5601981,Elder
SRR5602306,Elder
SRR5802297,Young
SRR3680072,Elder
USygt26.T1.418758,Young
SRR5602195,Elder
SRR5602132,Elder
SRR5602171,Elder
SRR5802204,Young
SRR5602008,Elder
SRR3680065,Elder
SRR5802253,Young
USygt21.B1.418713,Young
SRR5610121,Young
USygt13.T1.418495,Young
SRR5609953,Young
SRR5802301,Young
SRR5609992,Young
K119,Elder
SRR5602233,Elder
SRR3679985,Elder
SRR5601965,Elder
SRR5602018,Elder
SRR5602237,Young
USygt16.T2.418435,Young
SRR5802262,Young
SRR5602345,Centenarian
USygt25.T1.418406,Young
USygt19.B1.418817,Young
S330,Centenarian
SRR5610070,Young
USygt17.T2.418720,Young
SRR5602262,Elder
SRR5602125,Centenarian
SRR5602296,Elder
SRR5602140,Elder
SRR5802237,Young
SRR5602071,Young
SRR5602269,Young
SRR3680055,Elder
SRR5609951,Young
SRR5580428,Young
SRR5802263,Young
USygt20.T1.418564,Young
SRR5609999,Young
SRR5601994,Elder
SRR5602321,Elder
SRR5601967,Elder
SRR5602220,Centenarian
SRR5610077,Young
SRR3679990,Elder
USygt25.B2.418685,Young
SRR3680034,Elder
SRR5802318,Young
SRR5580539,Young
SRR3680045,Elder
S050,Centenarian
SRR5602280,Elder
USygt6.T2.418728,Young
SRR5802403,Young
SRR5802375,Young
SRR5802248,Young
SRR5802357,Young
USinfTw3.1.418387,Young
SRR5602226,Elder
SRR5802358,Young
USygt49.B1.418842,Young
SRR5610156,Young
S080,Centenarian
SRR5602133,Elder
SRR5802271,Young
SRR5802213,Young
USygt27.T1.418441,Young
SRR5610112,Young
SRR5802215,Young
SRR5601931,Elder
SRR5580468,Young
SRR5601970,Young
SRR5580500,Young
SRR5602173,Elder
SRR5602060,Elder
SRR5602202,Elder
USygt37.B1.418521,Young
SRR5602155,Centenarian
SRR5802338,Young
SRR5602281,Elder
SRR5602068,Young
SRR5602343,Elder
SRR5802373,Young
SRR5609989,Young
Y11,Young
SRR5802223,Young
SRR5602266,Elder
SRR5610123,Young
USygt20.T2.418500,Young
SRR5802289,Young
SRR3679977,Elder
SRR5802353,Young
SRR5602193,Centenarian
SRR5602075,Young
SRR5601909,Young
SRR5602117,Elder
SRR5802379,Young
SRR5610139,Young
SRR5580427,Young
SRR5802238,Young
SRR5602335,Centenarian
SRR5602314,Elder
SRR5609954,Young
USygt38.T1.418654,Young
SRR5602183,Elder
USinfTw4.2.418348,Young
SRR5580543,Young
SRR3679946,Elder
USinfTw7.1.418386,Young
SRR3680084,Elder
SRR5802281,Young
