,Env
SRR5602080,Elder Jiangsu
SRR5602133,Elder Jiangsu
SRR5602292,Elder Jiangsu
SRR5602194,Elder Jiangsu
SRR5601992,Elder Jiangsu
SRR5602005,Elder Jiangsu
SRR5601995,Elder Jiangsu
SRR5601994,Elder Jiangsu
SRR5602130,Elder Jiangsu
SRR5602154,Elder Jiangsu
SRR5602165,Elder Jiangsu
SRR5602169,Elder Jiangsu
SRR5602174,Elder Jiangsu
SRR5602176,Elder Jiangsu
SRR5602173,Elder Jiangsu
SRR5602197,Elder Jiangsu
SRR5602218,Elder Jiangsu
SRR5602215,Elder Jiangsu
SRR5602258,Elder Jiangsu
SRR5602279,Elder Jiangsu
SRR5602289,Elder Jiangsu
SRR5602293,Elder Jiangsu
SRR5602339,Elder Jiangsu
SRR5602342,Elder Jiangsu
SRR5610012,Elder Jiangsu
SRR5610170,Middle age
SRR5610085,Elder Jiangsu
SRR5802183,Elder Jiangsu
SRR5602294,Elder Jiangsu
SRR5601924,Elder Jiangsu
SRR5602036,Elder Jiangsu
SRR5602136,Elder Jiangsu
SRR5602139,Elder Jiangsu
SRR5602135,Elder Jiangsu
SRR5602260,Centenarian
SRR5602347,Elder Jiangsu
SRR5610008,Elder Jiangsu
SRR5602354,Elder Jiangsu
SRR5602231,Elder Jiangsu
SRR5602152,Elder Jiangsu
SRR5602202,Elder Jiangsu
SRR5602019,Middle age
SRR5602171,Elder Jiangsu
SRR5602155,Centenarian
SRR5602180,Elder Jiangsu
SRR5602210,Centenarian
SRR5602316,Elder Jiangsu
SRR5602022,Elder Jiangsu
SRR5602079,Elder Jiangsu
SRR5602270,Elder Jiangsu
SRR5602327,Elder Jiangsu
SRR5601929,Elder Jiangsu
SRR5601933,Elder Jiangsu
SRR5601965,Elder Jiangsu
SRR5602008,Elder Jiangsu
SRR5602027,Elder Jiangsu
SRR5602116,Elder Jiangsu
SRR5602142,Elder Jiangsu
SRR5602148,Elder Jiangsu
SRR5602158,Elder Jiangsu
SRR5602167,Elder Jiangsu
SRR5602172,Elder Jiangsu
SRR5602203,Elder Jiangsu
SRR5602205,Elder Jiangsu
SRR5602223,Elder Jiangsu
SRR5602225,Elder Jiangsu
SRR5602247,Elder Jiangsu
SRR5602250,Elder Jiangsu
SRR5602252,Elder Jiangsu
SRR5602290,Centenarian
SRR5602329,Elder Jiangsu
SRR5602336,Elder Jiangsu
SRR5602345,Centenarian
SRR5602353,Elder Jiangsu
SRR5601959,Elder Jiangsu
SRR5601967,Elder Jiangsu
SRR5602014,Elder Jiangsu
SRR5602017,Elder Jiangsu
SRR5602018,Elder Jiangsu
SRR5602062,Elder Jiangsu
SRR5602096,Elder Jiangsu
SRR5602076,Elder Jiangsu
SRR5602098,Elder Jiangsu
SRR5602124,Elder Jiangsu
SRR5602134,Centenarian
SRR5602178,Elder Jiangsu
SRR5602183,Elder Jiangsu
SRR5602187,Elder Jiangsu
SRR5602192,Elder Jiangsu
SRR5602196,Elder Jiangsu
SRR5602207,Elder Jiangsu
SRR5602213,Elder Jiangsu
SRR5602220,Centenarian
SRR5602217,Elder Jiangsu
SRR5602248,Elder Jiangsu
SRR5602246,Elder Jiangsu
SRR5602249,Elder Jiangsu
SRR5602253,Elder Jiangsu
SRR5602263,Elder Jiangsu
SRR5602265,Elder Jiangsu
SRR5602262,Elder Jiangsu
SRR5602280,Elder Jiangsu
SRR5602281,Elder Jiangsu
SRR5602286,Elder Jiangsu
SRR5602296,Elder Jiangsu
SRR5602311,Elder Jiangsu
SRR5602310,Elder Jiangsu
SRR5602320,Elder Jiangsu
SRR5602341,Elder Jiangsu
SRR5610011,Elder Jiangsu
SRR5610014,Elder Jiangsu
SRR5602278,Elder Jiangsu
SRR5602204,Elder Jiangsu
SRR5601927,Elder Jiangsu
SRR5601942,Elder Jiangsu
SRR5602016,Centenarian
SRR5602100,Elder Jiangsu
SRR5602117,Elder Jiangsu
SRR5602151,Elder Jiangsu
SRR5602145,Centenarian
SRR5602168,Centenarian
SRR5602191,Elder Jiangsu
SRR5602186,Elder Jiangsu
SRR5602193,Centenarian
SRR5602285,Elder Jiangsu
SRR5602284,Centenarian
SRR5602323,Elder Jiangsu
SRR5602331,Elder Jiangsu
SRR5602332,Elder Jiangsu
SRR5602335,Centenarian
SRR5602337,Elder Jiangsu
SRR5601923,Elder Jiangsu
SRR5601932,Elder Jiangsu
SRR5601990,Elder Jiangsu
SRR5601982,Elder Jiangsu
SRR5602021,Elder Jiangsu
SRR5602026,Elder Jiangsu
SRR5602063,Elder Jiangsu
SRR5602058,Elder Jiangsu
SRR5602035,Elder Jiangsu
SRR5602093,Elder Jiangsu
SRR5602118,Elder Jiangsu
SRR5602121,Elder Jiangsu
SRR5602131,Elder Jiangsu
SRR5602143,Elder Jiangsu
SRR5602147,Elder Jiangsu
SRR5602157,Elder Jiangsu
SRR5602175,Elder Jiangsu
SRR5602181,Elder Jiangsu
SRR5602199,Elder Jiangsu
SRR5602201,Elder Jiangsu
SRR5602224,Elder Jiangsu
SRR5602245,Elder Jiangsu
SRR5602287,Elder Jiangsu
SRR5602313,Elder Jiangsu
SRR5602299,Elder Jiangsu
SRR5602302,Elder Jiangsu
SRR5602315,Elder Jiangsu
SRR5602333,Centenarian
SRR5602338,Elder Jiangsu
SRR5609970,Elder Jiangsu
SRR5602349,Centenarian
SRR5601941,Elder Jiangsu
SRR5601996,Elder Jiangsu
SRR5602012,Elder Jiangsu
SRR5602023,Elder Jiangsu
SRR5602101,Elder Jiangsu
SRR5602132,Elder Jiangsu
SRR5602140,Elder Jiangsu
SRR5602141,Elder Jiangsu
SRR5602153,Elder Jiangsu
SRR5602166,Elder Jiangsu
SRR5602170,Elder Jiangsu
SRR5602179,Centenarian
SRR5602185,Elder Jiangsu
SRR5602184,Elder Jiangsu
SRR5602232,Elder Jiangsu
SRR5602256,Centenarian
SRR5602312,Elder Jiangsu
SRR5602314,Elder Jiangsu
SRR5602328,Elder Jiangsu
SRR5610010,Elder Jiangsu
SRR5601989,Elder Jiangsu
SRR5580413,Middle age
SRR5580649,Middle age
SRR5601926,Elder Jiangsu
SRR5601928,Elder Jiangsu
SRR5601931,Elder Jiangsu
SRR5601925,Elder Jiangsu
SRR5601934,Elder Jiangsu
SRR5601981,Elder Jiangsu
SRR5601985,Elder Jiangsu
SRR5601986,Elder Jiangsu
SRR5601988,Elder Jiangsu
SRR5601983,Elder Jiangsu
SRR5601993,Elder Jiangsu
SRR5602010,Centenarian
SRR5602011,Elder Jiangsu
SRR5602015,Elder Jiangsu
SRR5602020,Elder Jiangsu
SRR5602025,Elder Jiangsu
SRR5602030,Elder Jiangsu
SRR5602031,Elder Jiangsu
SRR5602032,Elder Jiangsu
SRR5602034,Elder Jiangsu
SRR5602038,Elder Jiangsu
SRR5602054,Elder Jiangsu
SRR5602057,Elder Jiangsu
SRR5602060,Elder Jiangsu
SRR5602066,Elder Jiangsu
SRR5602092,Centenarian
SRR5602094,Elder Jiangsu
SRR5602095,Elder Jiangsu
SRR5602097,Elder Jiangsu
SRR5602099,Elder Jiangsu
SRR5602114,Elder Jiangsu
SRR5602115,Elder Jiangsu
SRR5602119,Centenarian
SRR5602122,Elder Jiangsu
SRR5602125,Centenarian
SRR5602123,Elder Jiangsu
SRR5602138,Centenarian
SRR5602159,Centenarian
SRR5602160,Centenarian
SRR5602177,Elder Jiangsu
SRR5602189,Elder Jiangsu
SRR5602195,Elder Jiangsu
SRR5602214,Elder Jiangsu
SRR5602226,Elder Jiangsu
SRR5602227,Middle age
SRR5602233,Elder Jiangsu
SRR5602230,Elder Jiangsu
SRR5602234,Centenarian
SRR5602257,Elder Jiangsu
SRR5602261,Elder Jiangsu
SRR5602264,Elder Jiangsu
SRR5602266,Elder Jiangsu
SRR5602267,Elder Jiangsu
SRR5602271,Elder Jiangsu
SRR5602273,Elder Jiangsu
SRR5602275,Elder Jiangsu
SRR5602297,Elder Jiangsu
SRR5602304,Elder Jiangsu
SRR5602305,Elder Jiangsu
SRR5602308,Middle age
SRR5602317,Elder Jiangsu
SRR5602324,Centenarian
SRR5602330,Elder Jiangsu
SRR5602340,Elder Jiangsu
SRR5602343,Elder Jiangsu
SRR5602351,Centenarian
SRR5602029,Elder Jiangsu
SRR5602137,Elder Jiangsu
SRR5602182,Centenarian
SRR5602198,Elder Jiangsu
SRR5609969,Elder Jiangsu
SRR5602318,Elder Jiangsu
SRR5601984,Elder Jiangsu
SRR5602306,Elder Jiangsu
SRR5602212,Elder Jiangsu
SRR5602255,Elder Jiangsu
SRR5602321,Elder Jiangsu
SRR3679968,Elder Sichuan
SRR3680085,Elder Sichuan
SRR3679967,Elder Sichuan
SRR3679930,Elder Sichuan
SRR3679942,Middle age
SRR3679988,Elder Sichuan
SRR3679991,Elder Sichuan
SRR3680002,Elder Sichuan
SRR3680080,Elder Sichuan
SRR3679965,Elder Sichuan
SRR3679945,Elder Sichuan
SRR3680058,Elder Sichuan
SRR3679961,Centenarian
SRR3679969,Elder Sichuan
SRR3679973,Elder Sichuan
SRR3679996,Elder Sichuan
SRR3680011,Elder Sichuan
SRR3680039,Elder Sichuan
SRR3680078,Elder Sichuan
SRR3680065,Elder Sichuan
SRR3680093,Elder Sichuan
SRR3679963,Elder Sichuan
SRR3679970,Elder Sichuan
SRR3679976,Elder Sichuan
SRR3679977,Elder Sichuan
SRR3679979,Elder Sichuan
SRR3680017,Elder Sichuan
SRR3680018,Middle age
SRR3680028,Elder Sichuan
SRR3680031,Elder Sichuan
SRR3680035,Elder Sichuan
SRR3680043,Elder Sichuan
SRR3680046,Elder Sichuan
SRR3680053,Elder Sichuan
SRR3680068,Elder Sichuan
SRR3680079,Elder Sichuan
SRR3680084,Elder Sichuan
SRR3679962,Elder Sichuan
SRR3679927,Middle age
SRR3680074,Elder Sichuan
SRR3680083,Elder Sichuan
SRR3679971,Elder Sichuan
SRR3679992,Elder Sichuan
SRR3680007,Elder Sichuan
SRR3680044,Elder Sichuan
SRR3680048,Elder Sichuan
SRR3680059,Elder Sichuan
SRR3680063,Elder Sichuan
SRR3680086,Elder Sichuan
SRR3680067,Elder Sichuan
SRR3679989,Elder Sichuan
SRR3679929,Elder Sichuan
SRR3679931,Elder Sichuan
SRR3679936,Elder Sichuan
SRR3679940,Elder Sichuan
SRR3679944,Middle age
SRR3679974,Elder Sichuan
SRR3679975,Elder Sichuan
SRR3679980,Centenarian
SRR3679983,Elder Sichuan
SRR3679987,Elder Sichuan
SRR3679990,Elder Sichuan
SRR3679998,Elder Sichuan
SRR3680016,Elder Sichuan
SRR3680042,Elder Sichuan
SRR3680045,Elder Sichuan
SRR3680049,Elder Sichuan
SRR3680064,Elder Sichuan
SRR3680072,Elder Sichuan
SRR3680070,Elder Sichuan
SRR3680034,Elder Sichuan
SRR3680036,Elder Sichuan
SRR3680055,Elder Sichuan
SRR3679985,Elder Sichuan
SRR3680024,Elder Sichuan
SRR3679946,Elder Sichuan
SRR3679994,Elder Sichuan
S330,Centenarian
S150,Centenarian
C052,Centenarian
K309,Elder Italy
S030,Centenarian
C012,Centenarian
S120,Centenarian
K306,Elder Italy
K119,Elder Italy
C021,Centenarian
S050,Centenarian
S210,Centenarian
C024,Elder Italy
K301,Elder Italy
K108,Elder Italy
K124,Elder Italy
K125,Elder Italy
K316,Elder Italy
S180,Centenarian
K105,Elder Italy
K113,Elder Italy
C011,Elder Italy
S010,Centenarian
C042,Centenarian
C002,Elder Italy
S280,Centenarian
C054,Elder Italy
C010,Centenarian
S290,Centenarian
S260,Centenarian
S220,Centenarian
K304,Elder Italy
S100,Centenarian
C018,Elder Italy
S130,Centenarian
K100,Elder Italy
S200,Centenarian
S240,Centenarian
S020,Centenarian
K106,Elder Italy
S080,Centenarian
S110,Centenarian
S320,Centenarian
C003,Elder Italy
C007,Elder Italy
C048,Elder Italy
TS195.418848,Middle age
USygt4.F.418451,Middle age
TS111.418684,Middle age
TS129.418618,Middle age
USygt1.F.418592,Middle age
USygt14.F.418375,Middle age
USygt18.M.418867,Middle age
USygt22.F.418477,Middle age
USygt23.F.418490,Middle age
USygt26.M.418352,Middle age
USygt29.M.418603,Middle age
USygt30.F.418729,Middle age
USygt37.F.418676,Middle age
USygt37.M.418793,Middle age
USygt45.F.418753,Middle age
USygt46.F.418450,Middle age
USygt46.M.418453,Middle age
USygt47.F.418643,Middle age
USygt50.F.418499,Middle age
USygt50.M.418681,Middle age
USygt51.F.418349,Middle age
USygt51.M.418844,Middle age
USygt39.M.418483,Middle age
USygt1.M.418373,Middle age
USygt22.M.418388,Middle age
USygt45.M.418662,Middle age
Y9,Young
Y12,Young
Y10,Young
Y15,Young
Y7,Middle age
Y14,Middle age
Y8,Young
Y2,Middle age
Y13,Young
Y4,Middle age
Y1,Middle age
Y5,Young
Y6,Middle age
Y3,Young
Y11,Young
SRR3679926,Middle age
SRR3680005,Middle age
SRR3679953,Middle age
SRR3680092,Young
SRR3680004,Middle age
SRR3680008,Middle age
SRR3680021,Middle age
SRR3679937,Middle age
SRR3679932,Middle age
SRR3679933,Middle age
SRR3679938,Middle age
SRR3679948,Middle age
USchp11Child.418850,Young
USinfTw10.2.418840,Young
USchp25Child.418345,Young
USchp25Mom.418780,Middle age
USchp35Mom.418515,Middle age
USchp36Mom.418718,Middle age
USchp36Infant.418576,Young
USinfTw18.2.418796,Young
USBldChld8.418589,Young
USchp33ChildA.418742,Young
USchp60Mom.418566,Young
USchp33ChildB.418578,Young
USchp4Mom.418666,Middle age
USchp41Mom.418801,Young
USBldAdlt6.418795,Middle age
USBldChld4.418528,Young
USBldChld7.418488,Young
USchp18Child.418782,Young
USchp1Mom.418814,Young
USchp1Child.418697,Young
USchp18Mom.418783,Middle age
USchp33Mom.418698,Middle age
USchp35Child.418784,Young
USchp3Mom.418727,Young
USchp4Infant.418833,Middle age
USchp60Child.418703,Young
USinfTw1.2.418491,Young
USBldChld5.418733,Young
USinfTw10.1.418518,Young
USchp3Child.418614,Young
USBldChld2.418414,Young
USchp50Infant.418380,Young
USinfTw17.1.418390,Young
USinfTw1.1.418752,Young
USBldChld10.418660,Young
USinfTw18.1.418513,Young
USBld1.418516,Young
USchp41Infant.418542,Young
USBldInf3.418459,Young
USygt16.B1.418368,Young
USinfTw19.2.418595,Young
USinfTw4.2.418348,Young
USinfTw4.1.418637,Young
