Samples	R38	R16	R183	R214	R39	R58	R201	R140	R28	R126	R144	R143	R149	R221	R175	R250	R83	R88	R223	R178	R212	R148	R96	R82	R161	R257	R137	R150	R238	R177	R130	R179	R68	R202	R77	R86	R106	R190	R243	R216	R70	R127	R45	R229	R224	R114	R111	R170	R26	R240	R113	R108	R66	R185	R119	R220	R71	R207	R87	R110	R159	R157	R215	R10	R194	R184	R239	R85	R213	R218	R153	R62	R21	R160	R134	R237	R204	R12	R217	R89	R168	R131	R155	R35	R209	R187	R37	R244	R128	R94	R118	R25	R234	R231	R167	R245	R121	R75	R117	R186	R188	R17	R181	R236	R219	R196	R205	R23	R65	R147	R256	R129	R226	R120	R136	R164	R189	R92	R78	R252	R235	R145	R163	R27	R254	R79	R191	R115	R227	R154	R101	R255	R46	R222	R97	R105	R242	R180	R102	R172	R230	R171	R233	R55	R228	R151	R169	R211	R14	R192	R142	R107	R173	R93	R40	R49	R13	R248	R98	R74	R132	R210	R61	R232	R80	R44	R100	R182	R152	R67	R135	R156	R225	R34	R109	R103	R52	R251	R195	R133	R203	R158	R253	R193	R47	R197	R99	R64	R76	R247	R165	R176	R53	R166	R104	R141	R174	R51
k__Bacteria;p__Proteobacteria;c__Enterobacteriales;o__Gammaproteobacteria;f__Enterobacteriaceae;g__Escherichia-Shigella;s__	66	448	338	10963	3201	789	77	1897	43230	102	2658	9882	344	206	253	1036	326	356	182	32	74	7463	234	44	5444	365	14566	4571	607	22859	12623	137	8407	121	1358	12292	25262	2063	1321	266	125	31	672	354	4895	719	117	194	744	101	54	36767	683	138	671	37	17167	731	19	887	130	835	106	7374	193	702	19255	189	267	8689	23396	31	16863	137	2008	667	48	741	639	101	22230	151	193	6329	439	10	92	37	135	7380	4064	2011	933	267	9544	79	1111	1078	1346	222	246	1325	215	305	96	88	113	1460	642	478	731	221	117	683	482	214	611	15	15608	5948	765	24445	488	1766	810	63	7236	2620	1005	160	2519	10907	1085	199	47	383	1068	97	150	141	131	28	3496	64	33	411	17587	14511	603	1202	1176	795	5278	392	1357	3385	1407	192	18519	1004	129	34	10516	565	26212	11	14394	497	19	7402	13426	1733	235	104	76	1301	10631	164	12771	7621	37	106	201	85	1182	18112	1747	1358	666	4125	159	37	11880	59	138	2530	77	5260
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Bacteroidaceae;g__Bacteroides;s__	2064	2379	2976	187	5231	2775	3345	1667	943	410	677	5734	3991	2788	6140	850	2146	9546	9716	1575	3783	4130	5583	1753	943	841	65	35	1003	1826	695	5004	2830	1357	14132	781	200	32	2708	5335	938	508	5585	4990	11379	2799	3965	1600	3263	1996	1541	1462	1324	29377	3523	5011	76	2101	1254	14614	552	3130	2295	5127	2650	13818	2228	746	877	442	2335	949	5238	1408	1645	1152	8075	2388	427	1101	1775	1852	2220	228	15780	527	1046	1632	8958	1526	9807	2116	624	14540	2245	15616	4206	7858	1911	219	3081	7229	1077	84	751	18929	1718	422	7256	1097	946	4532	716	550	839	12958	3784	1753	6749	6766	1296	1078	2206	7230	2776	777	817	6210	2196	10266	140	1633	8871	5736	5109	1140	802	572	2994	884	8448	136	2982	581	216	976	2713	989	6826	2736	10259	4601	1916	6303	1664	1961	8214	1516	3127	6893	1065	40	7824	1180	436	2855	962	5930	11917	535	2778	1766	869	9066	2745	1730	1851	3009	907	275	6883	5102	508	1502	4339	1582	791	4494	9645	875	3850	965	1801	1177	1432	997	1055	5835
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Prevotellaceae;g__Prevotella;s__	25570	79	17733	44	10997	782	241	54	38	10114	1377	77	3742	80	2458	84	29	711	110	173	16	4743	29	188	8	24085	48	6	8904	3612	609	131	81	1696	623	11066	2138	46	24	570	26	34	23	67	3737	59	7	44	484	42	15053	27	8608	96	232	919	3692	36	1206	45	20	1550	2845	58	795	2455	15614	34	128	57	20	12809	4267	608	5895	121	34	35	10	19	1625	1379	1095	37	155	2173	6480	30	29	74	54	29	1738	137	13	69	50	15818	156	48	16	91	679	34	1840	7146	2	49	39	30	16716	738	358	13	4882	5409	4161	412	508	257	13	20	444	704	15492	391	752	127	86	5997	83	14726	131	202	10	39	15	38	3431	41037	103	24008	680	222	18	11634	155	3014	324	45	372	32	488	63	94	8563	12	58	22	4494	1470	260	31	232	964	2525	47	192	289	6829	1428	9585	13	497	5203	807	10340	6126	5228	51	367	64	15302	5899	1599	344	15578	1627	2440	1291	150	7094	107	2270	191	249	40	30
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Lachnospiraceae;g__Blautia;s__	100	180	642	649	899	84	175	465	1134	945	266	1690	137	1960	858	2073	3593	396	1096	33	4021	831	840	2769	2444	1099	405	1102	3323	654	923	1956	164	477	770	222	462	2561	852	368	634	4905	751	15	289	1249	1455	133	376	1463	125	415	153	654	474	7151	120	169	123	143	1115	1744	1261	321	1658	1696	147	95	717	312	1238	1556	50	335	544	2028	3193	643	1819	338	3602	1396	2548	110	484	1955	88	489	128	50	317	2716	339	314	53	61	79	5595	8901	7225	344	321	2512	59	112	555	3360	615	359	263	3858	718	157	1017	729	137	511	495	141	907	419	2457	505	897	634	594	1364	328	79	51	298	2254	451	120	146	508	4195	154	446	121	956	78	3094	582	2865	1234	305	207	3888	119	164	1576	719	568	3737	243	249	2367	26	674	1103	3308	95	679	2293	1410	249	1909	300	109	104	332	3930	172	1870	227	715	1148	2065	790	2054	176	783	1622	814	51	106	148	4019	1358	232	496	287	423	3824	524	210	2735
k__Bacteria;p__Proteobacteria;c__Enterobacteriales;o__Gammaproteobacteria;f__Enterobacteriaceae;g__None;s__	2832	3766	30	5	92	92	8049	40	55	20	4	132	62	1020	5630	34	47	120	39	4	19	67	301	17	288	187	289	19	7	13	400	5109	66	25	44	6999	41	25	1155	1594	809	747	6196	17767	93	52	18	69	52	259	10428	3191	9206	52	242	231	67	79	609	11	371	73	14	37	12	8098	264	21	48	15	48	145	16	28	255	509	12	47	38	217	2219	1	14	2036	12	450	7942	37	1800	595	688	28	8	617	38	63	31	3111	390	95	12	1873	588	39	33	27	1089	109	1094	209	195	6182	4852	4489	93	147	1637	21	613	14704	31	1877	50	12	91	4503	67	3	288	241	61	635	329	1007	51	1125	2570	531	1841	22	422	394	79	4504	29	5	27	47	973	21	182	24	774	125	68	283	65	25	1504	266	377	79	244	278	4913	123	92	41591	35	25	7	4555	785	3887	1598	661	304	31	14	1529	46	24323	134	2825	2570	1394	40	25	4513	1855	293	3262	949	32	185	17	26	24
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Peptostreptococcaceae;g__Incertae_Sedis;s__	295	4822	104	625	493	235	346	6426	286	15	2949	457	652	715	1546	1767	471	407	3336	7	855	267	457	285	7917	125	825	2649	5727	69	178	731	382	116	5904	34	77	5337	154	2292	4961	301	3687	13	354	4772	1005	483	863	1258	137	175	333	264	7157	700	318	1091	769	253	2406	4618	76	640	2537	87	34	2073	7006	384	146	1989	274	1273	429	7030	486	540	1178	5496	445	4963	1179	57	647	1157	176	8907	584	1547	836	2942	21	356	37	249	16649	1475	532	5857	4180	8009	934	11685	41	12	1094	29	4186	3415	182	1545	3015	2056	417	39	2686	54	5	275	5822	821	1329	276	75	4773	6097	1925	722	259	239	256	369	548	208	377	479	10005	1683	129	733	62	794	5580	13184	5514	24	59	734	2966	115	1110	354	508	8546	2383	1947	664	96	4366	255	3192	447	244	492	1273	34	221	310	719	239	2934	4199	103	1230	195	367	471	120	1334	16	504	46	3216	586	13	344	63	411	2503	310	528	13	291	1802	3057	82	2614
k__Bacteria;p__Actinobacteria;c__Bifidobacteriales;o__Actinobacteria;f__Bifidobacteriaceae;g__Bifidobacterium;s__	11	140	2	1	18	5	29	144	652	115	3	6	54	0	282	1301	0	915	1	149	1	4	17	8	9	9	4	3314	0	97	16	0	39	119	1300	156	66	27	2	194	3525	165	2629	2	2	38	9	142	57	5636	4	7	136	1	199	86	21	157	1	6	3414	49	95	118	1858	0	6	1	4	2	58	58	20	210	3	12617	27	2	34	374	6	6	592	3	56	0	13	441	162	13	9	463	0	118	9	1	119	98	11	914	2291	589	919	35	2	0	3961	10369	184	652	110	461	3	46	2	14	45	3	11	217	1989	1	98	2	123	565	1013	28	4	6	0	49	238	96	1	5	14	4	23	3	2	1	1	609	1561	94	4	1	4	757	29	3	26	454	44	0	4	33	97	5	35	1	55	116	11	1	2	22	3	24	16	34	3438	4	172	126	2	786	443	2	3	2	2	5	1795	1	8	5	586	1	50	66	4	125	39	1	10	1197
k__Bacteria;p__Actinobacteria;c__Coriobacteriales;o__Coriobacteriia;f__Coriobacteriaceae;g__Collinsella;s__	54	1409	950	9	611	165	122	572	595	419	1445	85	216	208	834	361	2	202	211	13	4	5	279	13	10	11	232	12	5	279	355	9	164	733	511	13	409	1038	6	347	632	236	597	2	2	804	9	169	1692	5321	15	10	157	8	446	1659	187	1731	126	288	3381	881	103	46	633	1585	220	148	17	1024	8	1689	124	13	37	2574	514	3	8	668	3824	3858	49	12	580	4	290	4	915	2	706	78	38	240	55	2	107	2418	82	5559	4	818	1364	468	55	6	3203	1261	436	399	154	857	79	1022	81	15	479	17	38	86	689	8	652	395	22	2621	989	1372	556	9	23	61	211	700	92	12	458	5160	836	10	3	7	11	2778	3114	660	8	152	146	658	28	1414	1116	440	18	45	354	2540	770	677	20	1666	214	15	11	72	533	8	55	87	81	321	2816	20	906	104	1131	281	1250	3167	764	66	2	268	24	1	88	151	5143	389	98	235	36	31	3136	4	13	25
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Ruminococcaceae;g__Faecalibacterium;s__	370	15	1014	18	978	97	385	5	173	519	532	133	338	348	281	875	109	343	1052	55	1401	47	188	361	51	4313	12	60	2538	92	99	220	57	147	201	350	571	36	19	297	217	67	23	26	36	982	2605	121	175	1469	231	20	561	325	219	642	325	37	312	51	345	1399	960	241	916	602	218	62	417	43	8	359	98	258	306	324	645	8	75	61	139	102	238	23	462	12	143	334	92	103	303	478	73	288	4	10	131	3335	8	121	17	335	1665	11	964	1949	344	31	24	14	3386	144	336	16	788	1374	228	100	53	146	132	75	190	36	2174	287	49	449	894	59	15	5358	154	237	52	39	9	6	807	429	816	179	20	299	50	1240	7	246	7	2463	5	23	377	374	2603	1160	28	378	24	542	2589	770	14	347	79	483	49	223	1425	334	38	886	1412	407	712	59	749	1379	1030	11	813	462	2942	831	390	65	134	39	833	419	393	1314	396	4298	57	361	9	8
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Bacteroidaceae;g__Bacteroides;s__	2636	74	32	0	3620	14	62	5	396	7	42	2668	80	1850	2	3	2	521	25	18	4529	23	3193	18	130	12	10	1	194	9	33	1	34	453	9	418	52	1	7	106	335	21	3	18	60	26	9128	11	3	2	6	5	22	0	6188	35	53	105	49	2	54	25	478	3	0	11	2	7	81	38	2	8	20	48	78	5	0	4	2	21	11	76	4	63	33	85	1	6	12	86	9	2	169	35	6	2622	311	142	88	31	4	5	624	6	11	134	3	11	8	3	158	10	7	111	122	14	71	26	32	914	1	70	820	2	11	1	43	3	14	36	5	35	54	18	6	1	4	2	628	41	2	107	63	1	4	6	10	0	3748	197	3	1	111	10751	2	1	7	1480	4	12	23	16	26	238	30	184	17	12	1	67	43	4	14	3	1025	34	444	2	40	10	52	1215	78	203	72	19	7	4	84	3	9463	16	10	1	80	4	4	7
