SampleID,Env
DYEY1,root:kindergarten
DYEY10,root:kindergarten
DYEY2,root:kindergarten
DYEY3,root:kindergarten
DYEY4,root:kindergarten
DYEY5,root:kindergarten
DYEY6,root:kindergarten
DYEY7,root:kindergarten
DYEY8,root:kindergarten
DYEY9,root:kindergarten
TET1,root:kindergarten
TET10,root:kindergarten
TET100,root:kindergarten
TET103,root:kindergarten
TET104,root:kindergarten
TET105,root:kindergarten
TET106,root:kindergarten
TET107,root:kindergarten
TET108,root:kindergarten
TET109,root:kindergarten
TET110,root:kindergarten
TET112,root:kindergarten
TET113,root:kindergarten
TET114,root:kindergarten
TET115,root:kindergarten
TET117,root:kindergarten
TET118,root:kindergarten
TET119,root:kindergarten
TET120,root:kindergarten
TET121,root:kindergarten
TET14,root:kindergarten
TET15,root:kindergarten
TET16,root:kindergarten
TET18,root:kindergarten
TET19,root:kindergarten
TET2,root:kindergarten
TET20,root:kindergarten
TET24,root:kindergarten
TET26,root:kindergarten
TET28,root:kindergarten
TET29,root:kindergarten
TET31,root:kindergarten
TET33,root:kindergarten
TET34,root:kindergarten
TET35,root:kindergarten
TET36,root:kindergarten
TET37,root:kindergarten
TET38,root:kindergarten
TET39,root:kindergarten
TET4,root:kindergarten
TET40,root:kindergarten
TET41,root:kindergarten
TET42,root:kindergarten
TET43,root:kindergarten
TET44,root:kindergarten
TET45,root:kindergarten
TET46,root:kindergarten
TET47,root:kindergarten
TET48,root:kindergarten
TET5,root:kindergarten
TET51,root:kindergarten
TET52,root:kindergarten
TET53,root:kindergarten
TET54,root:kindergarten
TET56,root:kindergarten
TET57,root:kindergarten
TET58,root:kindergarten
TET6,root:kindergarten
TET60,root:kindergarten
TET61,root:kindergarten
TET62,root:kindergarten
TET63,root:kindergarten
TET65,root:kindergarten
TET67,root:kindergarten
TET68,root:kindergarten
TET7,root:kindergarten
TET70,root:kindergarten
TET71,root:kindergarten
TET72,root:kindergarten
TET75,root:kindergarten
TET76,root:kindergarten
TET77,root:kindergarten
TET78,root:kindergarten
TET79,root:kindergarten
TET8,root:kindergarten
TET80,root:kindergarten
TET81,root:kindergarten
TET82,root:kindergarten
TET84,root:kindergarten
TET85,root:kindergarten
TET86,root:kindergarten
TET87,root:kindergarten
TET88,root:kindergarten
TET89,root:kindergarten
TET9,root:kindergarten
TET90,root:kindergarten
TET92,root:kindergarten
TET93,root:kindergarten
TET94,root:kindergarten
TET95,root:kindergarten
TET96,root:kindergarten
TET97,root:kindergarten
TET98,root:kindergarten
DXX1,root:Pupils
DXX10,root:Pupils
DXX11,root:Pupils
DXX116,root:Pupils
DXX12,root:Pupils
DXX13,root:Pupils
DXX136,root:Pupils
DXX15,root:Pupils
DXX16,root:Pupils
DXX17,root:Pupils
DXX18,root:Pupils
DXX19,root:Pupils
DXX2,root:Pupils
DXX20,root:Pupils
DXX21,root:Pupils
DXX22,root:Pupils
DXX23,root:Pupils
DXX24,root:Pupils
DXX25,root:Pupils
DXX26,root:Pupils
DXX5,root:Pupils
DXX6,root:Pupils
DXX7,root:Pupils
DXX8,root:Pupils
DXX9,root:Pupils
TXX1,root:Pupils
TXX10,root:Pupils
TXX101,root:Pupils
TXX102,root:Pupils
TXX103,root:Pupils
TXX104,root:Pupils
TXX105,root:Pupils
TXX106,root:Pupils
TXX107,root:Pupils
TXX108,root:Pupils
TXX109,root:Pupils
TXX11,root:Pupils
TXX111,root:Pupils
TXX112,root:Pupils
TXX113,root:Pupils
TXX114,root:Pupils
TXX115,root:Pupils
TXX118,root:Pupils
TXX119,root:Pupils
TXX12,root:Pupils
TXX120,root:Pupils
TXX121,root:Pupils
TXX122,root:Pupils
TXX123,root:Pupils
TXX124,root:Pupils
TXX125,root:Pupils
TXX126,root:Pupils
TXX127,root:Pupils
TXX128,root:Pupils
TXX129,root:Pupils
TXX13,root:Pupils
TXX130,root:Pupils
TXX131,root:Pupils
TXX132,root:Pupils
TXX133,root:Pupils
TXX134,root:Pupils
TXX135,root:Pupils
TXX137,root:Pupils
TXX138,root:Pupils
TXX139,root:Pupils
TXX14,root:Pupils
TXX140,root:Pupils
TXX141,root:Pupils
TXX142,root:Pupils
TXX143,root:Pupils
TXX144,root:Pupils
TXX145,root:Pupils
TXX146,root:Pupils
TXX147,root:Pupils
TXX148,root:Pupils
TXX149,root:Pupils
TXX15,root:Pupils
TXX151,root:Pupils
TXX152,root:Pupils
TXX16,root:Pupils
TXX17,root:Pupils
TXX18,root:Pupils
TXX19,root:Pupils
TXX2,root:Pupils
TXX20,root:Pupils
TXX21,root:Pupils
TXX22,root:Pupils
TXX23,root:Pupils
TXX24,root:Pupils
TXX25,root:Pupils
TXX26,root:Pupils
TXX28,root:Pupils
TXX29,root:Pupils
TXX30,root:Pupils
TXX32,root:Pupils
TXX33,root:Pupils
TXX34,root:Pupils
TXX35,root:Pupils
TXX36,root:Pupils
TXX37,root:Pupils
TXX38,root:Pupils
TXX40,root:Pupils
TXX42,root:Pupils
TXX43,root:Pupils
TXX44,root:Pupils
TXX45,root:Pupils
TXX46,root:Pupils
TXX47,root:Pupils
TXX48,root:Pupils
TXX49,root:Pupils
TXX5,root:Pupils
TXX50,root:Pupils
