SampleID,Env
R38,root:Centenarians
R16,root:Centenarians
R183,root:Centenarians
R214,root:Centenarians
R39,root:Centenarians
R58,root:Centenarians
R201,root:Centenarians
R140,root:Centenarians
R28,root:Centenarians
R126,root:Centenarians
R144,root:Centenarians
R143,root:Centenarians
R149,root:Centenarians
R221,root:Centenarians
R175,root:Centenarians
R250,root:Centenarians
R83,root:Centenarians
R88,root:Centenarians
R223,root:Centenarians
R178,root:Centenarians
R212,root:Centenarians
R148,root:Centenarians
R96,root:Centenarians
R82,root:Centenarians
R161,root:Centenarians
R257,root:Centenarians
R137,root:Centenarians
R150,root:Centenarians
R238,root:Centenarians
R177,root:Centenarians
R130,root:Centenarians
R179,root:Centenarians
R68,root:Centenarians
R202,root:Centenarians
R77,root:Centenarians
R86,root:Centenarians
R106,root:Centenarians
R190,root:Centenarians
R243,root:Centenarians
R216,root:Centenarians
R70,root:Centenarians
R127,root:Centenarians
R45,root:Centenarians
R229,root:Centenarians
R224,root:Centenarians
R114,root:Centenarians
R111,root:Centenarians
R170,root:Centenarians
R26,root:Centenarians
R240,root:Centenarians
R113,root:Centenarians
R108,root:Centenarians
R66,root:Centenarians
R185,root:Centenarians
R119,root:Centenarians
R220,root:Centenarians
R71,root:Centenarians
R207,root:Centenarians
R87,root:Centenarians
R110,root:Centenarians
R159,root:Centenarians
R157,root:Centenarians
R215,root:Centenarians
R10,root:Centenarians
R194,root:Centenarians
R184,root:Centenarians
R239,root:Centenarians
R85,root:Centenarians
R213,root:Centenarians
R218,root:Centenarians
R153,root:Centenarians
R62,root:Centenarians
R21,root:Centenarians
R160,root:Centenarians
R134,root:Centenarians
R237,root:Centenarians
R204,root:Centenarians
R12,root:Centenarians
R217,root:Centenarians
R89,root:Centenarians
R168,root:Centenarians
R131,root:Centenarians
R155,root:Centenarians
R35,root:Centenarians
R209,root:Centenarians
R187,root:Centenarians
R37,root:Centenarians
R244,root:Centenarians
R128,root:Centenarians
R94,root:Centenarians
R118,root:Centenarians
R25,root:Centenarians
R234,root:Centenarians
R231,root:Centenarians
R167,root:Centenarians
R245,root:Centenarians
R121,root:Centenarians
R75,root:Centenarians
R117,root:Centenarians
R186,root:Centenarians
R188,root:Centenarians
R17,root:Centenarians
R181,root:Centenarians
R236,root:Centenarians
R219,root:Centenarians
R196,root:Centenarians
R205,root:Centenarians
R23,root:Centenarians
R65,root:Centenarians
R147,root:Centenarians
R256,root:Centenarians
R129,root:Centenarians
R226,root:Centenarians
R120,root:Centenarians
R136,root:Centenarians
R164,root:Centenarians
R189,root:Centenarians
R92,root:Centenarians
R78,root:Centenarians
R252,root:Centenarians
R235,root:Centenarians
R145,root:Centenarians
R163,root:Centenarians
R27,root:Centenarians
R254,root:Centenarians
R79,root:Centenarians
R191,root:Centenarians
R115,root:Centenarians
R227,root:Centenarians
R154,root:Centenarians
R101,root:Centenarians
R255,root:Centenarians
R46,root:Centenarians
R222,root:Centenarians
R97,root:Centenarians
R105,root:Centenarians
R242,root:Centenarians
R180,root:Centenarians
R102,root:Centenarians
R172,root:Centenarians
R230,root:Centenarians
R171,root:Centenarians
R233,root:Centenarians
R55,root:Centenarians
R228,root:Centenarians
R151,root:Centenarians
R169,root:Centenarians
R211,root:Centenarians
R14,root:Centenarians
R192,root:Centenarians
R142,root:Centenarians
R107,root:Centenarians
R173,root:Centenarians
R93,root:Centenarians
R40,root:Centenarians
R49,root:Centenarians
R13,root:Centenarians
R248,root:Centenarians
R98,root:Centenarians
R74,root:Centenarians
R132,root:Centenarians
R210,root:Centenarians
R61,root:Centenarians
R232,root:Centenarians
R80,root:Centenarians
R44,root:Centenarians
R100,root:Centenarians
R182,root:Centenarians
R152,root:Centenarians
R67,root:Centenarians
R135,root:Centenarians
R156,root:Centenarians
R225,root:Centenarians
R34,root:Centenarians
R109,root:Centenarians
R103,root:Centenarians
R52,root:Centenarians
R251,root:Centenarians
R195,root:Centenarians
R133,root:Centenarians
R203,root:Centenarians
R158,root:Centenarians
R253,root:Centenarians
R193,root:Centenarians
R47,root:Centenarians
R197,root:Centenarians
R99,root:Centenarians
R64,root:Centenarians
R76,root:Centenarians
R247,root:Centenarians
R165,root:Centenarians
R176,root:Centenarians
R53,root:Centenarians
R166,root:Centenarians
R104,root:Centenarians
R141,root:Centenarians
R174,root:Centenarians
R51,root:Centenarians
