,root:Pupils,root:elder,root:kindergarten,root:mid_age,root:mid_school,root:youth,Unknown
R38,0.067478225,0.2053017,0.056215685,0.13669778,0.17979361,0.35451302,0.0
R16,0.18731302,0.14952794,0.09676401,0.23478588,0.13658907,0.19502012,0.0
R183,0.095712915,0.12364718,0.15831135,0.2309539,0.17528,0.21609461,0.0
R214,0.10927377,0.18036844,0.066089615,0.28390735,0.12496646,0.23539443,0.0
R39,0.07102978,0.20587099,0.05179662,0.17230082,0.16001919,0.33898255,0.0
R58,0.33805734,0.04573746,0.3053842,0.10371098,0.118278444,0.08883162,0.0
R201,0.27146533,0.124205895,0.13060114,0.20693114,0.13600476,0.13079175,0.0
R140,0.11639805,0.16863109,0.07557998,0.28361192,0.128683,0.227096,0.0
R28,0.108386464,0.18110234,0.06563952,0.28203556,0.12548229,0.23735376,0.0
R126,0.05816357,0.22235778,0.041452598,0.15056723,0.16386886,0.3635899,0.0
R144,0.42378634,0.07633649,0.2281172,0.10477032,0.09783345,0.0691562,0.0
R143,0.23499244,0.11866347,0.1493136,0.19056463,0.14517356,0.16129228,0.0
R149,0.25471318,0.11528096,0.14175156,0.20042364,0.15194066,0.13589002,0.0
R221,0.4851224,0.121469125,0.15066239,0.11047322,0.0813357,0.050937187,0.0
R175,0.17003721,0.13348632,0.114485376,0.23807563,0.14763653,0.19627889,0.0
R250,0.11236951,0.17717037,0.06816178,0.2901189,0.12332108,0.22885843,0.0
R83,0.08187688,0.15323102,0.11977222,0.12904972,0.213383,0.30268717,0.0
R88,0.16433036,0.05066332,0.28583178,0.13566115,0.18502402,0.1784894,0.0
R223,0.19882102,0.11411448,0.16906816,0.18299146,0.1675938,0.16741107,0.0
R178,0.38115257,0.056653984,0.27354625,0.08787214,0.12897511,0.07179995,0.0
R212,0.19128108,0.08917877,0.23977391,0.124333546,0.19663265,0.1588001,0.0
R148,0.10847148,0.14315279,0.11925042,0.21431144,0.16776639,0.24704747,0.0
R96,0.08790207,0.14839447,0.12616281,0.13389839,0.21143025,0.29221195,0.0
R82,0.38437787,0.10168915,0.15867561,0.15896109,0.114929594,0.081366695,0.0
R161,0.3936773,0.09157493,0.21016937,0.12696059,0.093190216,0.084427595,0.0
R257,0.22252381,0.10004293,0.20711006,0.15180838,0.17439492,0.14411995,0.0
R137,0.11308755,0.17751205,0.0675804,0.28913814,0.123523906,0.22915797,0.0
R150,0.21766338,0.15521705,0.07829371,0.25934747,0.11836848,0.17110986,0.0
R238,0.42913893,0.087482005,0.1931005,0.11443815,0.10966521,0.06617519,0.0
R177,0.10246611,0.18246108,0.06529756,0.26594633,0.13040815,0.25342086,0.0
R130,0.07692137,0.20196953,0.05327362,0.20296265,0.14839235,0.31648046,0.0
R179,0.12227606,0.14985068,0.10979291,0.24259858,0.15800822,0.21747358,0.0
R68,0.19540572,0.10144948,0.19341335,0.16112219,0.17492464,0.1736846,0.0
