,root:Pupils,root:elder,root:kindergarten,root:mid_age,root:mid_school,root:youth
R38,0.40208033,0.14671367,0.21615873,0.05257185,0.030087082,0.1523883
R16,0.64562875,0.04867295,0.16115005,0.0615888,0.03966234,0.043297064
R183,0.7091617,0.016101839,0.20319793,0.032105,0.02163299,0.017800549
R214,0.83213663,0.025866954,0.06917398,0.04043537,0.013456933,0.018930135
R39,0.40543702,0.10657515,0.21055113,0.094553925,0.06700587,0.11587697
R58,0.4849549,0.18454579,0.09549275,0.10443825,0.020795746,0.10977262
R201,0.40839726,0.04481153,0.25907704,0.098209776,0.124804676,0.06469969
R140,0.6316487,0.07370521,0.10810283,0.07721815,0.045621254,0.06370388
R28,0.2678507,0.05826026,0.27492395,0.13711104,0.14794403,0.11391003
R126,0.17715694,0.13540934,0.16297343,0.17788526,0.18474734,0.16182764
R144,0.7816935,0.034712955,0.10584234,0.032628894,0.020592785,0.024529459
R143,0.40802884,0.14871569,0.20598073,0.060797077,0.03235528,0.14412236
R149,0.22719967,0.18869159,0.13123403,0.15034473,0.099184215,0.20334575
R221,0.7691899,0.0117397,0.1609635,0.027913552,0.01737695,0.012816457
R175,0.42906296,0.0493047,0.2458929,0.09982216,0.10918088,0.06673643
R250,0.76480263,0.017199947,0.17827517,0.0092476895,0.017072916,0.013401541
R83,0.24747825,0.20877947,0.16296095,0.13182613,0.07279231,0.17616284
R88,0.35616928,0.24510424,0.115185186,0.08529096,0.019918995,0.17833139
R223,0.43222946,0.15903647,0.18045487,0.06436077,0.02566421,0.13825427
R178,0.43408656,0.16573156,0.17728712,0.060744394,0.023795856,0.13835452
R212,0.40991986,0.14512625,0.18192202,0.08855119,0.04306652,0.13141416
R148,0.38774016,0.13257946,0.21961549,0.07277553,0.04937954,0.13790974
R96,0.4318532,0.16687171,0.1747684,0.0624306,0.023239743,0.14083634
R82,0.74592125,0.044993784,0.108556345,0.038843233,0.02730636,0.034379095
R161,0.36253804,0.11446024,0.19780667,0.11792952,0.09793333,0.10933226
R257,0.442863,0.14373744,0.1932485,0.06281416,0.028244752,0.12909213
R137,0.8244012,0.02012017,0.09099995,0.03553281,0.013626172,0.01531959
