SampleID,Env,Contribution
R38,Pupils,0.40208033
R16,Pupils,0.64562875
R183,Pupils,0.7091617
R214,Pupils,0.83213663
R39,Pupils,0.40543702
R58,Pupils,0.4849549
R201,Pupils,0.40839726
R140,Pupils,0.6316487
R28,Pupils,0.2678507
R126,Pupils,0.17715694
R144,Pupils,0.7816935
R143,Pupils,0.40802884
R149,Pupils,0.22719967
R221,Pupils,0.7691899
R175,Pupils,0.42906296
R250,Pupils,0.76480263
R83,Pupils,0.24747825
R88,Pupils,0.35616928
R223,Pupils,0.43222946
R178,Pupils,0.43408656
R212,Pupils,0.40991986
R148,Pupils,0.38774016
R96,Pupils,0.4318532
R82,Pupils,0.74592125
R161,Pupils,0.36253804
R257,Pupils,0.442863
R137,Pupils,0.8244012
R150,Pupils,0.8263988
R238,Pupils,0.45532233
R177,Pupils,0.6367693
R130,Pupils,0.23693316
R179,Pupils,0.41639683
R68,Pupils,0.30954146
R202,Pupils,0.36679015
R77,Pupils,0.56562054
R86,Pupils,0.5193787
R106,Pupils,0.1479183
R190,Pupils,0.8123395
R243,Pupils,0.42527512
R216,Pupils,0.42636964
R70,Pupils,0.6853679
R127,Pupils,0.79175055
R45,Pupils,0.3272368
R229,Pupils,0.1755777
R224,Pupils,0.4181558
R114,Pupils,0.44132805
R111,Pupils,0.42691454
R170,Pupils,0.41677082
R26,Pupils,0.42631796
R240,Pupils,0.38235712
R113,Pupils,0.16519502
R108,Pupils,0.5203611
R66,Pupils,0.23647252
R185,Pupils,0.43360558
R119,Pupils,0.7880774
R220,Pupils,0.39420965
R71,Pupils,0.63624257
R207,Pupils,0.63273054
R87,Pupils,0.50809234
R110,Pupils,0.7405137
R159,Pupils,0.73281854
R157,Pupils,0.39971057
R215,Pupils,0.42494753
R10,Pupils,0.40856448
R194,Pupils,0.7634701
R184,Pupils,0.42139614
R239,Pupils,0.3694596
R85,Pupils,0.5940102
R213,Pupils,0.73379415
R218,Pupils,0.41577432
R153,Pupils,0.40263623
R62,Pupils,0.44292837
R21,Pupils,0.3821135
R160,Pupils,0.4432892
R134,Pupils,0.41603708
R237,Pupils,0.55205977
R204,Pupils,0.42966378
R12,Pupils,0.43641856
R217,Pupils,0.62672925
R89,Pupils,0.81162256
R168,Pupils,0.70170456
R131,Pupils,0.84924483
R155,Pupils,0.48683566
R35,Pupils,0.28323597
R209,Pupils,0.4134103
R187,Pupils,0.66505414
R37,Pupils,0.23973562
R244,Pupils,0.5854202
R128,Pupils,0.47555426
R94,Pupils,0.83032835
R118,Pupils,0.394514
R25,Pupils,0.36503473
R234,Pupils,0.5780818
R231,Pupils,0.5348205
R167,Pupils,0.32072705
R245,Pupils,0.40646574
R121,Pupils,0.8285667
R75,Pupils,0.38838795
R117,Pupils,0.35351044
R186,Pupils,0.8273572
R188,Pupils,0.2440154
R17,Pupils,0.816651
R181,Pupils,0.75231206
R236,Pupils,0.17388636
R219,Pupils,0.7558596
R196,Pupils,0.4274162
R205,Pupils,0.28572303
R23,Pupils,0.79885656
R65,Pupils,0.4740999
R147,Pupils,0.32439083
R256,Pupils,0.44074467
R129,Pupils,0.33689666
R226,Pupils,0.77848154
R120,Pupils,0.65874267
R136,Pupils,0.54992086
R164,Pupils,0.39921248
R189,Pupils,0.32872635
R92,Pupils,0.3594208
R78,Pupils,0.34395632
R252,Pupils,0.41285405
R235,Pupils,0.6278272
R145,Pupils,0.34269395
R163,Pupils,0.28270912
R27,Pupils,0.36223695
R254,Pupils,0.44216964
R79,Pupils,0.39072254
R191,Pupils,0.6502305
R115,Pupils,0.3813141
R227,Pupils,0.7088489
R154,Pupils,0.40027377
R101,Pupils,0.76539314
R255,Pupils,0.31832373
R46,Pupils,0.42709914
R222,Pupils,0.8027668
R97,Pupils,0.41339776
R105,Pupils,0.36807734
R242,Pupils,0.35766998
R180,Pupils,0.16864823
R102,Pupils,0.78647226
R172,Pupils,0.43770462
R230,Pupils,0.2764777
R171,Pupils,0.42831743
R233,Pupils,0.6585642
R55,Pupils,0.41023833
R228,Pupils,0.5395988
R151,Pupils,0.43519616
R169,Pupils,0.17411211
R211,Pupils,0.83813757
R14,Pupils,0.39043498
R192,Pupils,0.63273406
R142,Pupils,0.43599403
R107,Pupils,0.5462278
R173,Pupils,0.4430414
R93,Pupils,0.44574073
R40,Pupils,0.4219705
R49,Pupils,0.8279434
R13,Pupils,0.37988678
R248,Pupils,0.40129158
R98,Pupils,0.27003685
R74,Pupils,0.6103765
R132,Pupils,0.56630635
R210,Pupils,0.6991084
R61,Pupils,0.6589093
R232,Pupils,0.19187191
R80,Pupils,0.14136572
R44,Pupils,0.4267746
R100,Pupils,0.25489864
R182,Pupils,0.15003504
R152,Pupils,0.28475428
R67,Pupils,0.46673632
R135,Pupils,0.6185251
R156,Pupils,0.7398592
R225,Pupils,0.6103106
R34,Pupils,0.4141698
R109,Pupils,0.36372945
R103,Pupils,0.5463164
R52,Pupils,0.36842525
R251,Pupils,0.23674376
R195,Pupils,0.24141046
R133,Pupils,0.22302675
R203,Pupils,0.43000707
R158,Pupils,0.16109537
R253,Pupils,0.43561444
R193,Pupils,0.57148504
