,root:Pupils,root:elder,root:kindergarten,root:mid_age,root:mid_school,root:youth
R38,0.055466466,0.17475346,0.04163037,0.090202674,0.1706326,0.46731442
R16,0.13898925,0.13000196,0.08965159,0.27359736,0.1386092,0.22915065
R183,0.0361912,0.19545051,0.023385404,0.12174045,0.12611735,0.4971152
R214,0.0921924,0.16273515,0.048836805,0.35224223,0.10822756,0.23576587
R39,0.039801113,0.18634932,0.027232645,0.10865942,0.13792954,0.50002795
R58,0.4022836,0.03184051,0.3237042,0.07943221,0.09630816,0.06643131
R201,0.10029125,0.15201735,0.057010546,0.3388588,0.11426411,0.23755787
R140,0.17620702,0.1433594,0.083023526,0.29481417,0.12738098,0.17521484
R28,0.0768586,0.17917931,0.04275342,0.28461462,0.11821303,0.29838094
R126,0.036179,0.19294502,0.023874873,0.11069946,0.13017307,0.50612855
R144,0.4923126,0.039103124,0.2603656,0.06891422,0.08697849,0.052325938
R143,0.26108655,0.067982964,0.24583481,0.14214318,0.15504234,0.12791005
R149,0.18567196,0.11815267,0.13233204,0.24144115,0.16253302,0.15986909
R221,0.6402708,0.08593839,0.107844606,0.07643697,0.056559067,0.032950226
R175,0.10453333,0.14570768,0.063741334,0.32076275,0.12035499,0.24489988
R250,0.61448246,0.036050256,0.19066566,0.040222544,0.08929426,0.029284803
R83,0.08074913,0.12947103,0.1242284,0.104614355,0.24349263,0.31744444
R88,0.08607647,0.078836314,0.23712109,0.18850079,0.20638652,0.20307876
R223,0.114356644,0.11284108,0.16309048,0.13680859,0.22526373,0.24763948
R178,0.56214124,0.03795939,0.21940345,0.048332334,0.09559618,0.0365675
R212,0.25491005,0.07638156,0.26398838,0.09778866,0.19248831,0.114443034
R148,0.10105575,0.1341945,0.08828659,0.27003396,0.14600068,0.26042852
R96,0.0667117,0.15182376,0.07358848,0.09835482,0.20887844,0.4006428
R82,0.42924014,0.07947379,0.16816702,0.13642378,0.11222245,0.07447292
R161,0.5295236,0.060756918,0.19256936,0.08829413,0.072451204,0.056404814
R257,0.33220273,0.07626937,0.22431464,0.10682129,0.16438308,0.096008934
R137,0.09419506,0.15976815,0.05010836,0.3578288,0.1075848,0.23051484
R150,0.39182544,0.09911283,0.13970184,0.17179345,0.11427152,0.08329485
R238,0.60140795,0.04861389,0.16708507,0.058313545,0.088504836,0.03607478
R177,0.0934773,0.12625523,0.07758347,0.30432975,0.12213011,0.2762241
R130,0.08148457,0.17092517,0.04753332,0.28817454,0.12014724,0.29173514
R179,0.16219033,0.12852983,0.10939434,0.2664108,0.15018077,0.1832939
R68,0.24108574,0.08473855,0.22318576,0.1444794,0.17233257,0.13417795
R202,0.097902186,0.11221788,0.1761197,0.1888834,0.21870315,0.20617361
R77,0.61443233,0.03607431,0.1906246,0.040260952,0.08930522,0.029302562
R86,0.61448246,0.036050256,0.19066566,0.040222544,0.08929426,0.029284803
R106,0.075955026,0.1800652,0.042342797,0.28082204,0.11867455,0.3021404
R190,0.09472616,0.15448494,0.053565588,0.35295656,0.10943228,0.23483448
R243,0.050273046,0.17925945,0.037933864,0.10756787,0.15858798,0.46637776
R216,0.095324814,0.13494867,0.06922328,0.32367313,0.11776528,0.2590648
R70,0.43850163,0.08069454,0.15974219,0.13894276,0.10983831,0.07228065
R127,0.48890674,0.08465635,0.123876885,0.14317358,0.09653457,0.06285189
R45,0.1684525,0.11479427,0.11953547,0.24886739,0.1500408,0.19830966
R229,0.093738295,0.16089097,0.04934945,0.3595359,0.10697878,0.22950669
R224,0.055201203,0.18238668,0.036496,0.18755679,0.1295003,0.4088591
R114,0.19877245,0.09501047,0.22144412,0.109646805,0.22020122,0.15492493
R111,0.3492001,0.06397333,0.26319623,0.093623534,0.14727923,0.08272755
R170,0.10258906,0.08653556,0.17418294,0.22819932,0.1683673,0.2401259
R26,0.09819123,0.1651157,0.04876503,0.3373435,0.11055266,0.24003188
R240,0.63182473,0.06518843,0.14478253,0.06592341,0.057803348,0.03447758
R113,0.553147,0.10742234,0.036969304,0.18993692,0.04807509,0.06444941
R108,0.14940001,0.03797202,0.32516384,0.122774795,0.1894578,0.17523153
R66,0.09980949,0.15873227,0.051238976,0.353594,0.10929223,0.22733308
R185,0.07850252,0.13612041,0.1089275,0.11574444,0.22749446,0.33321062
R119,0.093732625,0.16093396,0.04932218,0.35959384,0.10696015,0.22945724
R220,0.44091505,0.052826524,0.24962908,0.08719401,0.10378579,0.0656495
R71,0.07867229,0.17778355,0.043508187,0.28989524,0.11772381,0.29241693
R207,0.6413972,0.08606621,0.107350916,0.07634142,0.055914957,0.032929234
R87,0.08906998,0.16686209,0.04865284,0.3202565,0.11451268,0.2606459
R110,0.093732625,0.16093396,0.04932218,0.35959384,0.10696015,0.22945724
R159,0.60843897,0.052916363,0.16035907,0.06065811,0.081882,0.035745487
R157,0.25888988,0.09602367,0.20019764,0.13041338,0.18067732,0.13379814
R215,0.07526688,0.14422055,0.093348116,0.117568746,0.21645173,0.35314393
R10,0.05342519,0.17186867,0.040615454,0.121742755,0.15551682,0.45683107
R194,0.61448246,0.036050256,0.19066566,0.040222544,0.08929426,0.029284803
R184,0.080920845,0.16952081,0.048298698,0.28279608,0.12135024,0.2971133
R239,0.046455238,0.194591,0.02938319,0.15032755,0.13105072,0.4481923
R85,0.13723513,0.15985179,0.055142567,0.3338944,0.10847238,0.20540375
