SampleID,Env,Contribution
R38,Pupils,0.055466466
R16,Pupils,0.13898925
R183,Pupils,0.0361912
R214,Pupils,0.0921924
R39,Pupils,0.039801113
R58,Pupils,0.4022836
R201,Pupils,0.10029125
R140,Pupils,0.17620702
R28,Pupils,0.0768586
R126,Pupils,0.036179
R144,Pupils,0.4923126
R143,Pupils,0.26108655
R149,Pupils,0.18567196
R221,Pupils,0.6402708
R175,Pupils,0.10453333
R250,Pupils,0.61448246
R83,Pupils,0.08074913
R88,Pupils,0.08607647
R223,Pupils,0.114356644
R178,Pupils,0.56214124
R212,Pupils,0.25491005
R148,Pupils,0.10105575
R96,Pupils,0.0667117
R82,Pupils,0.42924014
R161,Pupils,0.5295236
R257,Pupils,0.33220273
R137,Pupils,0.09419506
R150,Pupils,0.39182544
R238,Pupils,0.60140795
R177,Pupils,0.0934773
R130,Pupils,0.08148457
R179,Pupils,0.16219033
R68,Pupils,0.24108574
R202,Pupils,0.097902186
R77,Pupils,0.61443233
R86,Pupils,0.61448246
R106,Pupils,0.075955026
R190,Pupils,0.09472616
R243,Pupils,0.050273046
R216,Pupils,0.095324814
R70,Pupils,0.43850163
R127,Pupils,0.48890674
R45,Pupils,0.1684525
R229,Pupils,0.093738295
R224,Pupils,0.055201203
R114,Pupils,0.19877245
R111,Pupils,0.3492001
R170,Pupils,0.10258906
R26,Pupils,0.09819123
R240,Pupils,0.63182473
R113,Pupils,0.553147
R108,Pupils,0.14940001
R66,Pupils,0.09980949
R185,Pupils,0.07850252
R119,Pupils,0.093732625
R220,Pupils,0.44091505
R71,Pupils,0.07867229
R207,Pupils,0.6413972
R87,Pupils,0.08906998
R110,Pupils,0.093732625
R159,Pupils,0.60843897
R157,Pupils,0.25888988
R215,Pupils,0.07526688
R10,Pupils,0.05342519
R194,Pupils,0.61448246
R184,Pupils,0.080920845
R239,Pupils,0.046455238
R85,Pupils,0.13723513
R213,Pupils,0.45411843
R218,Pupils,0.102175735
R153,Pupils,0.13955986
R62,Pupils,0.59010804
R21,Pupils,0.12858109
R160,Pupils,0.65953255
R134,Pupils,0.12289765
R237,Pupils,0.26972595
R204,Pupils,0.3820552
R12,Pupils,0.059917893
R217,Pupils,0.60165846
R89,Pupils,0.096150525
R168,Pupils,0.5981085
R131,Pupils,0.26165774
R155,Pupils,0.053980123
R35,Pupils,0.076400794
R209,Pupils,0.09647708
R187,Pupils,0.6115954
R37,Pupils,0.11264402
R244,Pupils,0.64032847
R128,Pupils,0.14541122
R94,Pupils,0.40256962
R118,Pupils,0.3616152
R25,Pupils,0.11680393
R234,Pupils,0.41107216
R231,Pupils,0.13123755
R167,Pupils,0.24115549
R245,Pupils,0.044090606
R121,Pupils,0.093732625
R75,Pupils,0.5505073
R117,Pupils,0.48282376
R186,Pupils,0.093732625
R188,Pupils,0.3928659
R17,Pupils,0.32841533
R181,Pupils,0.46297106
R236,Pupils,0.4889486
R219,Pupils,0.059181917
R196,Pupils,0.10836008
R205,Pupils,0.5267262
R23,Pupils,0.6278902
R65,Pupils,0.28756577
R147,Pupils,0.49199164
R256,Pupils,0.15886769
R129,Pupils,0.08825422
R226,Pupils,0.61448246
R120,Pupils,0.4019116
R136,Pupils,0.6053616
R164,Pupils,0.09091906
R189,Pupils,0.057941623
R92,Pupils,0.112006485
R78,Pupils,0.06760872
R252,Pupils,0.5000926
R235,Pupils,0.38595483
R145,Pupils,0.61448246
R163,Pupils,0.09936074
R27,Pupils,0.086224146
R254,Pupils,0.08024539
R79,Pupils,0.07853151
R191,Pupils,0.48251843
R115,Pupils,0.091237456
R227,Pupils,0.092280835
R154,Pupils,0.12501451
R101,Pupils,0.6402708
R255,Pupils,0.09368288
R46,Pupils,0.16671157
