SampleID,Env
DYEY1,root:Young
DYEY10,root:Young
DYEY2,root:Young
DYEY3,root:Young
DYEY4,root:Young
DYEY5,root:Young
DYEY6,root:Young
DYEY7,root:Young
DYEY8,root:Young
DYEY9,root:Young
TET1,root:Young
TET10,root:Young
TET100,root:Young
TET103,root:Young
TET104,root:Young
TET105,root:Young
TET106,root:Young
TET107,root:Young
TET108,root:Young
TET109,root:Young
TET110,root:Young
TET112,root:Young
TET113,root:Young
TET114,root:Young
TET115,root:Young
TET117,root:Young
TET118,root:Young
TET119,root:Young
TET120,root:Young
TET121,root:Young
TET14,root:Young
TET15,root:Young
TET16,root:Young
TET18,root:Young
TET19,root:Young
TET2,root:Young
TET20,root:Young
TET24,root:Young
TET26,root:Young
TET28,root:Young
TET29,root:Young
TET31,root:Young
TET33,root:Young
TET34,root:Young
TET35,root:Young
TET36,root:Young
TET37,root:Young
TET38,root:Young
TET39,root:Young
TET4,root:Young
TET40,root:Young
TET41,root:Young
TET42,root:Young
TET43,root:Young
TET44,root:Young
TET45,root:Young
TET46,root:Young
TET47,root:Young
TET48,root:Young
TET5,root:Young
TET51,root:Young
TET52,root:Young
TET53,root:Young
TET54,root:Young
TET56,root:Young
TET57,root:Young
TET58,root:Young
TET6,root:Young
TET60,root:Young
TET61,root:Young
TET62,root:Young
TET63,root:Young
TET65,root:Young
TET67,root:Young
TET68,root:Young
TET7,root:Young
TET70,root:Young
TET71,root:Young
TET72,root:Young
TET75,root:Young
TET76,root:Young
TET77,root:Young
TET78,root:Young
TET79,root:Young
TET8,root:Young
TET80,root:Young
TET81,root:Young
TET82,root:Young
TET84,root:Young
TET85,root:Young
TET86,root:Young
TET87,root:Young
TET88,root:Young
TET89,root:Young
TET9,root:Young
TET90,root:Young
TET92,root:Young
TET93,root:Young
TET94,root:Young
TET95,root:Young
TET96,root:Young
TET97,root:Young
TET98,root:Young
DXX1,root:Young
DXX10,root:Young
DXX11,root:Young
DXX116,root:Young
DXX12,root:Young
DXX13,root:Young
DXX136,root:Young
DXX15,root:Young
DXX16,root:Young
DXX17,root:Young
DXX18,root:Young
DXX19,root:Young
DXX2,root:Young
DXX20,root:Young
DXX21,root:Young
DXX22,root:Young
DXX23,root:Young
DXX24,root:Young
DXX25,root:Young
DXX26,root:Young
DXX5,root:Young
DXX6,root:Young
DXX7,root:Young
DXX8,root:Young
DXX9,root:Young
TXX1,root:Young
TXX10,root:Young
TXX101,root:Young
TXX102,root:Young
TXX103,root:Young
TXX104,root:Young
TXX105,root:Young
TXX106,root:Young
TXX107,root:Young
TXX108,root:Young
TXX109,root:Young
TXX11,root:Young
TXX111,root:Young
TXX112,root:Young
TXX113,root:Young
TXX114,root:Young
TXX115,root:Young
TXX118,root:Young
TXX119,root:Young
TXX12,root:Young
TXX120,root:Young
TXX121,root:Young
TXX122,root:Young
TXX123,root:Young
TXX124,root:Young
TXX125,root:Young
TXX126,root:Young
TXX127,root:Young
TXX128,root:Young
TXX129,root:Young
TXX13,root:Young
TXX130,root:Young
TXX131,root:Young
TXX132,root:Young
TXX133,root:Young
TXX134,root:Young
TXX135,root:Young
TXX137,root:Young
TXX138,root:Young
TXX139,root:Young
TXX14,root:Young
TXX140,root:Young
TXX141,root:Young
TXX142,root:Young
TXX143,root:Young
TXX144,root:Young
TXX145,root:Young
TXX146,root:Young
TXX147,root:Young
TXX148,root:Young
TXX149,root:Young
TXX15,root:Young
TXX151,root:Young
TXX152,root:Young
TXX16,root:Young
TXX17,root:Young
TXX18,root:Young
TXX19,root:Young
TXX2,root:Young
TXX20,root:Young
TXX21,root:Young
TXX22,root:Young
TXX23,root:Young
TXX24,root:Young
TXX25,root:Young
TXX26,root:Young
TXX28,root:Young
TXX29,root:Young
TXX30,root:Young
TXX32,root:Young
TXX33,root:Young
TXX34,root:Young
TXX35,root:Young
TXX36,root:Young
TXX37,root:Young
TXX38,root:Young
TXX40,root:Young
TXX42,root:Young
TXX43,root:Young
TXX44,root:Young
TXX45,root:Young
TXX46,root:Young
TXX47,root:Young
TXX48,root:Young
TXX49,root:Young
TXX5,root:Young
TXX50,root:Young
TXX51,root:Young
TXX52,root:Young
TXX53,root:Young
TXX54,root:Young
TXX55,root:Young
TXX56,root:Young
TXX57,root:Young
TXX58,root:Young
TXX59,root:Young
TXX60,root:Young
TXX61,root:Young
TXX62,root:Young
TXX63,root:Young
TXX64,root:Young
TXX65,root:Young
TXX66,root:Young
TXX67,root:Young
TXX68,root:Young
TXX69,root:Young
TXX70,root:Young
TXX72,root:Young
TXX73,root:Young
TXX74,root:Young
TXX75,root:Young
TXX76,root:Young
TXX77,root:Young
TXX78,root:Young
TXX79,root:Young
TXX8,root:Young
TXX80,root:Young
TXX81,root:Young
TXX82,root:Young
TXX83,root:Young
TXX84,root:Young
TXX85,root:Young
TXX86,root:Young
TXX87,root:Young
TXX88,root:Young
TXX89,root:Young
