Samples	TL87	100b	TL97	TL91	TL13	TL59	TL120	TL73	TL100	TL18	TL57	TL12	TL69	TL20	TL78	TL5	TL94	TL109	TL14	TL39	TL118	TL123	TL107	TL66	TL1	TL3
k__Bacteria;p__Proteobacteria;c__Enterobacteriales;o__Gammaproteobacteria;f__Enterobacteriaceae;g__Escherichia-Shigella;s__	0.003819339193695	0.0130601459790777	0.180269837029121	0.0040077792722381	0.0318451451763971	0.0041699321277004	0.0523566899327572	0.0718182585930242	0.073506021358782	0.0506865444700952	0.0069491756370077	0.0426139413065412	0.0049280746733807	0.0012980104266411	0.0025867507886435	0.245703044108511	0.0169524127053332	0.0129669397748567	0.1048904112759506	0.0452542136080169	0.0028412247424644	0.0089213998852553	0.0071334983258116	0.0093380217984446	0.005390477707852	0.5553105800041156
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Bacteroidaceae;g__Bacteroides;s__	0.0149257350712337	0.2623724848931147	0.0092973550627838	0.0306263404703915	0.0377510667082943	0.1977021012317565	0.095545368876679	0.0685921797145511	0.0304313954620703	0.0543394617046329	0.0185583867011854	0.0547004143320237	0.0060487894744922	0.0119374401532077	0.2861619348054679	0.0058759577552288	0.0643601810651039	0.0972520483114254	0.0250422385261647	0.2415632581001613	0.0068411612514087	0.0580034423407917	0.1986278934342699	0.023447189109532	0.3336121511458084	0.0131110915130669
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Prevotellaceae;g__Prevotella;s__	0.0159684752955441	0.036278183275216	0.0029187817258883	0.1126722163655531	0.1602273909876157	0.0647670309196031	0.016371448194349	0.0068913098555865	0.1043756289155062	0.1410452535254359	0.2665758277694509	0.0077928769240677	0.0682407848074059	0.0835195233535482	0.0024815983175604	0.0005953613584593	0.1381839631714604	0.0071126673870522	0.0158307681625662	0.0031371851701319	0.4425644037396232	0.0470453241537578	0.0010372688892124	0.094562061368312	0.0503332536711012	0.0004262574595055
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Lachnospiraceae;g__Blautia;s__	0.0254622612913003	0.0056962162396309	0.0225420785466203	0.0076338652804536	0.0090019773129357	0.0045839679417983	0.0091520388442556	0.0039861498184274	0.0122699386503067	0.0050714358560713	0.0067039106145251	0.0158219016337133	0.0077068332898352	0.0110437280561761	0.0081598317560462	0.0056818181818181	0.00487285690471	0.0058953070073451	0.0270558011433332	0.0030990817065271	0.000999984127236	0.0331038439472174	0.0021473285776677	0.0126792827232006	0.0077006824397886	0.0123026721933151
k__Bacteria;p__Proteobacteria;c__Enterobacteriales;o__Gammaproteobacteria;f__Enterobacteriaceae;g__None;s__	0.0022431039709002	0.0001082930844036	0.0018167245524979	0.0109327856337925	0.009977625143095	0.0040812101675366	0.0027472088677346	0.3355628747571995	0.0602460479761093	0.2376065047886592	0.0035699686605804	0.0108198621755651	0.5902021892319266	0.0034684540908607	0.0019768664563617	0.0156994201698074	0.021915032763551	0.0035836901065532	0.0104844122480153	0.0012066096808199	0.0180949508737956	0.0016924842226047	0.0141942058523802	0.0119497497701971	0.0032927055949441	0.0471675926742511
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Peptostreptococcaceae;g__Incertae_Sedis;s__	0.0662140042437102	0.0024907409412834	0.0264092973550627	0.0061161801592206	0.0024456238942657	0.0117704467150694	0.0092798160008944	0.177248543197365	0.0064920310319083	0.0616731102643265	0.0035154653222509	0.0031128571735256	0.0007215561048252	0.0352165123949356	0.0237223974763406	0.0433837233381652	0.0065014169754946	0.0561490377381717	0.0031707825120929	0.0015114373896587	0.0041904096760368	0.0018072289156626	0.0015104090842917	0.0088565300494623	0.0033192596723226	0.0036893318046858
k__Bacteria;p__Actinobacteria;c__Bifidobacteriales;o__Actinobacteria;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.0014064868141861	0.0001732689350458	0.0079481699171787	0.0006634192446108	0.0022635029659694	0.0	0.0001916657349582	6.756186132927963e-05	0.0004382120946538	0.0027999517889095	8.175500749420902e-05	0.0002790837465919	0.0	0.0	0.0007360672975814	0.0002717954027749	1.2823307643973689e-05	0.0005471282605424	0.0026616057583261	0.0015622420077985	0.0	0.0	0.0008370941912942	1.4590659060069744e-05	0.000916115669561	0.0001616838639503
k__Bacteria;p__Actinobacteria;c__Coriobacteriales;o__Coriobacteriia;f__Coriobacteriaceae;g__Collinsella;s__	0.0096271597453773	0.0001299517012843	0.0255009350788137	0.0034988549202079	0.0014439587886356	0.0006654147012287	0.0152054816400198	0.0005236044253019	0.0145746096666342	0.0008622368091675	0.0037879820138983	0.0001073399025353	0.0109615118903234	0.003362059793595	0.0049842271293375	0.0144180989852971	0.0008976315350781	0.0014635680969511	0.0065267202073738	0.0006731611903522	0.0002857097506388	0.0012621916236374	9.09884990537196e-05	0.0022323708361906	6.63851934464537e-05	0.0003821618602463
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Ruminococcaceae;g__Faecalibacterium;s__	0.0238860260685056	0.0048731887981633	0.0054301362543414	0.0110872805263731	0.0132037673014881	0.0155263430286719	0.0089444009647175	0.0003040283759817	0.0110526828318239	0.001724473618335	0.0071671889903256	0.0161439213413194	0.0171484716827609	0.0049366953931269	0.0034910620399579	0.0081797473597018	0.0045009809830347	0.0056217428770739	0.001944129423473	0.0234971358896523	0.0038412088697004	0.0037005163511187	0.0041854709564711	0.0077184586427768	0.0009426697469396	0.0073786636093717
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Bacteroidaceae;g__Bacteroides;s__	0.0098332828129736	0.0086201295185289	0.0022441891530857	0.01192337053328	0.0036164012904568	0.0122584174959705	0.0003034707470172	0.0046617684317202	0.0086019411172785	0.0340908037345052	0.0020983785256846	6.44039415212211e-05	0.0025331224956629	0.0049792531120331	0.0020189274447949	0.0001941395734106	0.0178243976251234	0.0055670300510197	0.0028236165436156	0.0014860350805888	0.0001111093474706	0.0912220309810671	0.1537705634007861	0.0003064038402614	0.0001460474255821	0.0187847252844166
