SampleID,Group
DYEY1,Young
DYEY10,Young
DYEY2,Young
DYEY3,Young
DYEY4,Young
DYEY5,Young
DYEY6,Young
DYEY7,Young
DYEY8,Young
DYEY9,Young
TET1,Young
TET10,Young
TET100,Young
TET103,Young
TET104,Young
TET105,Young
TET106,Young
TET107,Young
TET108,Young
TET109,Young
TET110,Young
TET112,Young
TET113,Young
TET114,Young
TET115,Young
TET117,Young
TET118,Young
TET119,Young
TET120,Young
TET121,Young
TET14,Young
TET15,Young
TET16,Young
TET18,Young
TET19,Young
TET2,Young
TET20,Young
TET24,Young
TET26,Young
TET28,Young
TET29,Young
TET31,Young
TET33,Young
TET34,Young
TET35,Young
TET36,Young
TET37,Young
TET38,Young
TET39,Young
TET4,Young
TET40,Young
TET41,Young
TET42,Young
TET43,Young
TET44,Young
TET45,Young
TET46,Young
TET47,Young
TET48,Young
TET5,Young
TET51,Young
TET52,Young
TET53,Young
TET54,Young
TET56,Young
TET57,Young
TET58,Young
TET6,Young
TET60,Young
TET61,Young
TET62,Young
TET63,Young
TET65,Young
TET67,Young
TET68,Young
TET7,Young
TET70,Young
TET71,Young
TET72,Young
TET75,Young
TET76,Young
TET77,Young
TET78,Young
TET79,Young
TET8,Young
TET80,Young
TET81,Young
TET82,Young
TET84,Young
TET85,Young
TET86,Young
TET87,Young
TET88,Young
TET89,Young
TET9,Young
TET90,Young
TET92,Young
TET93,Young
TET94,Young
TET95,Young
TET96,Young
TET97,Young
TET98,Young
DXX1,Young
DXX10,Young
DXX11,Young
DXX116,Young
DXX12,Young
DXX13,Young
DXX136,Young
DXX15,Young
DXX16,Young
DXX17,Young
DXX18,Young
DXX19,Young
DXX2,Young
DXX20,Young
DXX21,Young
DXX22,Young
DXX23,Young
DXX24,Young
DXX25,Young
DXX26,Young
DXX5,Young
DXX6,Young
DXX7,Young
DXX8,Young
DXX9,Young
TXX1,Young
TXX10,Young
TXX101,Young
TXX102,Young
TXX103,Young
TXX104,Young
TXX105,Young
TXX106,Young
TXX107,Young
TXX108,Young
TXX109,Young
TXX11,Young
TXX111,Young
TXX112,Young
TXX113,Young
TXX114,Young
TXX115,Young
TXX118,Young
TXX119,Young
TXX12,Young
TXX120,Young
TXX121,Young
TXX122,Young
TXX123,Young
TXX124,Young
TXX125,Young
TXX126,Young
TXX127,Young
TXX128,Young
TXX129,Young
TXX13,Young
TXX130,Young
TXX131,Young
TXX132,Young
TXX133,Young
TXX134,Young
TXX135,Young
TXX137,Young
TXX138,Young
TXX139,Young
TXX14,Young
TXX140,Young
TXX141,Young
TXX142,Young
TXX143,Young
TXX144,Young
TXX145,Young
TXX146,Young
TXX147,Young
TXX148,Young
TXX149,Young
TXX15,Young
TXX151,Young
TXX152,Young
TXX16,Young
TXX17,Young
TXX18,Young
TXX19,Young
TXX2,Young
TXX20,Young
TXX21,Young
TXX22,Young
TXX23,Young
TXX24,Young
TXX25,Young
TXX26,Young
TXX28,Young
TXX29,Young
TXX30,Young
TXX32,Young
TXX33,Young
TXX34,Young
TXX35,Young
TXX36,Young
TXX37,Young
TXX38,Young
TXX40,Young
TXX42,Young
TXX43,Young
TXX44,Young
TXX45,Young
TXX46,Young
TXX47,Young
TXX48,Young
TXX49,Young
TXX5,Young
TXX50,Young
TXX51,Young
TXX52,Young
