,root:Elder,root:Middle age,root:Young
R38,0.24640371,0.021572614,0.7320237
R16,0.41232768,0.11707765,0.47059467
R183,0.16718559,0.010446303,0.82236814
R214,0.24249741,0.3594285,0.3980741
R39,0.25817427,0.023584617,0.7182411
R58,0.4454938,0.10089761,0.45360863
R201,0.4143431,0.1782522,0.40740463
R140,0.23330735,0.30049166,0.46620098
R28,0.40426534,0.10840315,0.48733157
R126,0.40248805,0.088857904,0.508654
R144,0.21712498,0.3313119,0.4515631
R143,0.25279954,0.022792215,0.7244082
R149,0.4123244,0.10868865,0.47898698
R221,0.42829734,0.08115506,0.49054754
R175,0.33908245,0.22410938,0.43680817
R250,0.40133092,0.059248045,0.539421
R83,0.29941976,0.032013398,0.6685669
R88,0.35509956,0.046453252,0.59844714
R223,0.24629076,0.021506768,0.7322025
R178,0.24405138,0.021131776,0.73481685
R212,0.23336808,0.019492172,0.7471397
R148,0.24750519,0.022118881,0.7303759
R96,0.24571851,0.021407476,0.73287404
R82,0.35295728,0.2257526,0.4212901
R161,0.3448171,0.15526633,0.49991655
R257,0.23516399,0.019706987,0.745129
R137,0.21066725,0.39605376,0.39327896
R150,0.21297899,0.3805393,0.4064817
R238,0.26390785,0.024995,0.7110972
R177,0.42921355,0.11868656,0.45209992
R130,0.35291392,0.28350425,0.3635819
R179,0.40168568,0.13471696,0.46359736
R68,0.2684362,0.026896086,0.70466775
R202,0.26733765,0.025716174,0.7069462
R77,0.3369635,0.04361134,0.61942524
R86,0.28671226,0.030558506,0.68272924
R106,0.3403695,0.19236867,0.46726185
R190,0.19237359,0.41413826,0.3934881
R243,0.2347738,0.019708205,0.74551797
R216,0.37179548,0.078821234,0.5493833
R70,0.4300876,0.1085674,0.46134502
R127,0.47842318,0.17995675,0.34162003
R45,0.32977033,0.3809894,0.28924027
R229,0.36553872,0.12712343,0.50733787
R224,0.30008328,0.032082118,0.66783464
R114,0.2916078,0.03316232,0.6752299
R111,0.24194548,0.020799594,0.7372549
R170,0.23766963,0.020170728,0.7421596
R26,0.2691667,0.026273608,0.7045597
R240,0.40778995,0.1080107,0.48419932
R113,0.47841772,0.24188024,0.27970207
R108,0.37453863,0.11441553,0.5110459
R66,0.36578992,0.38057217,0.25363797
R185,0.24463269,0.021221709,0.73414564
R119,0.40014803,0.058842957,0.541009
R220,0.24828988,0.021889219,0.7298209
R71,0.45892322,0.13985716,0.40121955
R207,0.38556716,0.18692416,0.4275086
R87,0.3723233,0.13241191,0.49526486
R110,0.40138564,0.059266582,0.5393477
R159,0.20086245,0.37377372,0.4253638
R157,0.2623643,0.025054537,0.71258116
R215,0.25056595,0.022226864,0.72720724
R10,0.23773886,0.020228174,0.74203295
R194,0.40962195,0.06497182,0.5254062
R184,0.39382404,0.1418278,0.46434808
R239,0.39149106,0.109434605,0.49907434
R85,0.43188134,0.13023773,0.4378809
R213,0.4713753,0.15262802,0.37599674
R218,0.33658156,0.2754741,0.38794437
R153,0.39457804,0.07075605,0.5346659
R62,0.26001307,0.024173541,0.71581334
R21,0.39668995,0.10570271,0.4976073
R160,0.32105786,0.040190957,0.63875115
R134,0.24349281,0.021178288,0.7353289
R237,0.41651225,0.112728946,0.47075883
R204,0.24550004,0.021368997,0.73313093
R12,0.2525423,0.022563325,0.72489434
R217,0.42490977,0.15883815,0.41625202
R89,0.21343817,0.3590385,0.42752334
R168,0.46121144,0.16531493,0.3734736
R131,0.7344412,0.120392516,0.14516625
R155,0.32377952,0.04579828,0.6304222
R35,0.47846603,0.24143897,0.28009492
R209,0.30640283,0.03315758,0.6604396
R187,0.27398235,0.23541033,0.49060732
R37,0.380084,0.20227887,0.4176371
R244,0.33858946,0.060462944,0.6009476
R128,0.40765864,0.07065184,0.5216895
R94,0.40096092,0.059211094,0.539828
R118,0.24293254,0.021094808,0.73597264
R25,0.24678968,0.021714104,0.73149616
R234,0.4328912,0.13105655,0.43605226
R231,0.3065833,0.033954356,0.6594624
R167,0.26829752,0.026712772,0.70498973
R245,0.22411309,0.017969407,0.75791746
R121,0.40138564,0.059266582,0.5393477
R75,0.26420972,0.025870599,0.70991963
R117,0.35774723,0.049409542,0.5928433
R186,0.40138894,0.059268627,0.5393424
R188,0.4680142,0.13913798,0.39284778
R17,0.26269248,0.024340846,0.7129667
R181,0.3137755,0.24954958,0.43667495
R236,0.40138564,0.059266582,0.5393477
R219,0.4784176,0.24188134,0.27970102
R196,0.24191417,0.020773092,0.73731273
R205,0.3662471,0.19336897,0.4403839
R23,0.30460307,0.30706602,0.38833097
R65,0.33922806,0.15143591,0.509336
R147,0.25751585,0.02425503,0.71822906
R256,0.25684676,0.02334608,0.71980715
R129,0.3383808,0.24291275,0.41870642
R226,0.18936823,0.43913504,0.37149668
R120,0.40142077,0.05928874,0.5392905
R136,0.36298373,0.1846823,0.452334
R164,0.28229043,0.02816555,0.68954396
R189,0.32434124,0.3890367,0.28662205
R92,0.2424443,0.020909833,0.7366459
R78,0.25492525,0.023742277,0.7213325
R252,0.33412844,0.30327216,0.36259943
R235,0.4386369,0.1412664,0.42009667
R145,0.45411,0.13445975,0.4114302
R163,0.3920304,0.10935062,0.49861896
R27,0.23839407,0.020843675,0.74076223
R254,0.25063166,0.022256423,0.727112
R79,0.3738938,0.11648615,0.50962013
R191,0.41621614,0.17972717,0.4040568
R115,0.27347916,0.028995268,0.69752556
R227,0.20567134,0.3597007,0.4346279
R154,0.2455314,0.021424158,0.73304445
R101,0.2880798,0.35590297,0.35601732
R255,0.44526106,0.11729512,0.43744385
R46,0.25700492,0.023375466,0.71961963
R222,0.4764993,0.16791745,0.35558328
R97,0.23961216,0.020434715,0.7399531
R105,0.39410302,0.109063186,0.49683377
R242,0.35455266,0.31036538,0.335082
R180,0.47952276,0.19053875,0.32993847
R102,0.44776544,0.1017206,0.45051396
R172,0.24702936,0.021621555,0.7313491
R230,0.4784176,0.24188134,0.27970102
R171,0.24362409,0.021073917,0.735302
R233,0.4784191,0.24186818,0.27971283
R55,0.44625932,0.120405875,0.43333483
R228,0.4740705,0.37550718,0.15042236
R151,0.25611055,0.02365405,0.72023535
R169,0.33041552,0.33038196,0.3392025
R211,0.48025548,0.20794109,0.3118034
R14,0.36034426,0.05089619,0.58875954
R192,0.3041956,0.035056356,0.66074806
R142,0.26452205,0.024791464,0.7106865
R107,0.465589,0.13447909,0.39993197
R173,0.34885347,0.2428141,0.4083324
R93,0.25891528,0.023679879,0.7174049
R40,0.33921275,0.2203228,0.44046447
R49,0.3425541,0.043182652,0.61426324
R13,0.2233152,0.018193772,0.7584911
R248,0.24622291,0.02159035,0.73218673
R98,0.33083084,0.32976806,0.33940113
R74,0.44747376,0.24357408,0.3089522
R132,0.30061513,0.034206077,0.6651788
R210,0.19619182,0.41313684,0.39067134
R61,0.38262177,0.053117804,0.5642604
R232,0.4013097,0.059240494,0.53944975
R80,0.3427259,0.16670787,0.49056622
R44,0.24754713,0.021764383,0.7306885
R100,0.33576557,0.2859985,0.37823594
R182,0.36586198,0.119455114,0.5146829
R152,0.2957967,0.031173585,0.6730297
R67,0.33847392,0.24064642,0.42087966
R135,0.46734327,0.13632458,0.39633214
R156,0.4482271,0.11878429,0.43298858
R225,0.23933586,0.29320103,0.46746308
R34,0.24233682,0.020923069,0.73674005
R109,0.26790822,0.026665308,0.7054266
R103,0.30932197,0.035354767,0.65532327
R52,0.32071453,0.03979761,0.63948786
R251,0.42862582,0.083342776,0.48803142
R195,0.4068742,0.10842037,0.4847055
R133,0.34622812,0.14977556,0.5039963
R203,0.2456056,0.021386322,0.73300815
R158,0.47546652,0.23551089,0.28902265
R253,0.24460848,0.021233222,0.7341582
R193,0.41886923,0.07472195,0.5064088
R47,0.42229384,0.109980516,0.4677257
R197,0.46355098,0.13000855,0.40644038
R99,0.23798957,0.020235354,0.74177504
R64,0.2328873,0.019359456,0.7477532
R76,0.301885,0.03400724,0.66410774
R247,0.06909069,0.9051465,0.02576288
R165,0.2560379,0.02327096,0.72069114
R176,0.47919843,0.23360133,0.2872003
R53,0.41291338,0.10873617,0.47835046
R166,0.39556777,0.072175354,0.5322569
R104,0.1978915,0.38400227,0.41810617
R141,0.4433799,0.13500431,0.42161572
R174,0.19041777,0.011788335,0.79779387
R51,0.26829946,0.025879191,0.7058214
