,root:Elder,root:Middle age,root:Young
R38,0.02995406,0.024497412,0.94554853
R16,0.08530408,0.046197288,0.8684987
R183,0.01006031,0.0021374896,0.9878022
R214,0.04420858,0.014733474,0.941058
R39,0.095872834,0.41440323,0.489724
R58,0.0097939,0.0008482513,0.9893579
R201,0.16648778,0.3537296,0.47978252
R140,0.05764134,0.10768746,0.83467126
R28,0.31492803,0.25591794,0.429154
R126,0.03294538,0.021144465,0.9459101
R144,0.015082345,0.0022338172,0.98268384
R143,0.12584305,0.39246285,0.48169407
R149,0.011091706,0.0010813859,0.9878269
R221,0.009794362,0.00084645714,0.98935914
R175,0.05172629,0.01982775,0.928446
R250,0.023078885,0.0014321463,0.97548896
R83,0.041456092,0.023099666,0.9354442
R88,0.009684507,0.0016131818,0.9887023
R223,0.029182483,0.026660185,0.9441573
R178,0.030948315,0.024292411,0.94475925
R212,0.031203086,0.024181766,0.9446152
R148,0.114928246,0.63192075,0.25315094
R96,0.031267982,0.024489237,0.94424284
R82,0.04252718,0.009216258,0.9482566
R161,0.11283485,0.29494497,0.5922202
R257,0.026693033,0.028639548,0.9446674
R137,0.09151631,0.7879691,0.120514594
R150,0.010607878,0.0009817547,0.98841035
R238,0.015484389,0.028810794,0.9557048
R177,0.1764206,0.35502446,0.4685549
R130,0.07657048,0.032132618,0.89129686
R179,0.15418276,0.58951855,0.25629866
R68,0.031768586,0.03601147,0.9322199
R202,0.060052022,0.02084754,0.91910046
R77,0.048289306,0.022038177,0.92967254
R86,0.023074746,0.0014317536,0.9754935
R106,0.28818002,0.35766807,0.3541519
R190,0.026547844,0.004230924,0.96922123
R243,0.044249322,0.02464996,0.93110067
R216,0.018784666,0.002324776,0.9788905
R70,0.019288372,0.03350822,0.94720346
R127,0.013032113,0.0013074476,0.98566043
R45,0.13861649,0.08672094,0.77466255
R229,0.31329957,0.24259016,0.44411033
R224,0.051983647,0.1417985,0.80621785
R114,0.02831912,0.025656296,0.9460246
R111,0.040041924,0.024104388,0.9358537
R170,0.026106026,0.0034361691,0.9704578
R26,0.046558358,0.017711764,0.9357299
R240,0.012964567,0.001725547,0.9853099
R113,0.009794362,0.00084645714,0.98935914
R108,0.012128394,0.0011073068,0.9867643
R66,0.1737843,0.5078622,0.31835353
R185,0.03606087,0.02344858,0.9404906
R119,0.009559105,0.0024100875,0.98803085
R220,0.07488402,0.16489293,0.76022303
R71,0.04833224,0.016207641,0.93546015
R207,0.009794362,0.00084645714,0.98935914
R87,0.097037025,0.60900474,0.29395828
R110,0.009534465,0.0026800025,0.9877856
R159,0.011131627,0.0021440182,0.98672444
R157,0.029242309,0.039995447,0.93076223
R215,0.032249987,0.02485436,0.94289565
R10,0.061129324,0.079141326,0.85972935
R194,0.023074891,0.001431767,0.9754934
R184,0.025240222,0.0053820475,0.9693777
R239,0.03875996,0.122568846,0.83867115
R85,0.10510215,0.07130464,0.8235932
R213,0.016825166,0.003009121,0.9801657
R218,0.08578912,0.18732086,0.72689
R153,0.15237512,0.7029423,0.14468254
R62,0.02908049,0.062230036,0.9086895
R21,0.024996286,0.0046777357,0.970326
R160,0.0437169,0.0053795823,0.9509035
R134,0.020823374,0.031104654,0.94807196
R237,0.010106733,0.0015242812,0.988369
R204,0.027782852,0.028244141,0.94397306
R12,0.027606547,0.025784424,0.946609
R217,0.018260946,0.030329363,0.9514097
R89,0.009797435,0.00084900064,0.98935354
R168,0.018332494,0.033388358,0.94827914
R131,0.009794362,0.00084645714,0.98935914
R155,0.02307651,0.023676,0.9532474
R35,0.047113206,0.4676766,0.4852102
R209,0.109555386,0.7487189,0.14172566
R187,0.021055106,0.0013589486,0.9775859
R37,0.23799779,0.18737909,0.5746231
R244,0.01364572,0.0012564835,0.98509777
R128,0.009626979,0.0022826816,0.9880903
R94,0.009794362,0.00084645714,0.98935914
R118,0.033184722,0.029163003,0.9376523
R25,0.0830218,0.07783793,0.83914024
R234,0.025478497,0.004158813,0.9703627
