,root:Elder,root:Middle age,root:Young
TL62,0.34918755,0.14126629,0.5095461
TL70,0.24431519,0.021170272,0.7345145
TL93,0.28543615,0.029767413,0.68479645
TL14,0.33154538,0.21284814,0.45560652
TL18,0.33099923,0.48082286,0.18817793
TL44,0.23121822,0.019064087,0.7497177
TL37,0.33839422,0.041320942,0.62028486
TL119,0.4759628,0.2266297,0.29740748
TL7,0.2496419,0.022094168,0.7282639
TL123,0.30465364,0.03341739,0.66192895
TL77,0.38819984,0.12349282,0.48830745
TL106,0.37076485,0.37135163,0.25788355
TL23,0.24358784,0.021085666,0.73532647
TL107,0.23910595,0.020325987,0.7405681
TL86,0.24050228,0.020546325,0.7389514
TL12,0.27580068,0.02800935,0.69618994
TL27,0.3455683,0.047689054,0.6067427
TL30,0.24318919,0.020985885,0.735825
TL80,0.42767477,0.11111748,0.4612078
TL20,0.27912024,0.027806163,0.6930736
TL110,0.28297564,0.029658066,0.68736625
TL57,0.29497382,0.045953546,0.65907264
TL2,0.32396895,0.03731905,0.63871205
TL63,0.30013275,0.03558084,0.6642864
TL58,0.23810367,0.020201147,0.74169517
TL99,0.24781409,0.021767408,0.7304185
