,root:Elder,root:Middle age,root:Young
TL62,0.019966403,0.0036254595,0.97640806
TL70,0.034218192,0.023680117,0.94210166
TL93,0.041799936,0.052838515,0.90536153
TL14,0.07330325,0.10646275,0.820234
TL18,0.3030891,0.2685252,0.4283857
TL44,0.010548852,0.000969511,0.98848164
TL37,0.03531963,0.07562516,0.8890552
TL119,0.0804037,0.5730375,0.3465588
TL7,0.034187593,0.024192492,0.9416199
TL123,0.06392897,0.010422286,0.9256487
TL77,0.085252635,0.06691435,0.8478331
TL106,0.28604907,0.19522266,0.5187283
TL23,0.040193457,0.022263812,0.9375427
TL107,0.030938612,0.036983937,0.9320775
TL86,0.038191788,0.025512613,0.9362957
TL12,0.025428567,0.005073466,0.9694979
TL27,0.14582162,0.45197728,0.4022011
TL30,0.030736625,0.024538442,0.944725
TL80,0.28644505,0.34415632,0.36939868
TL20,0.11284941,0.64609635,0.24105424
TL110,0.01790354,0.0026002747,0.9794962
TL57,0.026448898,0.0045714234,0.96897966
TL2,0.043705657,0.022922585,0.9333718
TL63,0.079179116,0.07284478,0.84797615
TL58,0.037637725,0.025687905,0.93667436
TL99,0.036913525,0.023285938,0.93980056
