SampleID,Env
TQ22,root:young
TQ76,root:young
TZ114,root:other
TZX118,root:young
TQ44,root:young
DXX18,root:young
TZ38,root:other
TQ36,root:young
TXX112,root:young
TET57,root:young
TXX36,root:young
TQ58,root:young
TXX127,root:young
DXX1,root:young
TZX98,root:young
TZX75,root:young
TQ102,root:young
TXX134,root:young
TXX125,root:young
TET28,root:young
TET96,root:young
TXX131,root:young
TQ39,root:young
TZ44,root:other
TZ32,root:other
TZX56,root:young
TXX146,root:young
TET67,root:young
TXX32,root:young
TXX66,root:young
TET52,root:young
TQ2,root:young
TZX50,root:young
TXX56,root:young
TXX34,root:young
TZX84,root:young
TZ111,root:other
Q32,root:young
TZ69,root:other
TQ78,root:young
TET76,root:young
TQ72,root:young
TZ88,root:other
TZ16,root:other
Q126,root:young
TQ139,root:young
TET60,root:young
TXX24,root:young
TQ71,root:young
TXX148,root:young
TZ85,root:other
TZX66,root:young
TZ57,root:other
TXX122,root:young
TET94,root:young
TET35,root:young
TZX116,root:young
TXX132,root:young
TQ111,root:young
TQ98,root:young
TET89,root:young
TET14,root:young
TZ91,root:other
TZX67,root:young
TQ15,root:young
TQ21,root:young
TXX44,root:young
TXX69,root:young
TZX65,root:young
TZ71,root:other
TQ083,root:young
TXX1,root:young
TQ119,root:young
TQ94,root:young
TZX44,root:young
TZX34,root:young
TQ14,root:young
TZX121,root:young
TXX77,root:young
TQ060,root:young
TZX38,root:young
TZ11,root:other
TXX139,root:young
TXX65,root:young
TQ63,root:young
TXX45,root:young
TXX5,root:young
TZ112,root:other
TET80,root:young
TXX137,root:young
TZX1,root:young
DXX136,root:young
TQ062,root:young
TQ101,root:young
TXX113,root:young
TXX93,root:young
TZ52,root:other
TZ26,root:other
TET118,root:young
TXX8,root:young
TQ084,root:young
TZX70,root:young
TXX149,root:young
TXX147,root:young
TXX37,root:young
TXX48,root:young
TET77,root:young
TZ60,root:other
DYEY3,root:young
TZ58,root:other
DXX15,root:young
TET63,root:young
TET110,root:young
TQ1,root:young
TXX86,root:young
TET45,root:young
TET87,root:young
TQ113,root:young
TQ106,root:young
TQ33,root:young
TQ130,root:young
TXX128,root:young
TXX119,root:young
TQ89,root:young
TZ95,root:other
TXX26,root:young
TXX94,root:young
TET109,root:young
TQ96,root:young
TZ7,root:young
TQ49,root:young
TQ38,root:young
TQ109,root:young
TZ81,root:other
TQ8,root:young
TET115,root:young
TZX13,root:young
TZX72,root:young
TQ77,root:young
TZ110,root:other
TXX25,root:young
TZX29,root:young
TQ4,root:young
TXX141,root:young
TXX70,root:young
TZ28,root:other
DXX12,root:young
TXX142,root:young
TZ5,root:other
TZ104,root:other
TET117,root:young
TQ118,root:young
TZX15,root:young
TET71,root:young
TET6,root:young
TQ48,root:young
TET98,root:young
TXX35,root:young
TXX108,root:young
TXX120,root:young
TQ70,root:young
TET15,root:young
TET70,root:young
TET58,root:young
DYEY2,root:young
TET4,root:young
TET37,root:young
TXX43,root:young
TZ45,root:other
TET108,root:young
TET33,root:young
TZX26,root:young
TZX115,root:young
DXX13,root:young
TQ25,root:young
DXX16,root:young
TZX45,root:young
TZX41,root:young
TQ29,root:young
TET5,root:young
TQ53,root:young
DXX23,root:young
TZX55,root:young
TXX12,root:young
TET93,root:young
TXX114,root:young
TQ19,root:young
TZ62,root:other
TET43,root:young
TXX61,root:young
TZ103,root:other
DXX19,root:young
TQ31,root:young
TZX57,root:young
TZX28,root:young
TZX96,root:young
TQ75,root:young
TZ74,root:other
TXX95,root:young
TZ30.1,root:other
TZX27,root:young
DXX7,root:young
TZX112,root:young
Q123,root:young
DXX2,root:young
TXX109,root:young
TZX71,root:young
TQ56,root:young
TQ127,root:young
TZ41,root:other
TZ93,root:other
TXX62,root:young
TET31,root:young
TXX91,root:young
TQ99,root:young
TQ42,root:young
TET48,root:young
TET16,root:young
TXX11,root:young
TQ81,root:young
TZ113,root:other
TQ97,root:young
TET97,root:young
TXX129,root:young
TET107,root:young
DYEY7,root:young
DYEY6,root:young
TQ104,root:young
TET81,root:young
TXX81,root:young
TET88,root:young
TZ67,root:young
TZ75,root:other
TXX73,root:young
TZ29,root:other
TXX20,root:young
TZX76,root:young
TET19,root:young
TZX42,root:young
TZX107,root:young
TZ102,root:other
TQ117,root:young
TZX86,root:young
TXX75,root:young
TZX111,root:young
TET85,root:young
TET53,root:young
TXX101,root:young
TQ20,root:young
TXX151,root:young
DYEY9,root:young
TZX17,root:young
TXX63,root:young
TZX48,root:young
TET62,root:young
TXX14,root:young
TXX58,root:young
TZX2,root:young
TQ133,root:young
TXX60,root:young
TXX28,root:young
TQ54,root:young
TXX15,root:young
TQ064,root:young
TXX135,root:young
TXX57,root:young
TZX62,root:young
TZX37,root:young
TZX35,root:young
TZX92,root:young
TQ135,root:young
TZ33,root:other
TZX5,root:young
TZ15,root:young
TET24,root:young
TQ55,root:young
TET61,root:young
TZ53,root:other
TQ034,root:young
TXX10,root:young
TXX87,root:young
TZ22,root:other
TQ105,root:young
TQ73,root:young
TZX68,root:young
TXX59,root:young
TET47,root:young
TXX40,root:young
TXX90,root:young
TZ47,root:other
TET41,root:young
TXX123,root:young
TET121,root:young
TZ3,root:other
TET120,root:young
TQ85,root:young
TZ20,root:other
TQ82,root:young
TXX98,root:young
TZX97,root:young
TQ12,root:young
TQ86,root:young
TQ51,root:young
TXX78,root:young
DYEY5,root:young
TZX85,root:young
TZX43,root:young
TQ26,root:young
DYEY10,root:young
DXX11,root:young
TZX18,root:young
TXX52,root:young
TZX100,root:young
TZ86,root:other
TZX101,root:young
TQ125,root:young
TZX60,root:young
TZ78,root:other
TXX68,root:young
TET40,root:young
TQ132,root:young
TZX58,root:young
TQ66,root:young
TZX19,root:young
TZX11,root:young
TZX61,root:young
TZ30,root:other
TQ45,root:young
TZ56,root:other
TQ108,root:young
TQ141,root:young
TET1,root:young
TZX33,root:young
TQ10,root:young
TXX55,root:young
TZX49,root:young
TQ11,root:young
TET20,root:young
DXX9,root:young
TZX77,root:young
TQ46,root:young
TQ43,root:young
TQ9,root:young
TXX21,root:young
TZ48,root:other
TXX97,root:young
TQ67,root:young
TZX114,root:young
TZX39,root:young
TZX83,root:young
TET112,root:young
TZ115,root:other
TQ136,root:young
TXX33,root:young
DXX24,root:young
TZX6,root:young
TXX106,root:young
TZ87,root:other
TZX79,root:young
TXX19,root:young
Q47,root:young
TZX82,root:young
DXX22,root:young
TQ128,root:young
TXX64,root:young
DXX5,root:young
TQ16,root:young
TXX121,root:young
DXX10,root:young
TQ121,root:young
TZX120,root:young
TET103,root:young
TZX23,root:young
TZ83,root:other
TET119,root:young
TET29,root:young
TQ23,root:young
TXX82,root:young
TQ79,root:young
DXX8,root:young
TZX24,root:young
TZX78,root:young
TQ116,root:young
TQ35,root:young
TZX30,root:young
TZX16,root:young
TET72,root:young
TXX140,root:young
TQ27,root:young
TZX46,root:young
TXX49,root:young
TZX54,root:young
TZX40,root:young
TXX145,root:young
TQ129,root:young
TXX118,root:young
TZX64,root:young
TQ69,root:young
TXX102,root:young
TQ115,root:young
TZ66,root:other
TQ137,root:young
TZ64,root:other
TZ105,root:other
TZ8,root:other
TZX10,root:young
TET39,root:young
TQ80,root:young
TZX69,root:young
TXX115,root:young
TZ89,root:other
TET36,root:young
TQ90,root:young
TET26,root:young
TXX54,root:young
TQ140,root:young
TXX76,root:young
TZX31,root:young
TET82,root:young
TZX103,root:young
TQ107,root:young
TXX105,root:young
TZX90,root:young
TQ92,root:young
TXX53,root:young
TXX133,root:young
TZX8,root:young
TQ28,root:young
DYEY4,root:young
TET100,root:young
TXX107,root:young
TZX109,root:young
TET44,root:young
TET79,root:young
TZX47,root:young
TXX99,root:young
TQ100,root:young
TET54,root:young
TQ61,root:young
TET84,root:young
TZ61,root:other
TZ24,root:other
TET78,root:young
TZ94,root:young
TXX143,root:young
TQ052,root:young
TZX36,root:young
TQ124,root:young
TZX14,root:young
TZX95,root:young
TXX144,root:young
TZ107,root:other
TZX9,root:young
TET65,root:young
TZX52,root:young
TZ68,root:other
DYEY8,root:young
TQ5,root:young
TXX124,root:young
TET9,root:young
TQ090,root:young
DXX17,root:young
TXX22,root:young
TZ82,root:other
TXX38,root:young
TZX88,root:young
TQ6,root:young
TXX9,root:young
TZ76,root:other
TZ37,root:other
TET46,root:young
TQ65,root:young
TQ50,root:young
TET38,root:young
TQ74,root:young
TXX74,root:young
TXX16,root:young
TET90,root:young
TZ96,root:other
TXX80,root:young
TZ101,root:other
TET2,root:young
TXX42,root:young
TQ95,root:young
TQ87,root:young
TXX152,root:young
TET114,root:young
TZX4,root:young
TZX32,root:young
TET34,root:young
TZ6,root:other
TZ34,root:other
TZX20,root:young
TQ131,root:young
TQ7,root:young
TZX53,root:young
TET104,root:young
TZX63,root:young
TZX25,root:young
TXX126,root:young
TZ59,root:other
DXX21,root:young
TQ110,root:young
TQ59,root:young
TZ9,root:other
TZX106,root:young
TXX17,root:young
TXX72,root:young
TXX23,root:young
TET75,root:young
TXX89,root:young
TZ63,root:other
TZ77,root:other
TET7,root:young
TET68,root:young
TZX23.2,root:young
TZ19,root:other
TQ93,root:young
TXX30,root:young
TXX84,root:young
DXX20,root:young
TZX59,root:young
TXX138,root:young
TET106,root:young
TZX99,root:young
TXX96,root:young
TXX111,root:young
TET95,root:young
TXX79,root:young
TZX108,root:young
TZ109,root:other
TQ30,root:young
TQ122,root:young
TQ13,root:young
TZ40,root:other
Q41,root:young
TZX7,root:young
TZ108,root:other
TXX50,root:young
TQ68,root:young
TET42,root:young
TZ92,root:other
TXX83,root:young
DXX116,root:young
TQ24,root:young
TET56,root:young
TZX81,root:young
TXX130,root:young
TQ57,root:young
TXX88,root:young
TZX102,root:young
TXX103,root:young
TZX12,root:young
TQ114,root:young
TET86,root:young
TZ12,root:other
TZX87,root:young
DXX26,root:young
TXX67,root:young
TXX104,root:young
TZ4,root:other
TXX85,root:young
TZ65,root:other
TZX80,root:young
DXX25,root:young
TZ80,root:other
TZX3,root:young
TZX21,root:young
TZ73,root:other
TXX51,root:young
TXX47,root:young
TQ3,root:young
TQ103,root:young
TZ13,root:other
TET51,root:young
TZX74,root:young
TXX46,root:young
TXX2,root:young
TZX104,root:young
TZX73,root:young
Q120,root:young
TET92,root:young
TXX18,root:young
TZX117,root:young
TZX94,root:young
TZ55,root:other
Q108,root:young
TET113,root:young
TXX29,root:young
TZX51,root:young
TXX13,root:young
TET8,root:young
DYEY1,root:young
TET10,root:young
TET18,root:young
TET105,root:young
TZ50,root:other
TQ112,root:young
DXX6,root:young
