Samples	TL100	TL30	TL107	TL106	TL80	TL76	TL65	TL7	TL96	TL86	TL103	TL95	TL111	TL61	TL94	TL62	TL63	TL37	TL116	TL31	TL118	TL13	TL121	TL57	TL87	TL64	TL2	TL108	TL73	TL55	TL109	TL77	TL38	TL12	TL67	TL10	TL3	TL14	TL97	TL123	TL6	100a	TL120	TL54	TL117	TL44	TL71	TL20	TL1	TL124	TL78	TL105	TL81	TL91	TL66	TL92	TL88	TL60	TL69	TL93	TL113	TL59	TL115	TL85	TL4	TL39	TL16	TL114	TL129	TL102	TL110	TL84	TL112	TL74	TL70	TL99	TL82	TL18	TL23	TL83	100b	TL90	TL27	TL5	TL58	TL119
k__Bacteria;p__Proteobacteria;c__Enterobacteriales;o__Gammaproteobacteria;f__Enterobacteriaceae;g__Escherichia-Shigella;s__	0.07350602135878209	0.00048344613743206747	0.007133498325811618	0.12587938586788194	0.029513688344692163	0.011358639894474571	0.00016423303174176597	0.002313030069390902	0.005361508906741181	0.000954086079766308	0.0133838017965807	0.002615947445025766	0.00381835737484273	0.0006215040397762585	0.016952412705333212	0.07280934678704196	0.0007097030602395957	0.0012465497284302378	0.001987478883036868	0.0019647662918751137	0.002841224742464405	0.031845145176397124	0.03556510684666142	0.006949175637007767	0.0038193391936950593	0.01622590766472434	0.012307069666476572	0.0017614847529453812	0.07181825859302424	0.007286478509500092	0.01296693977485672	0.007684065081916364	0.008445737459225954	0.042613941306541295	0.0003946598440413168	0.011591224995467456	0.5553105800041156	0.10489041127595064	0.18026983702912106	0.008921399885255307	0.005177698616518929	0.009712029838455764	0.05235668993275727	0.007789715317891885	0.0016910778175313061	0.0013916307971131752	0.10900268329128976	0.001298010426641132	0.005390477707852039	0.00689873799891311	0.002586750788643533	0.006110550510146877	0.0037653779985068326	0.004007779272238178	0.009338021798444635	0.005806108680541358	0.05375104427736007	0.0005083514887436456	0.00492807467338072	0.16771177964145573	0.02174936293843632	0.004169932127700475	0.034453230331960794	0.0006833323842605774	0.0090458680753362	0.04525421360801697	0.0056291665514093675	0.008136414784038778	0.003544468997019087	0.03115891521987074	0.004200037753148343	0.04540720944530181	0.022185781807658917	9.170778232240789e-05	0.001375284178618541	0.009271162600765288	0.006844869298400897	0.05068654447009522	0.012759069413146284	0.03877756027199671	0.013060145979077776	0.02170935687851502	0.17157344444007705	0.2457030441085111	0.0552036539292897	0.005287122940685718
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Bacteroidaceae;g__Bacteroides;s__	0.030431395462070313	0.03120728169906312	0.1986278934342699	0.013141011459669926	0.0016749451311077741	0.028738580292149107	0.0013885156319985664	0.06556797738370597	0.009745022703457909	0.1676482367075785	0.2304766734279919	0.25514338539003184	0.039580712174854434	0.008065427425278264	0.06436018106510394	0.03214285714285714	0.02202918298983705	0.11210043629240496	0.015651396203915334	0.0094440867138871	0.006841161251408708	0.03775106670829431	0.013015315697076094	0.018558386701185446	0.014925735071233709	0.14713880173315405	0.11405654997332547	0.07122525305387846	0.06859217971455113	0.008808337945028593	0.0972520483114254	0.00944646533006232	0.04108260601251874	0.05470041433202378	0.13487840394115486	0.005704961624463649	0.013111091513066995	0.02504223852616474	0.009297355062783863	0.05800344234079174	0.01927484604976113	0.18658722662210275	0.09554536887667907	0.22417069637044426	0.019580165474060825	0.002977442635684003	0.012741616723171105	0.011937440153207787	0.33361215114580844	0.034674838475937435	0.2861619348054679	0.007306499233845349	0.10870905962930502	0.030626340470391512	0.02344718910953208	0.024001308418857583	0.07182957393483709	0.02018881626724764	0.006048789474492224	0.1647687927983381	0.2458489555436529	0.19770210123175652	0.016980650803483585	0.025074502211339517	0.1986120461960744	0.2415632581001613	0.014854360875217838	0.06299229637323639	0.02544899079031277	0.017171461158281588	0.04434646603564976	0.0017189244802449154	0.14510787434487638	0.0018158140899836761	0.0600774649863875	0.10257263418986977	0.1276528785822466	0.0543394617046329	0.02231250198368617	0.04559035648052751	0.2623724848931147	0.03132558207302503	0.15004651284671724	0.005875957755228826	0.1294287916094957	0.003829646084413039
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Prevotellaceae;g__Prevotella;s__	0.1043756289155062	0.712166172106825	0.0010372688892124036	0.0016223470937864106	0.011450271456624696	0.00046411646880648787	0.00273224043715847	0.26381392958108457	0.009186168354872513	0.07305236872482272	0.001394523326572008	0.18944966759765547	0.14998390730608305	0.4517910616419007	0.13818396317146045	0.018374933616569302	0.1076193720547323	0.0015492832339061525	0.3571499552817251	0.5529578813545329	0.4425644037396232	0.16022739098761574	0.16412918457533748	0.2665758277694509	0.015968475295544106	0.12102196324518155	0.0025938667010062732	0.3417790996004748	0.006891309855586522	0.07309536985795978	0.007112667387052209	0.034190564814031515	0.0008463369478973816	0.0077928769240677535	0.1640560144799336	0.02619205898350154	0.00042625745950554135	0.01583076816256625	0.002918781725888325	0.04704532415375789	0.05931571535084086	0.010559713240814743	0.016371448194349054	0.0591378629085367	0.3010118515205725	0.4757111880643386	0.13708886996481193	0.08351952335354823	0.0503332536711012	0.0008755509932975062	0.0024815983175604625	0.6379265239002878	0.006670561885285812	0.1126722163655531	0.094562061368312	0.004538577912254161	0.00048454469507101084	0.3744371822803195	0.06824078480740592	0.0618796645379703	0.006784502767362971	0.06476703091960312	0.009182669533214298	0.4104549854791869	0.0020370466276520447	0.0031371851701319647	0.023636967165500258	0.06292737817017224	0.4122706847202242	0.010249017868457735	0.03953968125556185	0.023814004843101092	0.02938812256840616	0.6147172649071	0.4184793286367847	0.007335259153949697	0.0019275781357565747	0.14104525352543598	0.0015869489319833687	0.0576318771893674	0.036278183275216036	0.021578226534953518	0.0508365761303932	0.0005953613584593082	0.1693325564347875	0.0006734548232432378
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Lachnospiraceae;g__Blautia;s__	0.012269938650306749	0.0002333877904844464	0.002147328577667783	0.0018878220727696414	0.0363722998729352	0.058051199374664124	0.0033294514616739827	0.0155165767154973	0.019350331819769476	0.0015430281043134113	0.004056795131845843	0.006471027890326895	0.009904321619802791	0.002457765975478841	0.0048728569047100006	0.0024030801911842804	0.005053085788905922	0.006624521413943549	0.002956374838517341	0.0011887661597899846	0.0009999841272360756	0.009001977312935791	0.02436588171196804	0.0067039106145251395	0.025462261291300397	0.0015538622441356642	0.01000754244927243	0.0021954737500478666	0.003986149818427497	0.001752444198487364	0.005895307007345197	0.012802075402532215	0.0010226571453760026	0.015821901633713317	0.0031708877124698898	0.031075119356983136	0.012302672193315108	0.027055801143333256	0.02254207854662036	0.033103843947217444	0.036851406953304064	0.01351449538618034	0.009152038844255618	0.005400116657572393	0.0033821556350626123	0.0008738146865594356	0.0036152128155277404	0.011043728056176191	0.0077006824397886295	0.004543807741078437	0.008159831756046267	0.0003363605785401951	0.03294705748693478	0.00763386528045367	0.012679282723200607	0.0264954818661324	0.14868838763575604	0.0055192447349310106	0.00770683328983527	0.001519581441871201	0.004658259077112853	0.004583967941798394	0.001366468680537842	0.001024998576390866	0.019628152674918437	0.0030990817065271233	0.034812315012032864	0.01495282610577339	0.005012680004152515	0.0040710936509948045	0.012013591133403449	0.02137990740392216	0.005337448956625189	0.001999229654628492	0.0012910831064582222	0.005369107215777613	0.0017308864892508016	0.005071435856071353	0.0017139048465420385	0.017527817844632185	0.005696216239630937	0.015691931112859516	0.0029086906961204354	0.005681818181818182	0.0059959024867018785	0.07744730467297235
k__Bacteria;p__Proteobacteria;c__Enterobacteriales;o__Gammaproteobacteria;f__Enterobacteriaceae;g__None;s__	0.06024604797610932	0.005818024205647985	0.01419420585238026	0.3102370101617922	0.0687160679219129	0.0009282329376129756	5.972110245155126e-05	0.009798252377280905	0.316765630457562	0.011107446582958374	0.037525354969574036	0.0002360253333857834	0.022229862188021185	0.0030792700152550987	0.021915032763551032	0.09851301115241637	0.0011071367739737693	0.004345116196242543	0.00934115075027328	0.010467746462595144	0.018094950873795645	0.009977625143095015	0.02276166838186331	0.0035699686605804607	0.0022431039709002727	0.0016584491259524876	0.00045990544344082864	0.04297767509541376	0.33556287475719954	0.039429994465965686	0.003583690106553228	0.055663649437441835	0.007581768491580709	0.010819862175565144	0.056926280262925115	0.2335287363268266	0.047167592674251115	0.010484412248015369	0.0018167245524979962	0.0016924842226047046	0.001145997293789523	0.00014531715469011118	0.002747208867734671	0.003838410446497451	0.07528790250447227	0.0012298132625651315	0.11263396371933095	0.0034684540908607297	0.0032927055949441035	0.00046796691021073605	0.0019768664563617248	0.00016818028927009755	0.007384685298795728	0.010932785633792576	0.01194974977019712	0.008054953592018644	0.0023057644110275693	0.0010167029774872912	0.5902021892319266	0.007559436793106102	0.010387755433283016	0.004081210167536635	0.0013482490981306706	0.0005694436535504813	0.08892226422911596	0.0012066096808199865	0.0019086608945810628	0.00958625465247122	0.002743626629491761	0.008617412241794449	0.00046517272065366887	0.1294086648850077	0.0017362785762515677	0.008657214651235303	0.0003368042886412754	0.0002571121765301956	0.017603902362266676	0.2376065047886593	0.0013965150601453645	0.026671646404286008	0.00010829308440363	0.018868199434682518	0.00935497818481978	0.015699420169807413	0.0017480217280980395	0.04653874375546554
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Peptostreptococcaceae;g__Incertae_Sedis;s__	0.006492031031908332	0.0012002800653485813	0.0015104090842917456	0.00030972080881376936	0.10465519232990644	0.025770677610044455	5.972110245155126e-05	0.023772809046517605	0.00969263010827803	0.0010012014417300759	0.001466966096783541	0.02084890444907753	0.010050618837229715	0.0019916379456466466	0.006501416975494659	0.00403611258629846	0.0042014421166184064	0.001486955747484641	0.012123621186524894	0.00901481004507405	0.004190409676036888	0.002445623894265793	0.0013772020098068894	0.0035154653222509878	0.06621400424371021	0.06284177498879426	0.004525469563457753	0.002144416220976986	0.17724854319736508	0.0017063272458955913	0.056149037738171766	0.05326678509996334	0.002609538922683593	0.003112857173525686	0.009335746655598044	0.04203783163111138	0.0036893318046858923	0.003170782512092948	0.026409297355062783	0.0018072289156626509	0.027200176732112776	0.0017922449078447047	0.00927981600089444	0.005870510094643159	0.0021942084078711986	0.0005501796174633484	0.008756848819833863	0.03521651239493563	0.003319259672322685	0.011231205845057666	0.023722397476340692	0.0006727211570803902	0.025675982731197457	0.006116180159220619	0.008856530049462335	0.010385574682095106	0.0004344193817878028	0.0158799322198015	0.0007215561048252144	9.617604062475956e-05	0.0011848533541088445	0.011770446715069424	0.018310680319207084	0.0016893495055330945	0.004212198111416093	0.00151143738965872	0.14729882990788634	0.012053146368908509	0.002817778700559107	0.04736408566721582	0.008656257584337837	0.032534096184489526	0.004630076203337513	0.0008437115973661523	0.0062308793398635955	0.008787186739061389	0.009244507385771329	0.06167311026432658	0.04989367442155712	0.006194621883371111	0.002490740941283489	0.020441763557420518	0.0004585773620009696	0.04338372333816525	0.019641749525402704	0.10490817895805482
k__Bacteria;p__Actinobacteria;c__Bifidobacteriales;o__Actinobacteria;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.0004382120946538125	0.0001500350081685727	0.0008370941912942204	7.374304971756412e-05	0.008605752570174425	0.012494503883922028	0.0	0.000481881264456438	0.023594132029339854	0.00010600956441847864	0.0005976528542451464	3.9337555564297244e-05	0.0005047254001228896	1.4125091813096786e-05	1.2823307643973689e-05	7.966011683483802e-05	0.0	0.0006499866441100526	0.0	3.3021282216388464e-05	0.0	0.002263502965969404	0.00027241358435740664	8.175500749420902e-05	0.001406486814186117	0.0008815180038846557	0.0016372633786493494	0.0007275697892600488	6.756186132927963e-05	0.0	0.0005471282605424777	0.0006062656853622085	8.81600987393106e-05	0.0002790837465919581	0.0	0.0018855381640176469	0.00016168386395037774	0.002661605758326197	0.007948169917178734	0.0	0.0011874188827216744	0.0006054881445421298	0.00019166573495823283	3.7631474965661276e-05	0.0	3.2363506909608725e-05	0.0004016903128364157	0.0	0.0009161156695610613	0.0	0.0007360672975814933	5.606009642336584e-05	0.008261109488103355	0.0006634192446108546	1.4590659060069746e-05	0.003938885935860217	0.029523809523809525	2.420721374969741e-05	0.0	0.0	0.001087468146921816	0.0	0.0018583974055314653	1.8981455118349373e-05	0.00498903792704611	0.001562242007798509	0.000594727670050621	0.0	0.0007118598822465111	0.0007920415663414017	7.415796995928054e-05	0.0015809086460646664	0.00041799299057908106	1.8341556464481572e-05	1.4033512026719808e-05	3.0248491356493598e-05	9.834582325288646e-05	0.002799951788909595	0.0002856508077570064	9.01504224191222e-05	0.00017326893504580798	0.003773639886936504	0.00031445304822923627	0.0002717954027749016	0.00043230644888446137	0.002955159970649432
k__Bacteria;p__Actinobacteria;c__Coriobacteriales;o__Coriobacteriia;f__Coriobacteriaceae;g__Collinsella;s__	0.01457460966663421	0.00013336445170539793	9.098849905371959e-05	0.0003539666386443078	0.05393034538523738	0.0040549123064145785	1.4930275612887814e-05	0.015195322539193009	0.001309814879497031	0.0006831727484746401	0.0018110692552883226	1.9668777782148622e-05	0.00211399479181906	0.0013418837222441947	0.0008976315350781582	0.004779607010090282	0.0006245386930108442	0.0022883091443326505	0.00012421743018980422	0.0005283405154622153	0.0002857097506388788	0.001443958788635654	0.01925055996125673	0.003787982013898351	0.009627159745377386	0.002121619602569849	5.518865321289943e-05	0.0009573286700790117	0.0005236044253019169	0.007978232798376683	0.0014635680969511278	0.012787976200547049	0.0005818566516794497	0.0001073399025353685	0.0005579673657135859	0.0009306822989061461	0.00038216186024634736	0.0065267202073738045	0.025500935078813784	0.0012621916236374069	0.04212575594399801	0.00014531715469011118	0.015205481640019806	5.644721244849192e-05	0.002529628801431127	0.0007767241658306095	0.0019120458891013386	0.0033620597935950635	6.63851934464537e-05	0.002671940100235493	0.00498422712933754	0.0002055536868856748	0.005031324049728957	0.003498854920207932	0.00223237083619067	0.0002589578988973845	0.0002506265664160401	0.0009924957637375935	0.010961511890323471	0.001019466030622451	0.0012335459577023586	0.0006654147012287991	0.009091571621178443	0.00045555492284038494	0.0018816786645260413	0.000673161190352203	0.023028408619401957	0.01514758071496581	0.0004597428406175384	0.002756304650868077	0.00162473370547151	0.016599540783679	0.009710298704221729	0.00011004933878688943	0.00015436863229391788	0.0005898455814516251	0.0009047815739265555	0.0008622368091675242	0.0005395626368743454	0.04542293426746343	0.00012995170128435595	0.017484045808200014	0.001008870196402133	0.014418098985297162	0.003796778377159183	0.09007206971765157
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Ruminococcaceae;g__Faecalibacterium;s__	0.011052682831823936	0.00390091021238289	0.004185470956471102	0.00011798887954810259	0.08269319625736399	0.037984268894425716	0.000328466063483532	0.00401567720380365	0.0062521830247991616	0.003957690404956536	0.0111199652274703	0.005664608001258803	0.022251806770635218	0.004209277360302842	0.004500980983034764	0.009970791290493893	0.0042298302390279905	0.01666815065443861	0.005788532246844878	0.0041111496359403634	0.0038412088697004814	0.013203767301488187	0.007521641745868394	0.007167188990325656	0.02388602606850561	0.01606155685044076	0.0027594326606449715	0.0018380710465517019	0.0003040283759817583	0.00996126175982291	0.005621742877073959	0.01889293066012464	0.0032619236533544924	0.016143921341319426	0.01569113104067718	0.011518704296851394	0.0073786636093717845	0.001944129423473048	0.005430136254341437	0.003700516351118761	0.002568138513793389	0.013175422025236746	0.008944400964717533	0.008335371704893972	0.005352750447227192	0.0096443250590634	0.0027475617398010827	0.004936695393126928	0.0009426697469396426	0.0011019865950123782	0.003491062039957939	0.001607056097469821	0.01699289122602006	0.011087280526373188	0.007718458642776893	0.02222949121587548	1.6708437761069337e-05	0.018106995884773658	0.01714847168276095	0.008328845118104177	0.00113616075051533	0.015526343028671981	0.000965637867580075	0.002144904428373479	0.009339340894574206	0.023497135889652368	0.004384387707117369	0.004133125595083528	0.0030254044995476725	0.011120263591433279	0.01203381603430143	0.014228177814581999	0.015433587344458375	0.0033565048330001282	0.008097336439417329	0.001633418533250654	0.008398733305796503	0.0017244736183350483	0.004538673945472435	0.009337008036266229	0.004873188798163349	0.012879913745374012	0.005882892443955295	0.0081797473597018	0.0109204368174727	0.0015177862434287894
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Bacteroidaceae;g__Bacteroides;s__	0.008601941117278541	0.006351482012469576	0.15377056340078615	0.23004881789891304	0.0025990527896499944	0.004494601592652303	0.00025381468541909284	0.03777949113338473	0.0014320642682500873	0.0730994840867865	0.0004527673138220805	0.062468038236104015	0.004820493314217164	0.00016950110175716142	0.017824397625123424	0.00011949017525225702	0.002980752853006302	0.04050396224735108	0.09418165556990957	0.025756600128782996	0.00011110934747067507	0.003616401290456864	0.004721835462195049	0.002098378525684698	0.009833282812973628	0.015180038846556103	0.00033113191927739663	0.02598828229707823	0.004661768431720293	0.00036893562073418186	0.00556703005101971	0.0006062656853622085	0.02678303799700256	6.440394152122111e-05	0.12614145153168846	0.007215809512298302	0.018784725284416614	0.002823616543615618	0.00224418915308576	0.09122203098106713	0.00019330074835004004	0.0059095642907311865	0.000303470747017202	0.06927954541178241	0.004570102862254025	0.0004530890967345221	0.001944181114128252	0.0049792531120331955	0.00014604742558219818	0.0016454320391280722	0.0020189274447949533	0.009754456777665656	0.0016716979907163954	0.011923370533280018	0.00030640384026146464	0.2113369042264655	3.3416875522138675e-05	0.00682643427741467	0.0025331224956629877	0.0011156420712472108	0.0016880102579084903	0.012258417495970543	0.0006194658018438217	0.0999183797429911	0.0028484126573100625	0.0014860350805888257	0.00017980138861995517	0.01577512334458582	0.010292307464147473	0.07161639842858954	0.003087668203759135	7.528136409831747e-05	0.0007395260602552973	0.0015040076300874893	0.0740408094529737	0.1088491961463422	0.00029503746975865933	0.03409080373450523	0.08131526327482781	0.00123634865031939	0.008620129518528946	0.015429670425736515	0.0012316077722311755	0.000194139573410644	0.09390447907072907	0.0012162393076482355
