,root:other,root:young
R38,0.027913298,0.9720867
R16,0.029690292,0.97030973
R183,0.027913298,0.9720867
R214,0.027913298,0.9720867
R39,0.027913298,0.9720867
R58,0.027917074,0.9720829
R201,0.5446719,0.4553281
R140,0.028017206,0.9719828
R28,0.56290853,0.43709153
R126,0.029260801,0.97073925
R144,0.027923403,0.9720766
R143,0.027913298,0.9720867
R149,0.04047222,0.95952773
R221,0.027913298,0.9720867
R175,0.5179354,0.4820646
R250,0.027913298,0.9720867
R83,0.027913341,0.9720866
R88,0.027913304,0.9720867
R223,0.027913298,0.9720867
R178,0.027913298,0.9720867
R212,0.027913298,0.9720867
R148,0.0279135,0.97208655
R96,0.027913298,0.9720867
R82,0.027938932,0.97206104
R161,0.028659347,0.9713407
R257,0.027913298,0.9720867
R137,0.027913298,0.9720867
R150,0.027913298,0.9720867
R238,0.027913298,0.9720867
R177,0.028299851,0.9717002
R130,0.56260115,0.43739888
R179,0.058586568,0.9414134
R68,0.027921421,0.9720785
R202,0.027924323,0.9720757
R77,0.02791332,0.9720866
R86,0.027913298,0.9720867
R106,0.5628339,0.43716606
R190,0.027913298,0.9720867
R243,0.027913298,0.9720867
R216,0.028223133,0.97177684
R70,0.027913304,0.9720867
R127,0.027913298,0.9720867
R45,0.55943096,0.44056904
R229,0.56306636,0.43693364
R224,0.027913446,0.97208655
R114,0.027927948,0.9720721
R111,0.027913298,0.9720867
R170,0.027913298,0.9720867
R26,0.027914183,0.97208583
R240,0.02802733,0.97197264
R113,0.027913298,0.9720867
R108,0.027913298,0.9720867
R66,0.56181324,0.4381868
R185,0.027913298,0.9720867
R119,0.027913298,0.9720867
R220,0.027913298,0.9720867
R71,0.027940108,0.97205997
R207,0.02805435,0.97194564
R87,0.046570994,0.95342904
R110,0.027913298,0.9720867
R159,0.027922101,0.97207785
R157,0.027913814,0.9720862
R215,0.027913298,0.9720867
R10,0.027913304,0.9720867
R194,0.027913298,0.9720867
R184,0.027913298,0.9720867
R239,0.119097136,0.8809029
R85,0.028022908,0.97197706
R213,0.027913298,0.9720867
R218,0.028528957,0.9714711
R153,0.02793497,0.97206503
R62,0.027913315,0.9720866
R21,0.02883574,0.9711642
R160,0.02791428,0.9720857
R134,0.027913334,0.9720866
R237,0.028227054,0.9717729
R204,0.027913298,0.9720867
R12,0.027913298,0.9720867
R217,0.029436745,0.97056323
R89,0.027913298,0.9720867
R168,0.027918153,0.9720818
R131,0.027913298,0.9720867
R155,0.028024338,0.9719757
R35,0.027913298,0.9720867
R209,0.027913298,0.9720867
R187,0.027953694,0.9720463
R37,0.5615096,0.43849033
R244,0.02908168,0.9709183
R128,0.027913386,0.9720866
R94,0.027913298,0.9720867
R118,0.027913304,0.9720867
R25,0.027913298,0.9720867
