,root:other,root:young
R38,0.034728218,0.96527183
R16,0.14796527,0.8520348
R183,0.021843683,0.9781563
R214,0.021844728,0.9781553
R39,0.021843685,0.9781563
R58,0.021843702,0.9781563
R201,0.42025316,0.57974684
R140,0.021847859,0.9781521
R28,0.3429991,0.65700084
R126,0.33180085,0.6681991
R144,0.024653181,0.97534686
R143,0.087228954,0.91277105
R149,0.2982306,0.7017694
R221,0.021843683,0.9781563
R175,0.47736713,0.52263284
R250,0.021843683,0.9781563
R83,0.021910772,0.9780893
R88,0.021843746,0.9781562
R223,0.022036009,0.9779639
R178,0.021854594,0.97814536
R212,0.021994036,0.978006
R148,0.45052448,0.5494755
R96,0.022678303,0.9773217
R82,0.020423142,0.9795768
R161,0.056627803,0.9433722
R257,0.022170432,0.9778295
R137,0.021848984,0.97815096
R150,0.02186678,0.9781332
R238,0.02184414,0.97815585
R177,0.02514421,0.97485584
R130,0.2525984,0.74740165
R179,0.31722283,0.6827771
R68,0.12840691,0.8715931
R202,0.029923892,0.9700761
R77,0.021843683,0.9781563
R86,0.021974226,0.97802573
R106,0.33971244,0.6602876
R190,0.021894636,0.97810537
R243,0.07636557,0.92363447
R216,0.46758565,0.5324143
R70,0.02184831,0.9781516
R127,0.021843683,0.9781563
R45,0.46776316,0.5322369
R229,0.3474365,0.6525635
R224,0.42673138,0.5732686
R114,0.021877062,0.9781229
R111,0.022273213,0.97772676
R170,0.21454287,0.7854571
R26,0.021843884,0.9781561
R240,0.02192847,0.97807145
R113,0.021843683,0.9781563
R108,0.022261184,0.9777388
R66,0.37271783,0.62728214
R185,0.022121534,0.97787845
R119,0.021843683,0.9781563
R220,0.026112596,0.9738874
R71,0.023592139,0.9764079
R207,0.011613695,0.98838633
R87,0.028970756,0.9710292
R110,0.021843683,0.9781563
R159,0.022594696,0.97740525
R157,0.021905845,0.97809416
R215,0.02210827,0.9778918
R10,0.23193309,0.76806694
R194,0.021843683,0.9781563
R184,0.021843685,0.9781563
R239,0.40587592,0.5941241
R85,0.13408823,0.8659118
R213,0.021843683,0.9781563
R218,0.022922,0.97707796
R153,0.4486733,0.5513267
R62,0.022124046,0.97787595
R21,0.4815264,0.51847357
R160,0.021843825,0.9781562
R134,0.021845736,0.9781543
R237,0.022145644,0.9778544
R204,0.021906521,0.9780935
R12,0.021870354,0.9781296
R217,0.022072174,0.9779278
R89,0.021844806,0.9781552
R168,0.04425805,0.95574194
R131,0.021843683,0.9781563
R155,0.09762663,0.9023734
R35,0.021843683,0.9781563
R209,0.021843683,0.9781563
R187,0.021843683,0.9781563
R37,0.32544485,0.6745551
R244,0.021843696,0.9781563
R128,0.02184369,0.9781563
R94,0.021843683,0.9781563
R118,0.026861986,0.973138
R25,0.024697658,0.9753024
R234,0.021850571,0.9781495
R231,0.021844829,0.9781552
R167,0.021843728,0.9781563
R245,0.02226211,0.9777379
R121,0.021843683,0.9781563
R75,0.025959909,0.97404015
R117,0.021843683,0.9781563
R186,0.021843683,0.9781563
R188,0.021935806,0.9780642
R17,0.021843683,0.9781563
R181,0.022688916,0.9773111
R236,0.021843683,0.9781563
R219,0.021843683,0.9781563
R196,0.022341326,0.9776587
R205,0.17214589,0.82785416
R23,0.021888804,0.97811115
R65,0.04449387,0.95550615
R147,0.021907514,0.97809243
R256,0.022350686,0.9776494
R129,0.3197174,0.6802826
R226,0.021843683,0.9781563
R120,0.021843683,0.9781563
R136,0.017089274,0.9829107
R164,0.021843683,0.9781563
R189,0.20944789,0.79055214
R92,0.045046907,0.95495313
R78,0.023847243,0.9761528
R252,0.023308646,0.97669137
R235,0.026580418,0.9734196
R145,0.021843862,0.9781561
R163,0.019445265,0.9805548
R27,0.022039644,0.9779604
R254,0.02245453,0.97754544
R79,0.0254413,0.9745588
R191,0.30522424,0.6947757
R115,0.021846483,0.97815347
R227,0.027784357,0.97221565
R154,0.023918057,0.9760819
R101,0.021843702,0.9781563
R255,0.021843683,0.9781563
R46,0.022214595,0.9777854
R222,0.021843683,0.9781563
R97,0.022253439,0.97774655
R105,0.2690561,0.73094386
R242,0.1565438,0.8434562
R180,0.021843683,0.9781563
R102,0.021843683,0.9781563
R172,0.02186216,0.97813785
R230,0.021843683,0.9781563
R171,0.023272546,0.9767274
R233,0.021843683,0.9781563
R55,0.094080664,0.9059193
R228,0.021843683,0.9781563
R151,0.03965712,0.9603428
R169,0.31767792,0.6823221
R211,0.021843683,0.9781563
R14,0.31980383,0.68019617
R192,0.021843733,0.9781563
R142,0.16303621,0.83696383
R107,0.021843683,0.9781563
R173,0.02198984,0.9780101
R93,0.022059394,0.97794056
R40,0.12290514,0.87709486
R49,0.021843683,0.9781563
R13,0.029786369,0.97021365
R248,0.021908214,0.9780918
R98,0.021843683,0.9781563
R74,0.021843895,0.9781561
R132,0.17361099,0.826389
R210,0.029449124,0.9705509
R61,0.021843683,0.9781563
R232,0.021843683,0.9781563
R80,0.34245753,0.6575424
R44,0.021972343,0.9780277
R100,0.48052675,0.51947325
R182,0.34228387,0.65771616
R152,0.026803467,0.97319657
R67,0.16691922,0.8330808
R135,0.021843683,0.9781563
R156,0.021843683,0.9781563
R225,0.022188045,0.977812
R34,0.051801383,0.9481986
R109,0.027998334,0.97200173
R103,0.021843683,0.9781563
R52,0.29162744,0.70837253
R251,0.021844711,0.9781553
R195,0.26945344,0.73054653
R133,0.02188314,0.97811687
R203,0.021963285,0.9780367
R158,0.34226942,0.6577306
R253,0.022201147,0.9777989
R193,0.33026263,0.6697374
R47,0.076247945,0.92375207
R197,0.021843683,0.9781563
R99,0.028349964,0.97165
R64,0.021918844,0.97808117
R76,0.10556869,0.8944313
R247,0.34244525,0.6575547
R165,0.04394723,0.9560528
R176,0.021843683,0.9781563
R53,0.41438028,0.5856196
R166,0.022288727,0.97771126
R104,0.021843683,0.9781563
R141,0.022159396,0.9778406
R174,0.02211475,0.9778853
R51,0.021844171,0.97815585
