,root:other,root:young
TL100,0.56273913,0.43726093
TL30,0.027913298,0.9720867
TL107,0.027913298,0.9720867
TL106,0.5625279,0.43747208
TL80,0.56307584,0.4369242
TL76,0.027913298,0.9720867
TL65,0.027913298,0.9720867
TL7,0.027913298,0.9720867
TL96,0.5631322,0.43686777
TL86,0.027913298,0.9720867
TL103,0.027913298,0.9720867
TL95,0.027913298,0.9720867
TL111,0.027913315,0.9720866
TL61,0.027913298,0.9720867
TL94,0.027916381,0.97208357
TL62,0.09628699,0.90371305
TL63,0.027913988,0.97208595
TL37,0.027913298,0.9720867
TL116,0.027913298,0.9720867
TL31,0.027913298,0.9720867
TL118,0.027913298,0.9720867
TL13,0.027913298,0.9720867
TL121,0.041598186,0.9584018
TL57,0.027913298,0.9720867
TL87,0.027974833,0.97202516
TL64,0.027913298,0.9720867
TL2,0.027913298,0.9720867
TL108,0.027913298,0.9720867
TL73,0.5631317,0.43686825
TL55,0.027913298,0.9720867
TL109,0.027913298,0.9720867
TL77,0.40429297,0.595707
TL38,0.027913298,0.9720867
TL12,0.027917452,0.97208256
TL67,0.027913298,0.9720867
TL10,0.5631285,0.43687156
TL3,0.56312907,0.4368709
TL14,0.028365191,0.9716348
TL97,0.02793236,0.9720676
TL123,0.027913298,0.9720867
TL6,0.027917238,0.9720828
100a,0.027913298,0.9720867
TL120,0.027913414,0.9720866
TL54,0.027913298,0.9720867
TL117,0.027913518,0.97208655
TL44,0.027913298,0.9720867
TL71,0.56269526,0.4373047
TL20,0.027913315,0.9720866
TL1,0.027913298,0.9720867
TL124,0.027913298,0.9720867
TL78,0.027913298,0.9720867
TL105,0.027913298,0.9720867
TL81,0.027913304,0.9720867
TL91,0.028790468,0.9712096
TL66,0.027922545,0.9720775
TL92,0.027913298,0.9720867
TL88,0.042220943,0.95777905
TL60,0.027913298,0.9720867
TL69,0.5631323,0.43686774
TL93,0.027914286,0.9720857
TL113,0.027913298,0.9720867
TL59,0.027913298,0.9720867
TL115,0.028062455,0.97193754
TL85,0.027913298,0.9720867
TL4,0.027930407,0.9720696
TL39,0.027913298,0.9720867
TL16,0.02793705,0.972063
TL114,0.027913459,0.97208655
TL129,0.027913298,0.9720867
TL102,0.027913298,0.9720867
TL110,0.027914157,0.97208583
TL84,0.5631086,0.43689132
TL112,0.027913298,0.9720867
TL74,0.027913298,0.9720867
TL70,0.027913298,0.9720867
TL99,0.027913298,0.9720867
TL82,0.027913298,0.9720867
TL18,0.5621736,0.43782642
TL23,0.027913298,0.9720867
TL83,0.2711649,0.7288351
100b,0.027913298,0.9720867
TL90,0.02801383,0.9719862
TL27,0.028029116,0.97197086
TL5,0.5616156,0.4383844
TL58,0.027913298,0.9720867
TL119,0.028046777,0.9719533
