,root:other,root:young
TL100,0.04738669,0.9526133
TL30,0.022246277,0.97775376
TL107,0.023267312,0.9767327
TL106,0.3387971,0.66120285
TL80,0.024184652,0.9758153
TL76,0.023723744,0.9762763
TL65,0.021886708,0.97811335
TL7,0.022610832,0.9773892
TL96,0.34229583,0.6577042
TL86,0.022150805,0.9778491
TL103,0.027937599,0.9720624
TL95,0.023233037,0.9767669
TL111,0.044501312,0.9554987
TL61,0.021959445,0.9780406
TL94,0.021843772,0.9781562
TL62,0.02245957,0.97754043
TL63,0.021843916,0.9781561
TL37,0.031633582,0.96836644
TL116,0.11412982,0.8858702
TL31,0.027266748,0.9727332
TL118,0.0420563,0.95794374
TL13,0.024039952,0.9759601
TL121,0.2784391,0.7215609
TL57,0.3405126,0.6594874
TL87,0.4619494,0.53805053
TL64,0.22052227,0.7794777
TL2,0.021864343,0.9781357
TL108,0.026499607,0.9735004
TL73,0.3428939,0.65710616
TL55,0.061830964,0.938169
TL109,0.22295605,0.777044
TL77,0.27895117,0.7210488
TL38,0.029529402,0.9704706
TL12,0.0219922,0.97800785
TL67,0.037703555,0.9622965
TL10,0.3489691,0.65103096
TL3,0.34406227,0.65593773
TL14,0.021948982,0.97805107
TL97,0.025585262,0.97441477
TL123,0.025295116,0.9747048
TL6,0.021855202,0.9781448
100a,0.02205133,0.97794867
TL120,0.021843683,0.9781563
TL54,0.022113444,0.97788656
TL117,0.20189638,0.79810363
TL44,0.021843683,0.9781563
TL71,0.021843683,0.9781563
TL20,0.4547702,0.5452298
TL1,0.022118114,0.97788185
TL124,0.022026163,0.9779739
TL78,0.026578661,0.9734213
TL105,0.022163931,0.977836
TL81,0.022240818,0.97775924
TL91,0.022355713,0.97764426
TL66,0.037905354,0.96209466
TL92,0.022823649,0.9771764
TL88,0.35299033,0.6470096
TL60,0.024331946,0.97566813
TL69,0.34227985,0.6577202
TL93,0.25447264,0.7455273
TL113,0.022126853,0.9778732
TL59,0.027700586,0.97229934
TL115,0.025689907,0.97431004
TL85,0.022107445,0.9778926
TL4,0.45616546,0.5438345
TL39,0.022657188,0.97734284
TL16,0.021843683,0.9781563
TL114,0.022133367,0.9778666
TL129,0.02206635,0.97793365
TL102,0.038925126,0.9610748
TL110,0.022107305,0.9778927
TL84,0.021843683,0.9781563
TL112,0.021843683,0.9781563
TL74,0.022391472,0.97760856
TL70,0.022079844,0.9779202
TL99,0.022104055,0.97789586
TL82,0.023442667,0.9765573
TL18,0.37090576,0.62909424
TL23,0.1126652,0.8873348
TL83,0.02185548,0.9781446
100b,0.022101086,0.97789896
TL90,0.063537166,0.9364628
TL27,0.34398472,0.6560153
TL5,0.30876634,0.6912337
TL58,0.023430496,0.9765695
TL119,0.021843683,0.9781563
