,root:Pupils,root:kindergarten,root:mid_age,root:mid_school,root:youth
DYEY1,0.22455916,0.34279925,0.18689403,0.15076266,0.09498495
DYEY10,0.14342983,0.39997008,0.1701738,0.18328749,0.10313887
DYEY2,0.23285797,0.3263986,0.19784631,0.14525014,0.09764694
DYEY3,0.23027945,0.33149207,0.19441926,0.14697255,0.09683662
DYEY4,0.40051007,0.1436523,0.17306606,0.05916081,0.22361074
DYEY5,0.12646957,0.1832412,0.39570636,0.112422146,0.18216081
DYEY6,0.11662187,0.46313977,0.085140124,0.05637198,0.27872625
DYEY7,0.14034376,0.44628698,0.1348317,0.19209582,0.086441785
DYEY8,0.4005248,0.14504413,0.17268883,0.05774635,0.22399591
DYEY9,0.125975,0.18494745,0.39370936,0.1133214,0.18204679
TET1,0.3458201,0.1700236,0.16305597,0.06139921,0.2597011
TET10,0.14134149,0.33134788,0.23100589,0.16664843,0.12965629
TET100,0.3453113,0.17028517,0.16295208,0.061426383,0.260025
TET103,0.1252155,0.52097344,0.08978319,0.1999131,0.064114764
TET104,0.14039022,0.41855383,0.15616772,0.18774818,0.097140014
TET105,0.47426292,0.114967845,0.179921,0.051023018,0.17982525
TET106,0.21916841,0.205624,0.3789585,0.07232041,0.12392861
TET107,0.1272983,0.13349721,0.4623899,0.08716209,0.18965246
TET108,0.14127246,0.29319122,0.42995435,0.04363743,0.09194456
TET109,0.41740996,0.13766024,0.17443492,0.056243546,0.21425131
TET110,0.12542984,0.1625201,0.42282468,0.10246012,0.18676524
TET112,0.38625824,0.14445348,0.17296529,0.07066872,0.22565429
TET113,0.14336765,0.35375753,0.20985077,0.17242397,0.12060002
TET114,0.2066384,0.37634343,0.16576654,0.16177003,0.08948161
TET115,0.13836853,0.45925286,0.12588368,0.1943705,0.08212444
TET117,0.16360754,0.45801666,0.11855765,0.18564582,0.07417237
TET118,0.13997088,0.4407412,0.1391142,0.1914605,0.08871317
TET119,0.11514645,0.46514562,0.08253764,0.057440665,0.2797297
TET120,0.11697146,0.5432744,0.07650413,0.20636605,0.056884017
TET121,0.36321953,0.16190252,0.166423,0.060415428,0.24803959
TET14,0.46692663,0.116973385,0.18077792,0.052803874,0.1825182
TET15,0.34679493,0.16957955,0.1632483,0.06133325,0.259044
TET16,0.14401267,0.3818573,0.18511666,0.17920521,0.10980804
TET18,0.15288314,0.39065874,0.17592978,0.17637824,0.1041501
TET19,0.39513758,0.147882,0.17145228,0.057728745,0.22779931
TET2,0.3468251,0.16933298,0.16333838,0.06169081,0.25881273
TET20,0.14040811,0.12109649,0.43783638,0.097376645,0.20328236
TET24,0.1422441,0.33828786,0.22427455,0.16843873,0.12675472
TET26,0.13804469,0.46510002,0.12839486,0.18279706,0.08566337
TET28,0.21188349,0.36732766,0.17115062,0.15877394,0.09086428
TET29,0.14210057,0.32535186,0.23638588,0.16465488,0.1315067
TET31,0.12943505,0.5005046,0.10003938,0.20069511,0.06932591
TET33,0.14365298,0.37012935,0.19531287,0.17653285,0.11437188
