SampleID,Env,Contribution
DYEY1,Pupils,0.22455916
DYEY10,Pupils,0.14342983
DYEY2,Pupils,0.23285797
DYEY3,Pupils,0.23027945
DYEY4,Pupils,0.40051007
DYEY5,Pupils,0.12646957
DYEY6,Pupils,0.11662187
DYEY7,Pupils,0.14034376
DYEY8,Pupils,0.4005248
DYEY9,Pupils,0.125975
TET1,Pupils,0.3458201
TET10,Pupils,0.14134149
TET100,Pupils,0.3453113
TET103,Pupils,0.1252155
TET104,Pupils,0.14039022
TET105,Pupils,0.47426292
TET106,Pupils,0.21916841
TET107,Pupils,0.1272983
TET108,Pupils,0.14127246
TET109,Pupils,0.41740996
TET110,Pupils,0.12542984
TET112,Pupils,0.38625824
TET113,Pupils,0.14336765
TET114,Pupils,0.2066384
TET115,Pupils,0.13836853
TET117,Pupils,0.16360754
TET118,Pupils,0.13997088
TET119,Pupils,0.11514645
TET120,Pupils,0.11697146
TET121,Pupils,0.36321953
TET14,Pupils,0.46692663
TET15,Pupils,0.34679493
TET16,Pupils,0.14401267
TET18,Pupils,0.15288314
TET19,Pupils,0.39513758
TET2,Pupils,0.3468251
TET20,Pupils,0.14040811
TET24,Pupils,0.1422441
TET26,Pupils,0.13804469
TET28,Pupils,0.21188349
TET29,Pupils,0.14210057
TET31,Pupils,0.12943505
TET33,Pupils,0.14365298
TET34,Pupils,0.22795342
TET35,Pupils,0.13033932
TET36,Pupils,0.16991061
TET37,Pupils,0.23298489
TET38,Pupils,0.14325304
TET39,Pupils,0.34733948
TET4,Pupils,0.14321433
TET40,Pupils,0.18299817
TET41,Pupils,0.13352074
TET42,Pupils,0.1267863
TET43,Pupils,0.15158245
TET44,Pupils,0.49481007
TET45,Pupils,0.12683003
TET46,Pupils,0.14075695
TET47,Pupils,0.1352703
TET48,Pupils,0.14231545
TET5,Pupils,0.20691687
TET51,Pupils,0.12158808
TET52,Pupils,0.115146466
TET53,Pupils,0.11575323
TET54,Pupils,0.3595676
TET56,Pupils,0.38362142
TET57,Pupils,0.13726598
TET58,Pupils,0.12557934
TET6,Pupils,0.116004266
TET60,Pupils,0.14133032
TET61,Pupils,0.14371535
TET62,Pupils,0.1254872
TET63,Pupils,0.12729827
TET65,Pupils,0.12203385
TET67,Pupils,0.22717643
TET68,Pupils,0.3450803
TET7,Pupils,0.21854176
TET70,Pupils,0.1258183
TET71,Pupils,0.1422718
TET72,Pupils,0.18059553
TET75,Pupils,0.18404052
TET76,Pupils,0.15222427
TET77,Pupils,0.23581706
TET78,Pupils,0.19450991
TET79,Pupils,0.13154402
TET8,Pupils,0.16748518
TET80,Pupils,0.13876382
TET81,Pupils,0.12277498
TET82,Pupils,0.23201472
TET84,Pupils,0.12524365
TET85,Pupils,0.14243819
TET86,Pupils,0.14323255
TET87,Pupils,0.12574318
TET88,Pupils,0.23401593
TET89,Pupils,0.22923297
TET9,Pupils,0.12534086
TET90,Pupils,0.24483287
TET92,Pupils,0.2320526
TET93,Pupils,0.1272983
TET94,Pupils,0.1405949
TET95,Pupils,0.23295859
TET96,Pupils,0.25143546
TET97,Pupils,0.12831898
TET98,Pupils,0.13900244
DXX1,Pupils,0.23311704
DXX10,Pupils,0.40189508
DXX11,Pupils,0.4826424
DXX116,Pupils,0.5937759
DXX12,Pupils,0.5231892
DXX13,Pupils,0.23316418
DXX136,Pupils,0.22503878
DXX15,Pupils,0.2042057
DXX16,Pupils,0.14179753
DXX17,Pupils,0.75017464
DXX18,Pupils,0.41079804
DXX19,Pupils,0.61537445
DXX2,Pupils,0.23042338
DXX20,Pupils,0.21817824
DXX21,Pupils,0.22741057
DXX22,Pupils,0.15067661
DXX23,Pupils,0.6390267
DXX24,Pupils,0.23311989
DXX25,Pupils,0.77795964
DXX26,Pupils,0.1423264
DXX5,Pupils,0.47381574
DXX6,Pupils,0.2135396
DXX7,Pupils,0.23128027
DXX8,Pupils,0.26952603
DXX9,Pupils,0.22802845
TXX1,Pupils,0.13284315
TXX10,Pupils,0.34595668
TXX101,Pupils,0.52255404
TXX102,Pupils,0.50056386
TXX103,Pupils,0.5193576
TXX104,Pupils,0.23298913
TXX105,Pupils,0.42019296
TXX106,Pupils,0.5054962
TXX107,Pupils,0.64364004
TXX108,Pupils,0.13815336
TXX109,Pupils,0.36872917
TXX11,Pupils,0.38902497
TXX111,Pupils,0.66494924
TXX112,Pupils,0.13470781
TXX113,Pupils,0.3495141
TXX114,Pupils,0.2319325
TXX115,Pupils,0.19752143
TXX118,Pupils,0.5204687
TXX119,Pupils,0.77351993
TXX12,Pupils,0.23038848
TXX120,Pupils,0.42031103
TXX121,Pupils,0.34589285
TXX122,Pupils,0.14213008
TXX123,Pupils,0.47572616
TXX124,Pupils,0.3459278
TXX125,Pupils,0.38267937
TXX126,Pupils,0.34854886
TXX127,Pupils,0.78547144
TXX128,Pupils,0.13854244
TXX129,Pupils,0.12751403
TXX13,Pupils,0.6904754
TXX130,Pupils,0.21924601
TXX131,Pupils,0.12565634
TXX132,Pupils,0.3544024
TXX133,Pupils,0.13165113
TXX134,Pupils,0.23310584
TXX135,Pupils,0.17364739
TXX137,Pupils,0.4248846
TXX138,Pupils,0.78328127
TXX139,Pupils,0.38613442
TXX14,Pupils,0.14084715
TXX140,Pupils,0.2320812
TXX141,Pupils,0.78754944
TXX142,Pupils,0.3627197
TXX143,Pupils,0.37409675
TXX144,Pupils,0.13394846
TXX145,Pupils,0.21948643
TXX146,Pupils,0.35481372
TXX147,Pupils,0.78657055
TXX148,Pupils,0.80088615
TXX149,Pupils,0.13373756
TXX15,Pupils,0.36384654
TXX151,Pupils,0.46327236
TXX152,Pupils,0.40539956
TXX16,Pupils,0.46611255
TXX17,Pupils,0.19906369
TXX18,Pupils,0.75122774
TXX19,Pupils,0.23306718
TXX2,Pupils,0.22596458
TXX20,Pupils,0.22315644
TXX21,Pupils,0.52258724
TXX22,Pupils,0.14130104
TXX23,Pupils,0.3586227
TXX24,Pupils,0.652687
TXX25,Pupils,0.22244178
TXX26,Pupils,0.47279784
TXX28,Pupils,0.49716717
TXX29,Pupils,0.2335737
TXX30,Pupils,0.1425743
TXX32,Pupils,0.3610222
TXX33,Pupils,0.7405168
TXX34,Pupils,0.62836206
TXX35,Pupils,0.78393173
TXX36,Pupils,0.5231881
TXX37,Pupils,0.1391796
TXX38,Pupils,0.21308008
TXX40,Pupils,0.18195382
TXX42,Pupils,0.21956345
TXX43,Pupils,0.7860912
TXX44,Pupils,0.1272983
TXX45,Pupils,0.5383043
TXX46,Pupils,0.43409696
TXX47,Pupils,0.1272983
TXX48,Pupils,0.12738365
TXX49,Pupils,0.14113384
TXX5,Pupils,0.13430533
TXX50,Pupils,0.45260105
TXX51,Pupils,0.4678913
TXX52,Pupils,0.56822073
TXX53,Pupils,0.1805957
TXX54,Pupils,0.19392237
TXX55,Pupils,0.35138798
TXX56,Pupils,0.13765842
TXX57,Pupils,0.19340023
TXX58,Pupils,0.12946568
TXX59,Pupils,0.3864319
TXX60,Pupils,0.66540825
TXX61,Pupils,0.1793736
TXX62,Pupils,0.52299017
TXX63,Pupils,0.515717
TXX64,Pupils,0.1717538
TXX65,Pupils,0.2322648
TXX66,Pupils,0.22969227
TXX67,Pupils,0.7910637
TXX68,Pupils,0.43432808
TXX69,Pupils,0.12729694
TXX70,Pupils,0.40560317
TXX72,Pupils,0.5339852
TXX73,Pupils,0.5222278
TXX74,Pupils,0.41080096
TXX75,Pupils,0.12617862
TXX76,Pupils,0.49601245
TXX77,Pupils,0.23287152
TXX78,Pupils,0.34935895
TXX79,Pupils,0.77771986
TXX8,Pupils,0.2197304
TXX80,Pupils,0.78558046
