,root:Pupils,root:kindergarten,root:mid_age,root:mid_school,root:youth
DYEY1,0.16460644,0.21413852,0.11308615,0.13921857,0.3689504
DYEY10,0.124190755,0.29989445,0.09691114,0.08489296,0.39411068
DYEY2,0.17482167,0.1808369,0.09211057,0.22045113,0.33177975
DYEY3,0.11551539,0.37005427,0.10384602,0.07605903,0.33452523
DYEY4,0.21109113,0.1424914,0.07852184,0.26173252,0.30616304
DYEY5,0.1699418,0.10278744,0.10964992,0.1368518,0.48076904
DYEY6,0.080269806,0.21694031,0.1493069,0.054633826,0.49884906
DYEY7,0.16752596,0.17529204,0.12809017,0.1491197,0.37997213
DYEY8,0.15266941,0.30279508,0.2256176,0.040270243,0.27864763
DYEY9,0.18823837,0.17290401,0.15325744,0.050005578,0.43559462
TET1,0.25434494,0.116284214,0.08870875,0.25784048,0.2828216
TET10,0.15931559,0.17856652,0.14453241,0.10855184,0.40903363
TET100,0.18390918,0.17279302,0.06838766,0.27549696,0.2994133
TET103,0.14300051,0.15454753,0.22977991,0.09141136,0.38126063
TET104,0.25558,0.04524938,0.26863348,0.10155051,0.32898661
TET105,0.114787444,0.36483857,0.10117204,0.07022154,0.34898037
TET106,0.24358177,0.08347895,0.37186417,0.11880337,0.18227181
TET107,0.17155144,0.109167464,0.23173955,0.14191987,0.34562165
TET108,0.16393653,0.13701612,0.2190833,0.13631569,0.3436484
TET109,0.18441594,0.18711396,0.16375959,0.10150144,0.36320904
TET110,0.18370351,0.142481,0.08223754,0.2181419,0.37343606
TET112,0.29326352,0.048722595,0.21247809,0.12259853,0.3229373
TET113,0.15186897,0.16995251,0.1224785,0.14235519,0.4133449
TET114,0.23597977,0.099761754,0.13810007,0.17431794,0.35184038
TET115,0.17785805,0.15683997,0.13495035,0.14065737,0.3896943
TET117,0.1252751,0.27514017,0.11157766,0.09496469,0.39304236
TET118,0.1770646,0.1347789,0.093051285,0.19623195,0.39887318
TET119,0.03448484,0.0957028,0.027604438,0.09209438,0.75011355
TET120,0.16084199,0.15896101,0.06788482,0.23579879,0.37651336
TET121,0.23341888,0.25591576,0.29651356,0.041263934,0.17288785
TET14,0.16907783,0.23288052,0.16102497,0.09522784,0.3417889
TET15,0.35907602,0.06432697,0.12280453,0.21246459,0.24132782
TET16,0.16826327,0.16832277,0.12435191,0.15968841,0.37937358
TET18,0.21884622,0.22779332,0.27553034,0.07258259,0.20524752
TET19,0.1384729,0.27334514,0.1052326,0.11760481,0.3653446
TET2,0.14403784,0.24885923,0.26875746,0.03322816,0.30511734
TET20,0.15609445,0.19287483,0.0928887,0.19324222,0.3648998
TET24,0.15547995,0.1619273,0.07885322,0.20922786,0.3945117
TET26,0.2251974,0.09901679,0.24239138,0.080875,0.3525194
TET28,0.1529812,0.2085686,0.11346875,0.12561648,0.39936498
TET29,0.15058134,0.15833914,0.11355487,0.15136018,0.42616448
TET31,0.08906715,0.22818093,0.09982994,0.08570726,0.49721473
TET33,0.12290762,0.22424299,0.092155725,0.13580732,0.42488638
TET34,0.13551505,0.22080256,0.13886519,0.08303335,0.42178378
TET35,0.16895832,0.18762738,0.12205756,0.15132912,0.37002763
TET36,0.1820999,0.13590841,0.11521809,0.16715123,0.3996224
TET37,0.14868921,0.269406,0.10059666,0.13877101,0.3425371
TET38,0.14155726,0.18750887,0.10909802,0.14684759,0.41498828
TET39,0.18397117,0.17229886,0.06847366,0.2747176,0.30053863
TET4,0.14367104,0.17057085,0.10680525,0.14899108,0.42996174
TET40,0.12968722,0.2085447,0.091208175,0.15780477,0.41275516
TET41,0.14164041,0.16948609,0.14831668,0.08734755,0.45320925
TET42,0.14654787,0.24717897,0.118914686,0.09756194,0.38979656
TET43,0.16568363,0.09078811,0.15343831,0.0966048,0.49348515
TET44,0.19235101,0.16691005,0.10244383,0.20989224,0.32840288
TET45,0.14510413,0.26367322,0.17277047,0.05091294,0.36753926
TET46,0.15454233,0.16141455,0.11379544,0.15696995,0.4132777
TET47,0.14505905,0.13141893,0.0863415,0.15986302,0.47731745
TET48,0.21458688,0.1209659,0.1566132,0.14351758,0.36431646
TET5,0.23231858,0.30838662,0.22973704,0.13416865,0.09538907
TET51,0.17950869,0.065621324,0.1330975,0.1810971,0.44067535
TET52,0.18687768,0.08739877,0.38461137,0.1314413,0.2096709
TET53,0.16618577,0.1126129,0.16657656,0.1623432,0.39228153
TET54,0.24834828,0.10136527,0.17991331,0.16109255,0.3092806
TET56,0.20988056,0.1455708,0.11032021,0.23585488,0.2983736
TET57,0.136141,0.14832298,0.15198492,0.07327843,0.4902727
TET58,0.10383261,0.1812072,0.13182904,0.08554359,0.49758744
