SampleID,Env,Contribution
DYEY1,Pupils,0.16460644
DYEY10,Pupils,0.124190755
DYEY2,Pupils,0.17482167
DYEY3,Pupils,0.11551539
DYEY4,Pupils,0.21109113
DYEY5,Pupils,0.1699418
DYEY6,Pupils,0.080269806
DYEY7,Pupils,0.16752596
DYEY8,Pupils,0.15266941
DYEY9,Pupils,0.18823837
TET1,Pupils,0.25434494
TET10,Pupils,0.15931559
TET100,Pupils,0.18390918
TET103,Pupils,0.14300051
TET104,Pupils,0.25558
TET105,Pupils,0.114787444
TET106,Pupils,0.24358177
TET107,Pupils,0.17155144
TET108,Pupils,0.16393653
TET109,Pupils,0.18441594
TET110,Pupils,0.18370351
TET112,Pupils,0.29326352
TET113,Pupils,0.15186897
TET114,Pupils,0.23597977
TET115,Pupils,0.17785805
TET117,Pupils,0.1252751
TET118,Pupils,0.1770646
TET119,Pupils,0.03448484
TET120,Pupils,0.16084199
TET121,Pupils,0.23341888
TET14,Pupils,0.16907783
TET15,Pupils,0.35907602
TET16,Pupils,0.16826327
TET18,Pupils,0.21884622
TET19,Pupils,0.1384729
TET2,Pupils,0.14403784
TET20,Pupils,0.15609445
TET24,Pupils,0.15547995
TET26,Pupils,0.2251974
TET28,Pupils,0.1529812
TET29,Pupils,0.15058134
TET31,Pupils,0.08906715
TET33,Pupils,0.12290762
TET34,Pupils,0.13551505
TET35,Pupils,0.16895832
TET36,Pupils,0.1820999
TET37,Pupils,0.14868921
TET38,Pupils,0.14155726
TET39,Pupils,0.18397117
TET4,Pupils,0.14367104
TET40,Pupils,0.12968722
TET41,Pupils,0.14164041
TET42,Pupils,0.14654787
TET43,Pupils,0.16568363
TET44,Pupils,0.19235101
TET45,Pupils,0.14510413
TET46,Pupils,0.15454233
TET47,Pupils,0.14505905
TET48,Pupils,0.21458688
TET5,Pupils,0.23231858
TET51,Pupils,0.17950869
TET52,Pupils,0.18687768
TET53,Pupils,0.16618577
TET54,Pupils,0.24834828
TET56,Pupils,0.20988056
TET57,Pupils,0.136141
TET58,Pupils,0.10383261
TET6,Pupils,0.08664466
TET60,Pupils,0.13032559
TET61,Pupils,0.15179616
TET62,Pupils,0.17477706
TET63,Pupils,0.17735285
TET65,Pupils,0.12336359
TET67,Pupils,0.18923299
TET68,Pupils,0.24987355
TET7,Pupils,0.17165224
TET70,Pupils,0.11296524
TET71,Pupils,0.10643301
TET72,Pupils,0.15648137
TET75,Pupils,0.22024995
TET76,Pupils,0.16868961
TET77,Pupils,0.15802635
TET78,Pupils,0.20901735
TET79,Pupils,0.10733058
TET8,Pupils,0.12439501
TET80,Pupils,0.30084404
TET81,Pupils,0.3545304
TET82,Pupils,0.12442704
TET84,Pupils,0.11524245
TET85,Pupils,0.17910698
TET86,Pupils,0.18505925
TET87,Pupils,0.106740914
TET88,Pupils,0.2611296
TET89,Pupils,0.18557061
TET9,Pupils,0.13528617
TET90,Pupils,0.12224035
TET92,Pupils,0.18531498
TET93,Pupils,0.17469022
TET94,Pupils,0.11058024
TET95,Pupils,0.21391878
TET96,Pupils,0.13609299
TET97,Pupils,0.19061337
TET98,Pupils,0.15008068
DXX1,Pupils,0.2773929
DXX10,Pupils,0.11426735
DXX11,Pupils,0.30819535
DXX116,Pupils,0.23040523
DXX12,Pupils,0.23303147
DXX13,Pupils,0.19547072
