Samples	TL18	TL87	TL23	TL63	TL120	TL6	TL14	TL92	TL81	TL57	TL71	TL73	TL96	100a	TL91	TL59	TL16	TL77	TL30	TL102	TL117	TL2	TL109	TL64	TL76	TL112
k__Bacteria;p__Proteobacteria;c__Enterobacteriales;o__Gammaproteobacteria;f__Enterobacteriaceae;g__Escherichia-Shigella;s__	0.05068654447009522	0.0038193391936950593	0.012759069413146284	0.0007097030602395957	0.05235668993275727	0.005177698616518929	0.10489041127595064	0.005806108680541358	0.0037653779985068326	0.006949175637007767	0.10900268329128976	0.07181825859302424	0.005361508906741181	0.009712029838455764	0.004007779272238178	0.004169932127700475	0.0056291665514093675	0.007684065081916364	0.00048344613743206747	0.03115891521987074	0.0016910778175313061	0.012307069666476572	0.01296693977485672	0.01622590766472434	0.011358639894474571	0.022185781807658917
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Bacteroidaceae;g__Bacteroides;s__	0.0543394617046329	0.014925735071233709	0.02231250198368617	0.02202918298983705	0.09554536887667907	0.01927484604976113	0.02504223852616474	0.024001308418857583	0.10870905962930502	0.018558386701185446	0.012741616723171105	0.06859217971455113	0.009745022703457909	0.18658722662210275	0.030626340470391512	0.19770210123175652	0.014854360875217838	0.00944646533006232	0.03120728169906312	0.017171461158281588	0.019580165474060825	0.11405654997332547	0.0972520483114254	0.14713880173315405	0.028738580292149107	0.14510787434487638
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Prevotellaceae;g__Prevotella;s__	0.14104525352543598	0.015968475295544106	0.0015869489319833687	0.1076193720547323	0.016371448194349054	0.05931571535084086	0.01583076816256625	0.004538577912254161	0.006670561885285812	0.2665758277694509	0.13708886996481193	0.006891309855586522	0.009186168354872513	0.010559713240814743	0.1126722163655531	0.06476703091960312	0.023636967165500258	0.034190564814031515	0.712166172106825	0.010249017868457735	0.3010118515205725	0.0025938667010062732	0.007112667387052209	0.12102196324518155	0.00046411646880648787	0.02938812256840616
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Lachnospiraceae;g__Blautia;s__	0.005071435856071353	0.025462261291300397	0.0017139048465420385	0.005053085788905922	0.009152038844255618	0.036851406953304064	0.027055801143333256	0.0264954818661324	0.03294705748693478	0.0067039106145251395	0.0036152128155277404	0.003986149818427497	0.019350331819769476	0.01351449538618034	0.00763386528045367	0.004583967941798394	0.034812315012032864	0.012802075402532215	0.0002333877904844464	0.0040710936509948045	0.0033821556350626123	0.01000754244927243	0.005895307007345197	0.0015538622441356642	0.058051199374664124	0.005337448956625189
k__Bacteria;p__Proteobacteria;c__Enterobacteriales;o__Gammaproteobacteria;f__Enterobacteriaceae;g__None;s__	0.2376065047886593	0.0022431039709002727	0.0013965150601453645	0.0011071367739737693	0.002747208867734671	0.001145997293789523	0.010484412248015369	0.008054953592018644	0.007384685298795728	0.0035699686605804607	0.11263396371933095	0.33556287475719954	0.316765630457562	0.00014531715469011118	0.010932785633792576	0.004081210167536635	0.0019086608945810628	0.055663649437441835	0.005818024205647985	0.008617412241794449	0.07528790250447227	0.00045990544344082864	0.003583690106553228	0.0016584491259524876	0.0009282329376129756	0.0017362785762515677
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Peptostreptococcaceae;g__Incertae_Sedis;s__	0.06167311026432658	0.06621400424371021	0.04989367442155712	0.0042014421166184064	0.00927981600089444	0.027200176732112776	0.003170782512092948	0.010385574682095106	0.025675982731197457	0.0035154653222509878	0.008756848819833863	0.17724854319736508	0.00969263010827803	0.0017922449078447047	0.006116180159220619	0.011770446715069424	0.14729882990788634	0.05326678509996334	0.0012002800653485813	0.04736408566721582	0.0021942084078711986	0.004525469563457753	0.056149037738171766	0.06284177498879426	0.025770677610044455	0.004630076203337513
k__Bacteria;p__Actinobacteria;c__Bifidobacteriales;o__Actinobacteria;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.002799951788909595	0.001406486814186117	0.0002856508077570064	0.0	0.00019166573495823283	0.0011874188827216744	0.002661605758326197	0.003938885935860217	0.008261109488103355	8.175500749420902e-05	0.0004016903128364157	6.756186132927963e-05	0.023594132029339854	0.0006054881445421298	0.0006634192446108546	0.0	0.000594727670050621	0.0006062656853622085	0.0001500350081685727	0.0007920415663414017	0.0	0.0016372633786493494	0.0005471282605424777	0.0008815180038846557	0.012494503883922028	0.00041799299057908106
k__Bacteria;p__Actinobacteria;c__Coriobacteriales;o__Coriobacteriia;f__Coriobacteriaceae;g__Collinsella;s__	0.0008622368091675242	0.009627159745377386	0.0005395626368743454	0.0006245386930108442	0.015205481640019806	0.04212575594399801	0.0065267202073738045	0.0002589578988973845	0.005031324049728957	0.003787982013898351	0.0019120458891013386	0.0005236044253019169	0.001309814879497031	0.00014531715469011118	0.003498854920207932	0.0006654147012287991	0.023028408619401957	0.012787976200547049	0.00013336445170539793	0.002756304650868077	0.002529628801431127	5.518865321289943e-05	0.0014635680969511278	0.002121619602569849	0.0040549123064145785	0.009710298704221729
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Ruminococcaceae;g__Faecalibacterium;s__	0.0017244736183350483	0.02388602606850561	0.004538673945472435	0.0042298302390279905	0.008944400964717533	0.002568138513793389	0.001944129423473048	0.02222949121587548	0.01699289122602006	0.007167188990325656	0.0027475617398010827	0.0003040283759817583	0.0062521830247991616	0.013175422025236746	0.011087280526373188	0.015526343028671981	0.004384387707117369	0.01889293066012464	0.00390091021238289	0.011120263591433279	0.005352750447227192	0.0027594326606449715	0.005621742877073959	0.01606155685044076	0.037984268894425716	0.015433587344458375
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Bacteroidaceae;g__Bacteroides;s__	0.03409080373450523	0.009833282812973628	0.08131526327482781	0.002980752853006302	0.000303470747017202	0.00019330074835004004	0.002823616543615618	0.2113369042264655	0.0016716979907163954	0.002098378525684698	0.001944181114128252	0.004661768431720293	0.0014320642682500873	0.0059095642907311865	0.011923370533280018	0.012258417495970543	0.00017980138861995517	0.0006062656853622085	0.006351482012469576	0.07161639842858954	0.004570102862254025	0.00033113191927739663	0.00556703005101971	0.015180038846556103	0.004494601592652303	0.0007395260602552973
k__Bacteria;p__Firmicutes;c__Lactobacillales;o__Bacilli;f__Streptococcaceae;g__Streptococcus;s__	0.0005933672665238876	0.0071536829342224925	0.00022217285047767163	0.02245500482598081	0.00519094698845214	0.00851904012371248	0.04980674427754762	0.0030120892450695783	0.013519654623949105	0.006812917291184086	0.015826598325754775	0.0032936407398023817	0.0033531260915124	0.0025188306812952603	0.03298011559853139	0.0011090245020479986	0.0013415949766258195	0.0015791106223387757	3.334111292634948e-05	0.0005069066024584969	2.7951699463327367e-05	0.0002207546128515977	0.001449889890437566	0.0004332885103839833	0.001929747422932239	0.0035047104594707564
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Bacteroidaceae;g__Bacteroides;s__	0.008001186734533048	0.004595331918763262	0.008156917510394516	0.03310055072957475	0.00927981600089444	0.0017258995388396432	0.003494804082671789	0.010794455575090976	0.03336903950400883	0.00945632920016351	0.008837186882401144	0.0022126509585339077	0.0011701012923506812	0.009300297900167115	0.0011996074012141482	0.021071465538911968	5.532350419075544e-05	0.00035248004962919096	0.006318140899543227	0.005845266759599544	0.020320885509839	0.0002207546128515977	0.003487942660958295	0.023875691020469148	0.08587376032048462	0.006687887849265297
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Bacteroidaceae;g__Bacteroides;s__	0.0023920117931744227	0.0032373446498939074	0.0023486844193353856	0.01484698802021234	0.011036751904678241	0.006613647032833513	0.0026847501562246856	0.005506262692344386	0.008212419255364041	0.004196757051369396	0.003984767903337243	0.0012161135039270331	0.02017114914425428	0.07919784930611057	0.003353447962485005	0.018971712481701097	0.0011203009598627976	0.006640724135013958	0.0016503850898542994	0.0065897858319604605	0.009056350626118068	0.07915892492503541	0.0408978374755502	0.003257134319438219	0.0031755337339391273	0.010417671457509405
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Lachnospiraceae;g__Incertae_Sedis;s__	0.0021602277046885287	0.010184904516520158	0.001015647316469356	0.0007948674274683473	0.0006708300723538151	0.009292243117112641	0.0031013493183974818	0.01789535375011926	0.005128704515207583	0.0013898351274015536	0.011118787859311984	0.00179038932522591	0.029025497729654213	0.0004843905156337039	0.0016540041440982949	0.0009759415618022387	0.004024784929877458	0.0037785861320249283	0.00021671723402127163	0.003469142060575339	0.00032144454382826475	0.008977354255964973	0.002776675922253074	0.0012699835649185715	0.01476623186281694	0.0013825921996077294
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Lachnospiraceae;g__Incertae_Sedis;s__	0.0013165336225998757	0.00638981509548348	9.521693591900212e-05	0.00011355248963833533	0.0008944400964717534	0.022947560268411896	0.0015969634549957185	0.00982677079500075	0.002061219852630896	8.175500749420902e-05	0.016051544900943168	0.08093910987247699	0.0013447432762836186	0.0016711472789362786	0.0003816932640226835	0.00016265692696703976	0.0001659705125722663	0.0006908608972732142	3.334111292634948e-05	0.0002059308072487644	6.987924865831842e-05	0.001821225556025681	0.0017097758141952429	0.004317944120723144	0.005251844252283941	0.0011575190508343782
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Lachnospiraceae;g__Incertae_Sedis;s__	0.0011774631695083396	0.006462564413458625	0.0004760846795950105	0.001674899222165446	0.001948601638742034	0.05237069560655013	0.005786099474622167	0.011762140355181205	0.005047554127308729	0.002643411908979425	0.001719234538939859	0.0002195760493201588	0.006723716381418093	0.000871902928140667	0.001335926424079392	0.0010498765286054387	0.016099139719509832	0.007895553111693878	0.00010002333877904844	0.007270941579014065	0.001146019677996422	0.0016556595963869828	0.0017508104337359285	0.0010906917675183028	0.013117397039425473	0.002057811645927784
k__Bacteria;p__Firmicutes;c__Lactobacillales;o__Bacilli;f__Enterococcaceae;g__Enterococcus;s__	6.489954477605022e-05	4.849954531676266e-05	3.1738978639667385e-05	0.0	0.0016611030363046847	0.0018225499130146634	9.257759159395467e-05	0.0	0.00012984062063816666	5.450333832947268e-05	0.000128540900107653	0.0	0.0004016765630457562	2.4219525781685195e-05	0.00010905521829219528	0.0001922309136883197	2.766175209537772e-05	4.2297605955502916e-05	3.334111292634948e-05	4.75224939804841e-05	1.3975849731663684e-05	0.0	0.00031459874981192465	1.4940983116689078e-05	0.0	0.002411498022571621
k__Bacteria;p__Bacteroidetes;c__Bacteroidales;o__Bacteroidia;f__Bacteroidaceae;g__Bacteroides;s__	0.004598596315560129	0.007978175204607457	0.00568127717650046	0.013030148185998978	0.023367247520324555	0.03646480545660398	0.006110121045201009	0.006787422823731447	0.04435680202551368	0.005068810464640959	0.0026672236772338	0.0020437463052107086	0.007666783094655955	0.10351425319092253	0.006497873423243303	0.012835110237035504	0.003388564631683771	0.0041028677776837824	0.0009502217184009604	0.004482955265492332	0.004458296064400715	0.0004047167902279292	0.04989809736147397	0.006439563723292993	0.006522057745859592	0.02315038101668757
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Ruminococcaceae;g__Subdoligranulum;s__	0.0007787945373126026	0.021170051530766898	0.0017139048465420385	0.0009935842843354342	0.0017569359037838009	0.0027752464584541465	0.0039114032448445855	0.0008177617859917406	0.010241178952835394	0.0010900667665894538	0.0004177579253498722	0.00013512372265855926	0.001851205029689137	0.0002664147835985372	0.000763386528045367	0.001419551362621438	0.011908384277060109	0.007641767475960861	0.0009335511619377856	0.0018692180965657079	0.0005869856887298747	0.014109899004764618	0.0037341503782024094	0.0011803376662184372	0.001038155259172407	0.007877560207067296
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__	0.03461000009271364	0.0242861473173689	0.008918652997746532	0.01771418838358031	0.02766375441230494	0.0047634827271974154	0.016617677691114864	0.020266862929495304	0.015304963157723894	0.01951219512195122	0.010202933946044957	0.00033780930664639817	0.010076842472930492	0.003632928867252779	0.04142280708131884	0.013042128144084465	0.04306934801250311	0.05756704170543948	0.007835161537692129	0.012276644278291723	0.028105433810375672	0.02235140455122427	0.0094516407008713	0.008979530853130134	0.0581977624700767	0.039419954342304116
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Lachnospiraceae;g__Anaerostipes;s__	0.0012052772601266466	0.010463776902091543	0.0001586948931983369	0.0013626298756600238	0.0007826350844127841	0.004473531604672355	0.009165181567801514	0.019517247959002875	0.005810367773557958	0.0016351001498841804	0.0014460851262110962	0.0007600709399543957	0.023227383863080684	0.004916563733682096	0.0012177832709295141	0.0004436098008191994	0.014743713866836325	0.0032146180526182217	0.00025005834694762113	0.0006336332530731213	4.192754919499105e-05	0.0035872624588384632	0.0014772463034646898	0.00032870162856715973	0.010296057452733402	0.0006109128323848107
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Clostridiaceae_1;g__Clostridium_SS1;s__	0.006285984479737435	0.005710821461048803	0.0004126067223156759	0.0027536478737296317	0.01044578255522369	0.02461823102200867	0.0006480431411576827	0.0006814681549931173	0.05495504268510403	0.05374029159286006	0.021498465543004962	0.09163077442783547	0.001466992665036675	0.00012109762890842596	0.0007270347886146353	0.0027947417451609567	0.07337279743298941	0.0931957251219581	0.0001667055646317474	0.012751869218096566	0.020949798747763863	0.0018028293382880481	0.00232529510730553	0.03266098909308233	0.0016244076408227074	0.006173434937783351
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Lachnospiraceae;g__Blautia;s__	0.0010476640799562393	0.0012488632919066384	0.00031738978639667375	0.0010787486515641855	0.0010701336868501334	0.041214480987490684	0.005392644710347861	0.0005042864346949069	0.0019151491544129578	0.0010355634282599806	0.0003374198627825891	8.445232666159953e-05	0.0038945162417045056	0.00024219525781685194	0.0020629612126940268	0.0013604033891788784	0.011493457995629444	0.0076699658799311956	0.00011669389524222317	0.0008237232289950577	0.00033542039355992836	0.0014533012012730182	0.0017508104337359285	0.001150455699985059	0.0	0.00035368637664383784
k__Bacteria;p__Firmicutes;c__Selenomonadales;o__Negativicutes;f__Veillonellaceae;g__Megamonas;s__	0.00019469863432815065	0.00274022431039709	0.3651569492493731	0.0029523647305967184	9.583286747911644e-05	0.0003451799077679286	0.0002545883768833754	0.03678565100652847	0.0012334858960625832	0.0019348685106962801	0.0	0.0005742758212988767	0.0011875654907439748	0.00019375620625348159	0.00019993456686902468	0.0	5.532350419075544e-05	0.004229760595550292	0.0001500350081685727	0.2256368014193385	2.7951699463327367e-05	0.0	0.0003556333693526105	0.006379799790826236	0.05756265572328888	0.0002572264557409729
k__Bacteria;p__Firmicutes;c__Clostridiales;o__Clostridia;f__Ruminococcaceae;g__Ruminococcus;s__	0.001705930891256177	0.0017702334040618371	0.0008569524232710193	0.0026117072616817123	0.0003513871807567602	0.00033137271145721153	0.0015738190570972295	0.046585163075329485	0.0038465283864056866	0.0005177817141299903	0.0013496794511303565	0.0003040283759817583	0.0009081383164512748	0.0005812686187604447	0.0003726053291650005	7.39349668031999e-05	0.03385798456474233	0.02185376307700984	1.667055646317474e-05	0.007445190723609175	0.003577817531305903	0.04672639305358818	0.004322313258285574	1.4940983116689078e-05	0.00013434950412819386	0.0005466062184495675
k__Bacteria;p__Firmicutes;c__Erysipelotrichales;o__Erysipelotrichia;f__Erysipelotrichaceae;g__None;s__	0.0006211813571421949	0.04384358896635344	0.0003491287650363411	0.0009368080395162664	0.0036895653979459827	0.0002485295335929086	0.0007869095285486147	0.0031211241498684764	0.001054955042685104	0.0010355634282599806	0.0003374198627825891	0.003040283759817583	0.005536150890674118	4.843905156337039e-05	0.0034715911156348827	0.0010498765286054387	0.002724682581394705	0.006260045681414432	0.00013336445170539793	0.0007920415663414017	0.00044722719141323787	1.8396217737633138e-05	0.0012036821731934509	0.0010757507844016136	0.0057892422687967175	0.0022185781807658924
