,root:Pupils,root:elder,root:kindergarten,root:mid_age,root:mid_school,root:youth
TL18,0.16371049,0.07646023,0.13788845,0.21671288,0.21726379,0.1879642
TL87,0.31690478,0.10368969,0.24519044,0.08707874,0.11144085,0.13569549
TL23,0.34233347,0.041776862,0.2611582,0.10761643,0.17060074,0.07651425
TL63,0.64858687,0.038908515,0.1850109,0.056164905,0.03574691,0.03558189
TL120,0.6814799,0.012340264,0.23804402,0.02842397,0.02289573,0.016816074
TL6,0.32520786,0.17974806,0.14977224,0.12892373,0.060099863,0.1562483
TL14,0.6618711,0.030954847,0.19677353,0.05062519,0.030657109,0.029118182
TL92,0.38431767,0.14441785,0.1998025,0.075982854,0.04292212,0.15255697
TL81,0.38385868,0.13564864,0.21003357,0.07468298,0.048610482,0.1471656
TL57,0.79679465,0.013809344,0.1413263,0.022356644,0.014470998,0.011242061
TL71,0.25989437,0.018250925,0.35826322,0.091682576,0.22116442,0.050744448
TL73,0.123708375,0.08500244,0.113640316,0.26986536,0.16557364,0.24221
TL96,0.08054945,0.16309543,0.03965111,0.27600196,0.1529558,0.2877463
100a,0.43228465,0.13403168,0.20537318,0.06006644,0.03077588,0.13746813
TL91,0.25662544,0.11755151,0.19324131,0.15258858,0.1483541,0.131639
TL59,0.3866323,0.10135429,0.24294013,0.07205297,0.061146807,0.1358735
TL16,0.31292355,0.030302817,0.27807257,0.13674276,0.16552468,0.07643365
TL77,0.35467368,0.07058912,0.1912689,0.14392595,0.13458867,0.10495364
TL30,0.42331764,0.14698455,0.19311756,0.06300229,0.028180806,0.1453971
TL102,0.38604194,0.110627584,0.23936568,0.067127995,0.058011662,0.1388252
TL117,0.3835234,0.08204822,0.26088893,0.07207195,0.08383826,0.11762932
TL2,0.31859758,0.17064448,0.18755141,0.086549595,0.052063495,0.18459345
TL109,0.4087438,0.10815037,0.23792134,0.06522834,0.047696024,0.13226011
TL64,0.4067938,0.13382456,0.20957953,0.06639305,0.03772142,0.1456876
TL76,0.41124865,0.122808896,0.2215026,0.06837134,0.04401583,0.13205273
TL112,0.7665416,0.0098674195,0.17136824,0.02458278,0.016772997,0.010867046
