,root:Pupils,root:elder,root:kindergarten,root:mid_age,root:mid_school,root:youth
TL18,0.119996436,0.10646686,0.08416975,0.30417904,0.14150496,0.24368303
TL87,0.21847983,0.06933164,0.19971147,0.13572001,0.18383029,0.19292687
TL23,0.07690112,0.09783044,0.14341426,0.25792366,0.19172369,0.23220687
TL63,0.19980301,0.03313187,0.28587145,0.12388693,0.18114316,0.1761636
TL120,0.09118229,0.12964025,0.048363123,0.36814943,0.10297062,0.25969428
TL6,0.51336324,0.032769307,0.25091553,0.062119592,0.09162363,0.04920869
TL14,0.50936276,0.07819761,0.12183416,0.1377224,0.088357344,0.064525686
TL92,0.08185539,0.09851583,0.10919541,0.1503129,0.19125584,0.3688646
TL81,0.46635115,0.04045417,0.24978124,0.07023383,0.10947456,0.06370507
TL57,0.49410927,0.07757017,0.11677207,0.15098153,0.09411496,0.066451915
TL71,0.06323151,0.040241867,0.32264963,0.15245952,0.179183,0.24223445
TL73,0.08910541,0.08703352,0.110521674,0.2894129,0.13365705,0.2902695
TL96,0.22212568,0.0834551,0.11189569,0.22311585,0.18346407,0.1759436
100a,0.06675292,0.11275773,0.09677745,0.12990662,0.20992014,0.38388517
TL91,0.16326487,0.06758811,0.17284277,0.20328185,0.18429494,0.20872746
TL59,0.049233355,0.13210358,0.048267044,0.10365117,0.16851528,0.4982296
TL16,0.42873815,0.035315663,0.274096,0.09423758,0.096590616,0.071022056
TL77,0.34173796,0.083396636,0.1106581,0.19848531,0.14092451,0.12479749
TL30,0.08531174,0.09632613,0.14303897,0.13227494,0.23283266,0.31021562
TL102,0.044493895,0.13444549,0.043386757,0.10192227,0.16096336,0.5147882
TL117,0.14342119,0.08059773,0.14729458,0.21436603,0.17628628,0.23803414
TL2,0.055206586,0.11510273,0.08115401,0.1043916,0.20653406,0.43761098
TL109,0.055620585,0.13716976,0.04571112,0.1585913,0.14373751,0.45916972
TL64,0.04596058,0.13744247,0.037496567,0.116916895,0.1436595,0.518524
TL76,0.08504861,0.09551015,0.14526881,0.14926459,0.22467032,0.30023745
TL112,0.32292327,0.07542155,0.10403956,0.19533493,0.16240545,0.13987522
