SampleID,Env
K106,root:Elder
K124,root:Elder
K306,root:Elder
C048,root:Elder
K309,root:Elder
K304,root:Elder
C011,root:Elder
K119,root:Elder
K125,root:Elder
C024,root:Elder
Y14,root:Middle age
USygt5.F.418630,root:Middle age
USygt48.F.418551,root:Middle age
SRR5610109,root:Middle age
Y2,root:Middle age
USygt29.M.418603,root:Middle age
SRR5609966,root:Middle age
SRR3679942,root:Middle age
SRR5610166,root:Middle age
SRR5610061,root:Middle age
SRR5802238,root:Young
SRR5580440,root:Young
USBldChld5.418733,root:Young
SRR5610035,root:Young
USygt36.T1.418651,root:Young
SRR5602111,root:Young
SRR5802296,root:Young
SRR5802326,root:Young
SRR5802345,root:Young
SRR5802269,root:Young
