,root:Elder,root:Young
SRR5602134,0.08630857,0.9136914
S330,0.47433442,0.5256656
SRR5602159,0.11533712,0.88466287
SRR5602145,0.027735304,0.97226465
SRR5602220,0.027735304,0.97226465
SRR5602345,0.027735304,0.97226465
S100,0.58412886,0.41587114
S260,0.2742635,0.7257365
C012,0.027735304,0.97226465
SRR5602333,0.027735723,0.9722643
S030,0.027735304,0.97226465
SRR5602182,0.57442576,0.42557427
S020,0.584447,0.4155529
C021,0.51357526,0.48642468
S220,0.027735304,0.97226465
S110,0.027735304,0.97226465
SRR5602284,0.02773785,0.97226214
S240,0.5755678,0.4244322
S200,0.5739923,0.42600766
SRR5602168,0.028180072,0.97181994
S080,0.027735304,0.97226465
S010,0.57384497,0.42615503
S280,0.027735304,0.97226465
C042,0.027735304,0.97226465
S180,0.57440984,0.42559022
SRR5602290,0.027735304,0.97226465
SRR5602349,0.5364817,0.46351832
SRR5602210,0.027735304,0.97226465
S210,0.5098367,0.49016333
S150,0.56012195,0.43987805
SRR5602193,0.58015704,0.4198429
SRR5602125,0.027735304,0.97226465
C010,0.57614946,0.42385057
SRR5602260,0.027735304,0.97226465
S050,0.5709976,0.42900234
C052,0.573985,0.42601502
SRR5602016,0.027735304,0.97226465
SRR5602010,0.57442427,0.42557573
SRR5602324,0.027735304,0.97226465
S290,0.027735304,0.97226465
SRR3679980,0.027735304,0.97226465
SRR5602256,0.51976013,0.48023984
S120,0.027735304,0.97226465
SRR5602160,0.027735304,0.97226465
S130,0.5760123,0.42398766
SRR5602119,0.028271353,0.9717287
SRR5602155,0.5742956,0.42570442
SRR5602335,0.027735304,0.97226465
SRR5602138,0.027961126,0.97203887
SRR3679961,0.027735304,0.97226465
SRR5602234,0.027920675,0.97207934
S320,0.56943536,0.43056464
SRR5602179,0.027735304,0.97226465
SRR5602092,0.027735323,0.97226465
SRR5602351,0.57441497,0.425585
