SampleID,Env,Contribution
SRR5602134,Elder,0.08630857
S330,Elder,0.47433442
SRR5602159,Elder,0.11533712
SRR5602145,Elder,0.027735304
SRR5602220,Elder,0.027735304
SRR5602345,Elder,0.027735304
S100,Elder,0.58412886
S260,Elder,0.2742635
C012,Elder,0.027735304
SRR5602333,Elder,0.027735723
S030,Elder,0.027735304
SRR5602182,Elder,0.57442576
S020,Elder,0.584447
C021,Elder,0.51357526
S220,Elder,0.027735304
S110,Elder,0.027735304
SRR5602284,Elder,0.02773785
S240,Elder,0.5755678
S200,Elder,0.5739923
SRR5602168,Elder,0.028180072
S080,Elder,0.027735304
S010,Elder,0.57384497
S280,Elder,0.027735304
C042,Elder,0.027735304
S180,Elder,0.57440984
SRR5602290,Elder,0.027735304
SRR5602349,Elder,0.5364817
SRR5602210,Elder,0.027735304
S210,Elder,0.5098367
S150,Elder,0.56012195
SRR5602193,Elder,0.58015704
SRR5602125,Elder,0.027735304
C010,Elder,0.57614946
SRR5602260,Elder,0.027735304
S050,Elder,0.5709976
C052,Elder,0.573985
SRR5602016,Elder,0.027735304
SRR5602010,Elder,0.57442427
SRR5602324,Elder,0.027735304
S290,Elder,0.027735304
SRR3679980,Elder,0.027735304
SRR5602256,Elder,0.51976013
S120,Elder,0.027735304
SRR5602160,Elder,0.027735304
S130,Elder,0.5760123
SRR5602119,Elder,0.028271353
SRR5602155,Elder,0.5742956
SRR5602335,Elder,0.027735304
SRR5602138,Elder,0.027961126
SRR3679961,Elder,0.027735304
SRR5602234,Elder,0.027920675
S320,Elder,0.56943536
SRR5602179,Elder,0.027735304
SRR5602092,Elder,0.027735323
SRR5602351,Elder,0.57441497
SRR5602134,Young,0.9136914
S330,Young,0.5256656
SRR5602159,Young,0.88466287
SRR5602145,Young,0.97226465
SRR5602220,Young,0.97226465
SRR5602345,Young,0.97226465
S100,Young,0.41587114
S260,Young,0.7257365
C012,Young,0.97226465
SRR5602333,Young,0.9722643
S030,Young,0.97226465
SRR5602182,Young,0.42557427
S020,Young,0.4155529
C021,Young,0.48642468
S220,Young,0.97226465
S110,Young,0.97226465
SRR5602284,Young,0.97226214
S240,Young,0.4244322
S200,Young,0.42600766
SRR5602168,Young,0.97181994
S080,Young,0.97226465
S010,Young,0.42615503
S280,Young,0.97226465
C042,Young,0.97226465
S180,Young,0.42559022
SRR5602290,Young,0.97226465
SRR5602349,Young,0.46351832
SRR5602210,Young,0.97226465
S210,Young,0.49016333
S150,Young,0.43987805
SRR5602193,Young,0.4198429
SRR5602125,Young,0.97226465
C010,Young,0.42385057
SRR5602260,Young,0.97226465
S050,Young,0.42900234
C052,Young,0.42601502
SRR5602016,Young,0.97226465
SRR5602010,Young,0.42557573
SRR5602324,Young,0.97226465
S290,Young,0.97226465
SRR3679980,Young,0.97226465
SRR5602256,Young,0.48023984
S120,Young,0.97226465
SRR5602160,Young,0.97226465
S130,Young,0.42398766
SRR5602119,Young,0.9717287
SRR5602155,Young,0.42570442
SRR5602335,Young,0.97226465
SRR5602138,Young,0.97203887
SRR3679961,Young,0.97226465
SRR5602234,Young,0.97207934
S320,Young,0.43056464
SRR5602179,Young,0.97226465
SRR5602092,Young,0.97226465
SRR5602351,Young,0.425585
