,root:Elder,root:Young
SRR5602134,0.1000224,0.89997756
S330,0.11276376,0.8872363
SRR5602159,0.22287408,0.7771259
SRR5602145,0.1000224,0.89997756
SRR5602220,0.031417347,0.9685827
SRR5602345,0.5915667,0.40843338
S100,0.38129607,0.6187039
S260,0.12169069,0.87830937
C012,0.031417347,0.9685827
SRR5602333,0.5915649,0.4084351
S030,0.031417347,0.9685827
SRR5602182,0.40778998,0.59221
S020,0.57720685,0.42279318
C021,0.5915667,0.40843338
S220,0.031417347,0.9685827
S110,0.1000224,0.89997756
SRR5602284,0.1000224,0.89997756
S240,0.07046689,0.9295331
S200,0.14641434,0.85358566
SRR5602168,0.042988714,0.9570113
S080,0.5915667,0.40843338
S010,0.10015202,0.899848
S280,0.031417347,0.9685827
C042,0.031417347,0.9685827
S180,0.12876193,0.8712381
SRR5602290,0.1000224,0.89997756
SRR5602349,0.18766917,0.8123309
SRR5602210,0.5915667,0.40843338
S210,0.031900622,0.96809936
S150,0.5915667,0.40843338
SRR5602193,0.2733259,0.7266741
SRR5602125,0.031417347,0.9685827
C010,0.53418356,0.4658164
SRR5602260,0.031417347,0.9685827
S050,0.06205416,0.93794584
C052,0.10243478,0.89756525
SRR5602016,0.1000224,0.89997756
SRR5602010,0.067087196,0.93291277
SRR5602324,0.41250408,0.587496
S290,0.1000224,0.89997756
SRR3679980,0.5915667,0.40843338
SRR5602256,0.41073063,0.5892694
S120,0.031417347,0.9685827
SRR5602160,0.5915667,0.40843338
S130,0.5765737,0.42342627
SRR5602119,0.18173961,0.8182604
SRR5602155,0.58318853,0.41681156
SRR5602335,0.1000224,0.89997756
SRR5602138,0.1000224,0.89997756
SRR3679961,0.5915667,0.40843338
SRR5602234,0.10172009,0.89827996
S320,0.5910915,0.40890852
SRR5602179,0.5915667,0.40843338
SRR5602092,0.59152246,0.40847754
SRR5602351,0.10452817,0.8954718
