SampleID,Env,Contribution
SRR5602134,Elder,0.1000224
S330,Elder,0.11276376
SRR5602159,Elder,0.22287408
SRR5602145,Elder,0.1000224
SRR5602220,Elder,0.031417347
SRR5602345,Elder,0.5915667
S100,Elder,0.38129607
S260,Elder,0.12169069
C012,Elder,0.031417347
SRR5602333,Elder,0.5915649
S030,Elder,0.031417347
SRR5602182,Elder,0.40778998
S020,Elder,0.57720685
C021,Elder,0.5915667
S220,Elder,0.031417347
S110,Elder,0.1000224
SRR5602284,Elder,0.1000224
S240,Elder,0.07046689
S200,Elder,0.14641434
SRR5602168,Elder,0.042988714
S080,Elder,0.5915667
S010,Elder,0.10015202
S280,Elder,0.031417347
C042,Elder,0.031417347
S180,Elder,0.12876193
SRR5602290,Elder,0.1000224
SRR5602349,Elder,0.18766917
SRR5602210,Elder,0.5915667
S210,Elder,0.031900622
S150,Elder,0.5915667
SRR5602193,Elder,0.2733259
SRR5602125,Elder,0.031417347
C010,Elder,0.53418356
SRR5602260,Elder,0.031417347
S050,Elder,0.06205416
C052,Elder,0.10243478
SRR5602016,Elder,0.1000224
SRR5602010,Elder,0.067087196
SRR5602324,Elder,0.41250408
S290,Elder,0.1000224
SRR3679980,Elder,0.5915667
SRR5602256,Elder,0.41073063
S120,Elder,0.031417347
SRR5602160,Elder,0.5915667
S130,Elder,0.5765737
SRR5602119,Elder,0.18173961
SRR5602155,Elder,0.58318853
SRR5602335,Elder,0.1000224
SRR5602138,Elder,0.1000224
SRR3679961,Elder,0.5915667
SRR5602234,Elder,0.10172009
S320,Elder,0.5910915
SRR5602179,Elder,0.5915667
SRR5602092,Elder,0.59152246
SRR5602351,Elder,0.10452817
SRR5602134,Young,0.89997756
S330,Young,0.8872363
SRR5602159,Young,0.7771259
SRR5602145,Young,0.89997756
SRR5602220,Young,0.9685827
SRR5602345,Young,0.40843338
S100,Young,0.6187039
S260,Young,0.87830937
C012,Young,0.9685827
SRR5602333,Young,0.4084351
S030,Young,0.9685827
SRR5602182,Young,0.59221
S020,Young,0.42279318
C021,Young,0.40843338
S220,Young,0.9685827
S110,Young,0.89997756
SRR5602284,Young,0.89997756
S240,Young,0.9295331
S200,Young,0.85358566
SRR5602168,Young,0.9570113
S080,Young,0.40843338
S010,Young,0.899848
S280,Young,0.9685827
C042,Young,0.9685827
S180,Young,0.8712381
SRR5602290,Young,0.89997756
SRR5602349,Young,0.8123309
SRR5602210,Young,0.40843338
S210,Young,0.96809936
S150,Young,0.40843338
SRR5602193,Young,0.7266741
SRR5602125,Young,0.9685827
C010,Young,0.4658164
SRR5602260,Young,0.9685827
S050,Young,0.93794584
C052,Young,0.89756525
SRR5602016,Young,0.89997756
SRR5602010,Young,0.93291277
SRR5602324,Young,0.587496
S290,Young,0.89997756
SRR3679980,Young,0.40843338
SRR5602256,Young,0.5892694
S120,Young,0.9685827
SRR5602160,Young,0.40843338
S130,Young,0.42342627
SRR5602119,Young,0.8182604
SRR5602155,Young,0.41681156
SRR5602335,Young,0.89997756
SRR5602138,Young,0.89997756
SRR3679961,Young,0.40843338
SRR5602234,Young,0.89827996
S320,Young,0.40890852
SRR5602179,Young,0.40843338
SRR5602092,Young,0.40847754
SRR5602351,Young,0.8954718
