,root:Elder,root:Young
C048_cp0,0.54104114,0.4589589
Y4_cp1,0.5673699,0.43263015
K304_cp1,0.566076,0.43392402
C054_cp0,0.5570757,0.44292432
Y4_cp0,0.5673699,0.43263015
K309,0.028346576,0.97165346
C018_cp0,0.5614006,0.43859938
K108,0.5611407,0.43885934
K301_cp1,0.55679554,0.44320443
C007_cp0,0.5666646,0.4333354
Y7_cp1,0.56770927,0.43229082
C002,0.45186096,0.548139
C054,0.5570757,0.44292432
Y14,0.52320457,0.47679538
Y2,0.5658762,0.4341238
C018_cp1,0.5614006,0.43859938
K306_cp0,0.5679186,0.4320814
Y8_cp1,0.5047456,0.4952544
K108_cp1,0.5611407,0.43885934
Y15_cp1,0.56757843,0.43242154
K125_cp1,0.5184919,0.48150805
Y6_cp1,0.56713223,0.43286777
K301_cp0,0.55679554,0.44320443
C048,0.54104114,0.4589589
K105_cp1,0.56783766,0.43216237
K306_cp1,0.5679186,0.4320814
K106,0.045028362,0.9549716
C003_cp0,0.56769764,0.4323024
