SampleID,Env,Contribution
C048_cp0,Elder,0.54104114
Y4_cp1,Elder,0.5673699
K304_cp1,Elder,0.566076
C054_cp0,Elder,0.5570757
Y4_cp0,Elder,0.5673699
K309,Elder,0.028346576
C018_cp0,Elder,0.5614006
K108,Elder,0.5611407
K301_cp1,Elder,0.55679554
C007_cp0,Elder,0.5666646
Y7_cp1,Elder,0.56770927
C002,Elder,0.45186096
C054,Elder,0.5570757
Y14,Elder,0.52320457
Y2,Elder,0.5658762
C018_cp1,Elder,0.5614006
K306_cp0,Elder,0.5679186
Y8_cp1,Elder,0.5047456
K108_cp1,Elder,0.5611407
Y15_cp1,Elder,0.56757843
K125_cp1,Elder,0.5184919
Y6_cp1,Elder,0.56713223
K301_cp0,Elder,0.55679554
C048,Elder,0.54104114
K105_cp1,Elder,0.56783766
K306_cp1,Elder,0.5679186
K106,Elder,0.045028362
C003_cp0,Elder,0.56769764
C048_cp0,Young,0.4589589
Y4_cp1,Young,0.43263015
K304_cp1,Young,0.43392402
C054_cp0,Young,0.44292432
Y4_cp0,Young,0.43263015
K309,Young,0.97165346
C018_cp0,Young,0.43859938
K108,Young,0.43885934
K301_cp1,Young,0.44320443
C007_cp0,Young,0.4333354
Y7_cp1,Young,0.43229082
C002,Young,0.548139
C054,Young,0.44292432
Y14,Young,0.47679538
Y2,Young,0.4341238
C018_cp1,Young,0.43859938
K306_cp0,Young,0.4320814
Y8_cp1,Young,0.4952544
K108_cp1,Young,0.43885934
Y15_cp1,Young,0.43242154
K125_cp1,Young,0.48150805
Y6_cp1,Young,0.43286777
K301_cp0,Young,0.44320443
C048,Young,0.4589589
K105_cp1,Young,0.43216237
K306_cp1,Young,0.4320814
K106,Young,0.9549716
C003_cp0,Young,0.4323024
