,root:Elder,root:Young
K106_cp0,0.52237374,0.4776262
C054,0.10469243,0.8953076
K301_cp0,0.4380356,0.5619644
K124,0.09922844,0.90077156
C024,0.5681891,0.4318109
K105_cp1,0.5942758,0.4057242
C011_cp1,0.515151,0.484849
Y1_cp1,0.46898952,0.5310105
K119_cp0,0.30720928,0.69279075
K100_cp1,0.2313436,0.76865643
Y2_cp0,0.53620696,0.4637931
K113_cp1,0.5746049,0.42539507
K125_cp1,0.27487966,0.7251203
C011,0.515151,0.484849
K301,0.4380356,0.5619644
K309,0.10231141,0.89768857
C054_cp0,0.10469243,0.8953076
K306_cp1,0.15761794,0.842382
C002_cp0,0.10000806,0.8999919
Y15,0.44876274,0.5512373
Y4_cp0,0.118867524,0.88113254
Y13,0.17343159,0.8265684
Y14,0.58823717,0.41176283
C018_cp1,0.5353754,0.46462464
C048_cp0,0.5914771,0.4085229
Y14_cp1,0.58823717,0.41176283
Y7_cp1,0.44939122,0.55060875
C003,0.5031975,0.49680245
