,root:Elder,root:Young
C048_cp0,0.13592146,0.8640786
Y4_cp1,0.14314435,0.85685563
K304_cp1,0.1677492,0.83225083
C054_cp0,0.6824726,0.31752735
Y4_cp0,0.14314435,0.85685563
K309,0.43666747,0.56333256
C018_cp0,0.6936772,0.30632278
K108,0.70875233,0.29124776
K301_cp1,0.661362,0.33863804
C007_cp0,0.7214091,0.27859092
Y7_cp1,0.20361066,0.79638934
C002,0.13575287,0.8642471
C054,0.6824726,0.31752735
Y14,0.72054636,0.27945364
Y2,0.1468888,0.85311115
C018_cp1,0.6936772,0.30632278
K306_cp0,0.13647172,0.86352825
Y8_cp1,0.68177485,0.3182252
K108_cp1,0.70875233,0.29124776
Y15_cp1,0.7047776,0.2952224
K125_cp1,0.72087425,0.2791258
Y6_cp1,0.2980023,0.7019977
K301_cp0,0.661362,0.33863804
C048,0.13592146,0.8640786
K105_cp1,0.7190238,0.28097618
K306_cp1,0.13647172,0.86352825
K106,0.52484125,0.47515875
C003_cp0,0.6959406,0.30405942
