SampleID,Env,Contribution
C018,Young,0.48024222
C054,Young,0.47668394
K316,Young,0.076342106
C007,Young,0.47656578
K105,Young,0.47668278
K113,Young,0.18752512
C003,Young,0.22780302
K108,Young,0.2450068
C002,Young,0.076342106
K100,Young,0.23735613
K301,Young,0.48601723
C018,Unknown,0.51975775
C054,Unknown,0.523316
K316,Unknown,0.9236579
C007,Unknown,0.5234342
K105,Unknown,0.5233172
K113,Unknown,0.81247485
C003,Unknown,0.772197
K108,Unknown,0.7549932
C002,Unknown,0.9236579
K100,Unknown,0.7626439
K301,Unknown,0.5139828
