SampleID,Env
SRR5602337,root:Elder
SRR5602341,root:Elder
SRR5602261,root:Elder
SRR3679970,root:Elder
SRR5602017,root:Elder
SRR5602057,root:Elder
SRR5601931,root:Elder
SRR5602293,root:Elder
SRR5602133,root:Elder
SRR3679976,root:Elder
SRR5602299,root:Elder
SRR3680067,root:Elder
SRR5602317,root:Elder
SRR5602176,root:Elder
SRR5601989,root:Elder
SRR3679983,root:Elder
SRR5602184,root:Elder
SRR5602152,root:Elder
SRR5602174,root:Elder
SRR5602287,root:Elder
SRR5602118,root:Elder
SRR3679931,root:Elder
SRR5601983,root:Elder
SRR5602034,root:Elder
SRR5602147,root:Elder
SRR5602312,root:Elder
SRR5602140,root:Elder
SRR3679979,root:Elder
SRR5602115,root:Elder
SRR5602338,root:Elder
SRR5602280,root:Elder
SRR5602148,root:Elder
SRR5602036,root:Elder
SRR3680070,root:Elder
SRR5602170,root:Elder
SRR3679974,root:Elder
SRR5602230,root:Elder
SRR5802183,root:Elder
SRR5602131,root:Elder
SRR5602223,root:Elder
SRR3679968,root:Elder
SRR5602263,root:Elder
SRR3680058,root:Elder
SRR3679988,root:Elder
SRR5602100,root:Elder
SRR3679985,root:Elder
SRR3680043,root:Elder
SRR3679977,root:Elder
SRR5602169,root:Elder
SRR3679963,root:Elder
SRR5601995,root:Elder
SRR5602218,root:Elder
SRR5602285,root:Elder
SRR5602311,root:Elder
SRR3680079,root:Elder
SRR5601981,root:Elder
SRR5602063,root:Elder
SRR5602183,root:Elder
SRR3679971,root:Elder
SRR5602098,root:Elder
SRR3680034,root:Elder
SRR5601967,root:Elder
SRR3679967,root:Elder
SRR5602114,root:Elder
SRR5610014,root:Elder
SRR3680017,root:Elder
SRR5602207,root:Elder
SRR5602135,root:Elder
SRR5602271,root:Elder
SRR3680063,root:Elder
SRR5602166,root:Elder
SRR5602252,root:Elder
SRR5602194,root:Elder
SRR5602187,root:Elder
SRR3679991,root:Elder
SRR5602094,root:Elder
SRR5602267,root:Elder
SRR5602143,root:Elder
SRR5602076,root:Elder
SRR5602302,root:Elder
SRR5602253,root:Elder
SRR5602323,root:Elder
SRR5602195,root:Elder
SRR5602026,root:Elder
SRR5602340,root:Elder
SRR5602158,root:Elder
SRR5601994,root:Elder
SRR3680011,root:Elder
SRR5602014,root:Elder
SRR3680074,root:Elder
SRR5602012,root:Elder
SRR3680065,root:Elder
SRR5602022,root:Elder
SRR5602099,root:Elder
SRR5602191,root:Elder
SRR5602320,root:Elder
SRR5602292,root:Elder
SRR5602226,root:Elder
SRR5602165,root:Elder
SRR5602097,root:Elder
SRR3680007,root:Elder
SRR5602217,root:Elder
SRR3680042,root:Elder
SRR3680044,root:Elder
SRR5602095,root:Elder
SRR5602011,root:Elder
SRR5601941,root:Elder
SRR5602203,root:Elder
SRR5610011,root:Elder
SRR5602270,root:Elder
SRR5602172,root:Elder
SRR3679946,root:Elder
SRR5602332,root:Elder
SRR3680039,root:Elder
SRR5602058,root:Elder
SRR5602116,root:Elder
SRR5602023,root:Elder
SRR5602286,root:Elder
SRR5602018,root:Elder
SRR5602214,root:Elder
SRR5601982,root:Elder
SRR5602339,root:Elder
SRR5602258,root:Elder
SRR3680046,root:Elder
SRR5601959,root:Elder
SRR5602315,root:Elder
SRR5601990,root:Elder
SRR5601986,root:Elder
SRR5601924,root:Elder
SRR5602031,root:Elder
SRR5601942,root:Elder
SRR5602177,root:Elder
SRR3679994,root:Elder
SRR3679973,root:Elder
SRR5602198,root:Elder
SRR3680085,root:Elder
SRR5602030,root:Elder
SRR5601933,root:Elder
SRR3679930,root:Elder
SRR5602233,root:Elder
SRR5602060,root:Elder
SRR5601925,root:Elder
SRR5602353,root:Elder
SRR5602321,root:Elder
SRR3680049,root:Elder
SRR5602180,root:Elder
SRR5601923,root:Elder
SRR3680064,root:Elder
SRR5602305,root:Elder
SRR3680031,root:Elder
SRR5602262,root:Elder
SRR5602215,root:Elder
SRR5602189,root:Elder
SRR5602246,root:Elder
SRR3679992,root:Elder
SRR5602167,root:Elder
SRR5601929,root:Elder
SRR3679945,root:Elder
SRR3680068,root:Elder
SRR5602275,root:Elder
SRR5609969,root:Elder
SRR5602123,root:Elder
SRR5602225,root:Elder
SRR5602008,root:Elder
SRR5602142,root:Elder
SRR5602354,root:Elder
SRR5602314,root:Elder
SRR3680028,root:Elder
SRR5602196,root:Elder
SRR5610085,root:Elder
SRR5602278,root:Elder
SRR5602347,root:Elder
SRR5601965,root:Elder
SRR3680002,root:Elder
SRR5602318,root:Elder
SRR5602130,root:Elder
SRR3679987,root:Elder
SRR5609970,root:Elder
SRR5602232,root:Elder
SRR5602117,root:Elder
SRR5602124,root:Elder
SRR5602178,root:Elder
SRR5610012,root:Elder
SRR5602093,root:Elder
SRR5602005,root:Elder
SRR5602197,root:Elder
SRR5602213,root:Elder
SRR3679989,root:Elder
SRR5601988,root:Elder
SRR3680045,root:Elder
SRR5602247,root:Elder
SRR5602038,root:Elder
SRR5601996,root:Elder
SRR5602185,root:Elder
SRR5602027,root:Elder
SRR5602175,root:Elder
SRR3679969,root:Elder
SRR3680024,root:Elder
SRR3680083,root:Elder
SRR3679936,root:Elder
SRR5580440,root:Young
SRR5610023,root:Young
SRR5602089,root:Young
SRR5610090,root:Young
SRR5802260,root:Young
SRR5601916,root:Young
SRR5609953,root:Young
SRR5610066,root:Young
SRR5802307,root:Young
SRR5802293,root:Young
SRR5802236,root:Young
SRR5609990,root:Young
SRR5580427,root:Young
SRR5802348,root:Young
SRR5602091,root:Young
SRR5802369,root:Young
SRR5802374,root:Young
SRR5602105,root:Young
SRR5610125,root:Young
SRR5802387,root:Young
SRR5610095,root:Young
SRR5602082,root:Young
SRR5609977,root:Young
SRR5610102,root:Young
SRR5802253,root:Young
SRR5609996,root:Young
SRR5580432,root:Young
SRR5610045,root:Young
SRR5610172,root:Young
SRR5610028,root:Young
SRR5580541,root:Young
SRR5802224,root:Young
SRR5610111,root:Young
SRR5610126,root:Young
SRR5602090,root:Young
SRR5580433,root:Young
SRR5610091,root:Young
SRR5580645,root:Young
SRR5610166,root:Young
SRR5802304,root:Young
SRR5602048,root:Young
SRR5580428,root:Young
SRR3679948,root:Young
SRR5610027,root:Young
SRR5802243,root:Young
SRR5610164,root:Young
SRR5602033,root:Young
SRR5802357,root:Young
SRR5580464,root:Young
SRR5610138,root:Young
SRR5802286,root:Young
SRR5609963,root:Young
SRR5802302,root:Young
SRR5609948,root:Young
SRR5609973,root:Young
SRR5580502,root:Young
SRR5602002,root:Young
SRR5602242,root:Young
SRR5602235,root:Young
SRR5802223,root:Young
SRR5802242,root:Young
SRR5610080,root:Young
SRR5602111,root:Young
SRR5609976,root:Young
SRR5601944,root:Young
SRR5580538,root:Young
SRR5610069,root:Young
SRR5802273,root:Young
SRR5610087,root:Young
SRR5610094,root:Young
SRR5602206,root:Young
SRR5610133,root:Young
SRR5609956,root:Young
SRR5580647,root:Young
SRR5610063,root:Young
SRR5802376,root:Young
SRR5610089,root:Young
SRR5610113,root:Young
SRR5802215,root:Young
SRR5580470,root:Young
SRR5610129,root:Young
SRR5580583,root:Young
SRR5610064,root:Young
SRR5580619,root:Young
SRR5610158,root:Young
SRR5602113,root:Young
SRR5802255,root:Young
SRR5610025,root:Young
SRR5602238,root:Young
SRR5610006,root:Young
SRR5802296,root:Young
SRR5580465,root:Young
SRR5802225,root:Young
SRR5580616,root:Young
SRR5802185,root:Young
SRR5802330,root:Young
SRR5610005,root:Young
SRR5580651,root:Young
SRR5610161,root:Young
SRR5802313,root:Young
SRR5609952,root:Young
SRR3679944,root:Young
SRR5802384,root:Young
SRR5580438,root:Young
SRR5580503,root:Young
SRR3680005,root:Young
SRR5802276,root:Young
SRR5802324,root:Young
SRR5802326,root:Young
SRR5610119,root:Young
SRR5609983,root:Young
SRR5610007,root:Young
SRR5802301,root:Young
SRR5610019,root:Young
SRR5802267,root:Young
SRR5580544,root:Young
SRR5610067,root:Young
SRR5610055,root:Young
SRR5610044,root:Young
SRR5802263,root:Young
SRR5802377,root:Young
SRR5610075,root:Young
SRR5802281,root:Young
SRR5609954,root:Young
SRR3680018,root:Young
SRR5802248,root:Young
SRR5610081,root:Young
SRR5609957,root:Young
SRR5802219,root:Young
SRR5610123,root:Young
SRR5602046,root:Young
SRR5802266,root:Young
SRR5610167,root:Young
SRR5802402,root:Young
SRR5802234,root:Young
SRR5802351,root:Young
SRR5580471,root:Young
SRR3680008,root:Young
SRR5610030,root:Young
SRR5802231,root:Young
SRR5602051,root:Young
SRR5580500,root:Young
SRR5802299,root:Young
SRR5802257,root:Young
SRR5602042,root:Young
SRR3679938,root:Young
SRR5601947,root:Young
SRR5610169,root:Young
SRR3679937,root:Young
SRR5802251,root:Young
SRR5609962,root:Young
SRR5609978,root:Young
SRR5601945,root:Young
SRR5802230,root:Young
SRR5602070,root:Young
SRR5610109,root:Young
SRR5802279,root:Young
SRR5601948,root:Young
SRR5610146,root:Young
SRR5610072,root:Young
SRR5802289,root:Young
SRR5802192,root:Young
SRR5610084,root:Young
SRR5802264,root:Young
SRR5609960,root:Young
SRR5802359,root:Young
SRR5802272,root:Young
SRR5610074,root:Young
SRR5601997,root:Young
SRR5580413,root:Young
SRR5802366,root:Young
SRR5610132,root:Young
SRR5601909,root:Young
SRR5609967,root:Young
SRR5580435,root:Young
SRR5602104,root:Young
SRR5580461,root:Young
SRR5610049,root:Young
SRR5609949,root:Young
SRR5610033,root:Young
SRR5610052,root:Young
SRR5802239,root:Young
SRR5601917,root:Young
SRR5802312,root:Young
SRR5602083,root:Young
SRR5610163,root:Young
SRR5802191,root:Young
SRR5802204,root:Young
SRR5609985,root:Young
SRR5601998,root:Young
SRR5601949,root:Young
SRR5802306,root:Young
SRR5802400,root:Young
SRR5610124,root:Young
SRR5610031,root:Young
SRR5802237,root:Young
SRR5602308,root:Young
SRR5610171,root:Young
SRR5610034,root:Young
SRR5802338,root:Young
