SampleID,Env
SRR5609970,root:Elder
SRR5602177,root:Elder
SRR3680093,root:Elder
SRR5602022,root:Elder
SRR5602330,root:Elder
C024,root:Elder
SRR5602094,root:Elder
SRR5602245,root:Elder
SRR3679936,root:Elder
SRR5602115,root:Elder
SRR5602191,root:Elder
SRR5601981,root:Elder
SRR5601967,root:Elder
SRR5602353,root:Elder
SRR5602060,root:Elder
SRR3680016,root:Elder
SRR5602329,root:Elder
SRR3680028,root:Elder
SRR3679991,root:Elder
SRR5602079,root:Elder
SRR3679976,root:Elder
SRR5602025,root:Elder
SRR3679940,root:Elder
SRR5602181,root:Elder
SRR5602023,root:Elder
K304,root:Elder
SRR3680049,root:Elder
SRR3679979,root:Elder
SRR3680002,root:Elder
SRR5602248,root:Elder
SRR5602135,root:Elder
SRR5602154,root:Elder
SRR5602096,root:Elder
SRR5602132,root:Elder
SRR5602323,root:Elder
SRR5602008,root:Elder
SRR5602263,root:Elder
K309,root:Elder
SRR3679946,root:Elder
K119,root:Elder
SRR5602165,root:Elder
SRR5601926,root:Elder
K105,root:Elder
SRR5602170,root:Elder
SRR5602354,root:Elder
SRR5602249,root:Elder
SRR3680086,root:Elder
K113,root:Elder
SRR5602101,root:Elder
SRR5602166,root:Elder
SRR5602027,root:Elder
SRR5602231,root:Elder
SRR3680084,root:Elder
SRR5602151,root:Elder
SRR5602217,root:Elder
SRR5602285,root:Elder
SRR5602133,root:Elder
SRR3680035,root:Elder
SRR5602252,root:Elder
SRR5602343,root:Elder
SRR5602255,root:Elder
SRR5602336,root:Elder
SRR5602139,root:Elder
SRR5602328,root:Elder
SRR5602299,root:Elder
SRR5602153,root:Elder
SRR5602148,root:Elder
SRR5601932,root:Elder
SRR5602204,root:Elder
SRR5602036,root:Elder
SRR5610085,root:Elder
SRR5602198,root:Elder
SRR5602246,root:Elder
SRR5601982,root:Elder
SRR5601923,root:Elder
SRR5602340,root:Elder
SRR5602280,root:Elder
SRR3680067,root:Elder
SRR3680045,root:Elder
