,root:Young,Unknown
SRR5602155,0.42541072,0.57458925
SRR5602182,0.39040834,0.60959166
SRR5602179,0.5394043,0.46059573
SRR3679961,0.5249537,0.47504628
SRR5602145,0.5379763,0.46202368
SRR5602256,0.48617086,0.5138291
SRR5602193,0.5379313,0.46206868
SRR5602260,0.51125157,0.48874843
SRR5602335,0.5393242,0.46067578
SRR5602160,0.46204892,0.5379511
SRR5602351,0.4129501,0.5870499
SRR5602159,0.53939736,0.46060264
SRR5602234,0.53917927,0.46082073
SRR5602125,0.4907179,0.5092821
SRR5602349,0.4480288,0.5519712
SRR5602324,0.53940403,0.46059597
SRR5602220,0.46621588,0.53378415
SRR5602138,0.53940356,0.46059644
SRR5602092,0.5393809,0.4606191
SRR3679980,0.37045503,0.629545
SRR5602345,0.4475417,0.5524583
SRR5602119,0.53939563,0.46060437
SRR5602010,0.4189337,0.5810663
SRR5602210,0.4705402,0.52945983
SRR5602016,0.5386059,0.46139407
SRR5602168,0.4991405,0.5008595
SRR5602284,0.40033606,0.599664
SRR5602134,0.4282335,0.5717665
SRR5602290,0.5394043,0.46059573
SRR5602333,0.4991405,0.5008595
