SampleID,Env,Contribution
S320,Elder,0.030182792
S290,Elder,0.062217563
SRR5602345,Elder,0.53139234
S330,Elder,0.5616111
SRR5602125,Elder,0.030248282
SRR5602220,Elder,0.5445214
S050,Elder,0.048306756
S080,Elder,0.028620584
SRR5602155,Elder,0.55980396
SRR5602193,Elder,0.50433576
SRR5602335,Elder,0.5183272
SRR5602119,Elder,0.4856696
S150,Elder,0.028793572
SRR5602179,Elder,0.5037849
SRR3679961,Elder,0.54425764
SRR5602134,Elder,0.55804384
S130,Elder,0.041950837
S200,Elder,0.30795464
S210,Elder,0.028863708
SRR5602290,Elder,0.028620584
SRR5602138,Elder,0.45555526
C052,Elder,0.5703091
C012,Elder,0.06247097
SRR5602168,Elder,0.034770783
SRR5602159,Elder,0.47712415
SRR5602160,Elder,0.53834456
SRR5602010,Elder,0.57002646
C010,Elder,0.038413875
S240,Elder,0.029248388
S030,Elder,0.028620584
SRR5602324,Elder,0.39762348
SRR3679980,Elder,0.028620584
SRR5602349,Elder,0.47510916
S110,Elder,0.10934777
SRR5602182,Elder,0.56822556
S100,Elder,0.061368465
C042,Elder,0.043961126
SRR5602351,Elder,0.57034194
SRR5602333,Elder,0.05412508
S220,Elder,0.028620584
SRR5602092,Elder,0.49185935
S120,Elder,0.5240786
SRR5602260,Elder,0.2916157
SRR5602284,Elder,0.5704419
C021,Elder,0.06334329
SRR5602256,Elder,0.47435623
SRR5602234,Elder,0.44623277
SRR5602210,Elder,0.53313226
S010,Elder,0.043706063
S280,Elder,0.028620584
S260,Elder,0.08271825
S020,Elder,0.40877435
SRR5602016,Elder,0.5380967
S180,Elder,0.56904036
SRR5602145,Elder,0.33539551
S320,Young,0.9698173
S290,Young,0.9377824
SRR5602345,Young,0.46860763
S330,Young,0.43838888
SRR5602125,Young,0.96975166
SRR5602220,Young,0.4554786
S050,Young,0.9516933
S080,Young,0.9713794
SRR5602155,Young,0.44019604
SRR5602193,Young,0.49566424
SRR5602335,Young,0.48167285
SRR5602119,Young,0.51433045
S150,Young,0.9712064
SRR5602179,Young,0.4962151
SRR3679961,Young,0.4557424
SRR5602134,Young,0.44195616
S130,Young,0.95804924
S200,Young,0.6920454
S210,Young,0.9711363
SRR5602290,Young,0.9713794
SRR5602138,Young,0.54444474
C052,Young,0.42969093
C012,Young,0.93752897
SRR5602168,Young,0.9652292
SRR5602159,Young,0.52287585
SRR5602160,Young,0.46165544
SRR5602010,Young,0.42997354
C010,Young,0.9615861
S240,Young,0.9707516
S030,Young,0.9713794
SRR5602324,Young,0.60237646
SRR3679980,Young,0.9713794
SRR5602349,Young,0.5248909
S110,Young,0.89065224
SRR5602182,Young,0.4317744
S100,Young,0.93863153
C042,Young,0.95603883
SRR5602351,Young,0.429658
SRR5602333,Young,0.9458749
S220,Young,0.9713794
SRR5602092,Young,0.5081406
S120,Young,0.47592136
SRR5602260,Young,0.7083843
SRR5602284,Young,0.42955813
C021,Young,0.9366568
SRR5602256,Young,0.5256438
SRR5602234,Young,0.55376726
SRR5602210,Young,0.4668677
S010,Young,0.9562939
S280,Young,0.9713794
S260,Young,0.9172818
S020,Young,0.5912256
SRR5602016,Young,0.4619033
S180,Young,0.43095964
SRR5602145,Young,0.6646044
