,root:Young,Unknown
SRR5602155,0.49746698,0.502533
SRR5602182,0.49746698,0.502533
SRR5602179,0.49746698,0.502533
SRR3679961,0.49746698,0.502533
SRR5602145,0.49746698,0.502533
SRR5602256,0.49746698,0.502533
SRR5602193,0.49746698,0.502533
SRR5602260,0.49746698,0.502533
SRR5602335,0.45755652,0.5424435
SRR5602160,0.49746698,0.502533
SRR5602351,0.49746698,0.502533
SRR5602159,0.49746698,0.502533
SRR5602234,0.47077218,0.52922785
SRR5602125,0.46202135,0.53797865
SRR5602349,0.49746698,0.502533
SRR5602324,0.49746698,0.502533
SRR5602220,0.49746698,0.502533
SRR5602138,0.49746698,0.502533
SRR5602092,0.49746698,0.502533
SRR3679980,0.49746698,0.502533
SRR5602345,0.49746698,0.502533
SRR5602119,0.4520117,0.5479883
SRR5602010,0.49746698,0.502533
SRR5602210,0.49746698,0.502533
SRR5602016,0.49746698,0.502533
SRR5602168,0.49746698,0.502533
SRR5602284,0.49746698,0.502533
SRR5602134,0.49746698,0.502533
SRR5602290,0.49746698,0.502533
SRR5602333,0.46879777,0.5312022
