,root:Elder,root:Young
SRR5602038,0.53172314,0.46827686
SRR3679963,0.4053967,0.59460324
SRR3680042,0.5414911,0.45850888
SRR5601929,0.4265158,0.5734842
SRR5601965,0.2815397,0.71846026
SRR5602262,0.5187794,0.48122057
SRR5602296,0.43491656,0.5650835
SRR5602140,0.46318993,0.5368101
SRR5601931,0.40584323,0.5941568
SRR5602327,0.502392,0.49760804
SRR5602302,0.52644604,0.47355396
SRR5602192,0.3775974,0.6224026
SRR5602017,0.56643224,0.43356776
SRR5602178,0.034599826,0.96540016
SRR5602310,0.06641226,0.93358773
SRR3680043,0.46158856,0.53841144
SRR5601992,0.1817775,0.81822246
SRR3680031,0.5062124,0.49378765
SRR5601942,0.50975996,0.49024007
SRR5602287,0.028620584,0.9713794
SRR5602005,0.028620584,0.9713794
SRR5601993,0.43989474,0.5601053
SRR5610011,0.56991404,0.43008596
SRR5602199,0.18861054,0.81138945
SRR5602180,0.5674248,0.43257526
SRR5602124,0.46391907,0.53608096
SRR5602172,0.54811734,0.45188266
SRR5601985,0.4320618,0.56793815
SRR5602289,0.5676722,0.43232775
SRR3679930,0.45370066,0.54629934
SRR5602292,0.51485294,0.4851471
SRR5602034,0.52997375,0.47002622
SRR5602026,0.44789627,0.55210376
SRR3680036,0.40704468,0.59295535
SRR5601928,0.54410845,0.45589152
C054,0.028620584,0.9713794
SRR5601983,0.56686354,0.43313637
SRR5602320,0.34871024,0.65128976
SRR5602152,0.028620584,0.9713794
SRR3680063,0.41342267,0.5865774
SRR5602194,0.028620584,0.9713794
SRR5602066,0.4674318,0.53256816
SRR5602142,0.5685754,0.43142456
SRR5602189,0.5701556,0.42984444
SRR5601989,0.55459875,0.44540122
SRR3679975,0.5665082,0.4334918
SRR5602214,0.54365754,0.4563424
SRR5602157,0.54092723,0.45907277
SRR5602297,0.028700981,0.971299
SRR3680048,0.4047061,0.59529394
SRR5602305,0.4110798,0.5889201
SRR5601941,0.24318968,0.7568103
SRR5610008,0.52631456,0.47368547
SRR5602315,0.38484403,0.61515594
SRR3680039,0.3211178,0.6788822
