SampleID,Env,Contribution
SRR3680059,Young,0.5393684
SRR5602080,Young,0.40617543
SRR5610008,Young,0.42676708
SRR5602310,Young,0.4991405
SRR5602205,Young,0.5394036999999999
SRR5602137,Young,0.5394043000000001
SRR5602121,Young,0.5267668000000001
SRR3679975,Young,0.3583166
SRR5602199,Young,0.4944175
SRR5601934,Young,0.4991405
SRR5602248,Young,0.5206579000000001
SRR5602265,Young,0.5158422
SRR5602330,Young,0.41368228
SRR3680072,Young,0.53940415
SRR3680080,Young,0.4365009
SRR3680093,Young,0.4991405
SRR5602342,Young,0.5086411
SRR5602157,Young,0.4690584
SRR3679962,Young,0.5394043000000001
SRR5602250,Young,0.434533
SRR5602306,Young,0.5394036999999999
SRR5601985,Young,0.5394041
SRR5602264,Young,0.44030598
SRR5602151,Young,0.5289159000000001
SRR3680036,Young,0.5394043000000001
SRR5602201,Young,0.45079890000000006
SRR5602186,Young,0.47669357
SRR3680055,Young,0.53939325
SRR3679965,Young,0.41767898
SRR5602231,Young,0.40570688
SRR5601992,Young,0.4991405
SRR5602015,Young,0.5394014
SRR5602192,Young,0.53934157
SRR5601926,Young,0.53940403
SRR5602273,Young,0.4991405
SRR5602297,Young,0.5394021
SRR3680086,Young,0.5394042
SRR3679998,Young,0.5393646
SRR5602257,Young,0.5393386
SRR5602153,Young,0.5393974
SRR5602304,Young,0.5394043000000001
SRR3679990,Young,0.53931594
SRR3680084,Young,0.5393275
SRR5610010,Young,0.47977802
SRR5602202,Young,0.53921103
SRR5602255,Young,0.5392905
SRR5602101,Young,0.5394043000000001
SRR5602296,Young,0.53939945
SRR5602336,Young,0.49632803
SRR5601984,Young,0.53940004
SRR5602331,Young,0.5393878000000001
SRR5602136,Young,0.5394041
SRR5602171,Young,0.40994006
SRR5601932,Young,0.5393342
SRR5602343,Young,0.5393760999999999
SRR5602279,Young,0.4991405
SRR5602139,Young,0.5356581
SRR5602181,Young,0.48502907
SRR5602245,Young,0.42718935
SRR5602025,Young,0.53940415
SRR5602289,Young,0.3834797
SRR5602313,Young,0.5249434000000001
SRR3679996,Young,0.49966565
SRR5602281,Young,0.452524
SRR5602020,Young,0.53939784
SRR5602035,Young,0.53939784
SRR5602054,Young,0.53940403
SRR5601927,Young,0.5394043000000001
SRR5602066,Young,0.5393654
SRR5602249,Young,0.5394043000000001
SRR3680035,Young,0.53940237
SRR5602173,Young,0.5393995
SRR3680048,Young,0.539404
SRR5601993,Young,0.5394026999999999
SRR5602029,Young,0.42538166
SRR3679940,Young,0.53913486
SRR5602032,Young,0.5394036
SRR5602316,Young,0.5358229
SRR5602212,Young,0.4991405
SRR5602328,Young,0.5394034000000001
SRR5602329,Young,0.534879
SRR5602294,Young,0.4581415
SRR3680016,Young,0.53838694
SRR3680053,Young,0.44174589999999997
SRR5602141,Young,0.53939396
SRR3680078,Young,0.5393944
SRR5602327,Young,0.53936225
SRR5602096,Young,0.5394014
SRR5602204,Young,0.53940415
SRR5602266,Young,0.53940153
SRR5601928,Young,0.4756048
SRR3679929,Young,0.53939813
SRR5602062,Young,0.5394043000000001
SRR5602224,Young,0.5394015999999999
SRR5602021,Young,0.5393838000000001
SRR5602154,Young,0.43659002
SRR5602122,Young,0.5394031
SRR5602079,Young,0.5394041
SRR5602132,Young,0.539383
SRR3680059,Unknown,0.4606316
SRR5602080,Unknown,0.59382457
SRR5610008,Unknown,0.5732329
SRR5602310,Unknown,0.5008595
SRR5602205,Unknown,0.46059632
SRR5602137,Unknown,0.46059573
SRR5602121,Unknown,0.47323322
SRR3679975,Unknown,0.6416834
SRR5602199,Unknown,0.5055824999999999
SRR5601934,Unknown,0.5008595
SRR5602248,Unknown,0.47934209999999994
SRR5602265,Unknown,0.48415779999999997
SRR5602330,Unknown,0.5863176999999999
SRR3680072,Unknown,0.46059585
SRR3680080,Unknown,0.5634991
SRR3680093,Unknown,0.5008595
SRR5602342,Unknown,0.49135888
SRR5602157,Unknown,0.5309416
SRR3679962,Unknown,0.46059573
SRR5602250,Unknown,0.565467
SRR5602306,Unknown,0.46059632
SRR5601985,Unknown,0.4605959
SRR5602264,Unknown,0.55969405
SRR5602151,Unknown,0.47108412
SRR3680036,Unknown,0.46059573
SRR5602201,Unknown,0.54920113
SRR5602186,Unknown,0.5233064000000001
SRR3680055,Unknown,0.46060675
SRR3679965,Unknown,0.58232105
SRR5602231,Unknown,0.5942930999999999
SRR5601992,Unknown,0.5008595
SRR5602015,Unknown,0.46059859999999997
SRR5602192,Unknown,0.46065843
SRR5601926,Unknown,0.46059597
SRR5602273,Unknown,0.5008595
SRR5602297,Unknown,0.46059787
SRR3680086,Unknown,0.46059579999999994
SRR3679998,Unknown,0.46063542
SRR5602257,Unknown,0.46066140000000005
SRR5602153,Unknown,0.46060258
SRR5602304,Unknown,0.46059573
SRR3679990,Unknown,0.46068406
SRR3680084,Unknown,0.46067250000000004
SRR5610010,Unknown,0.52022195
SRR5602202,Unknown,0.46078897
SRR5602255,Unknown,0.46070950000000005
SRR5602101,Unknown,0.46059573
SRR5602296,Unknown,0.46060055
SRR5602336,Unknown,0.503672
SRR5601984,Unknown,0.46059996
SRR5602331,Unknown,0.46061218
SRR5602136,Unknown,0.4605959
SRR5602171,Unknown,0.59005994
SRR5601932,Unknown,0.46066582
SRR5602343,Unknown,0.46062392
SRR5602279,Unknown,0.5008595
SRR5602139,Unknown,0.46434188
SRR5602181,Unknown,0.5149709
SRR5602245,Unknown,0.57281065
SRR5602025,Unknown,0.46059585
SRR5602289,Unknown,0.6165203
SRR5602313,Unknown,0.4750566
SRR3679996,Unknown,0.5003344
SRR5602281,Unknown,0.5474760000000001
SRR5602020,Unknown,0.46060216
SRR5602035,Unknown,0.46060216
SRR5602054,Unknown,0.46059597
SRR5601927,Unknown,0.46059573
SRR5602066,Unknown,0.46063459999999995
SRR5602249,Unknown,0.46059573
SRR3680035,Unknown,0.46059763
SRR5602173,Unknown,0.4606005
SRR3680048,Unknown,0.46059602
SRR5601993,Unknown,0.46059728
SRR5602029,Unknown,0.57461834
SRR3679940,Unknown,0.46086514
SRR5602032,Unknown,0.46059638
SRR5602316,Unknown,0.46417707
SRR5602212,Unknown,0.5008595
SRR5602328,Unknown,0.46059662
SRR5602329,Unknown,0.46512097
SRR5602294,Unknown,0.5418585
SRR3680016,Unknown,0.46161306
SRR3680053,Unknown,0.5582541
SRR5602141,Unknown,0.46060604
SRR3680078,Unknown,0.46060562
SRR5602327,Unknown,0.46063775
SRR5602096,Unknown,0.46059859999999997
SRR5602204,Unknown,0.46059585
SRR5602266,Unknown,0.46059847
SRR5601928,Unknown,0.5243952
SRR3679929,Unknown,0.46060187
SRR5602062,Unknown,0.46059573
SRR5602224,Unknown,0.4605984
SRR5602021,Unknown,0.46061617
SRR5602154,Unknown,0.5634100000000001
SRR5602122,Unknown,0.46059692
SRR5602079,Unknown,0.4605959
SRR5602132,Unknown,0.460617
