,root:Young,Unknown
SRR3680059,0.49746698,0.502533
SRR5602080,0.49746698,0.502533
SRR5610008,0.49746698,0.502533
SRR5602310,0.49746698,0.502533
SRR5602205,0.49746698,0.502533
SRR5602137,0.49746698,0.502533
SRR5602121,0.49746698,0.502533
SRR3679975,0.49746698,0.502533
SRR5602199,0.49746698,0.502533
SRR5601934,0.49746698,0.502533
SRR5602248,0.49746698,0.502533
SRR5602265,0.49746698,0.502533
SRR5602330,0.49746698,0.502533
SRR3680072,0.49746698,0.502533
SRR3680080,0.49746698,0.502533
SRR3680093,0.49746698,0.502533
SRR5602342,0.49746698,0.502533
SRR5602157,0.49746698,0.502533
SRR3679962,0.49746698,0.502533
SRR5602250,0.49746698,0.502533
SRR5602306,0.49746698,0.502533
SRR5601985,0.49746698,0.502533
SRR5602264,0.49746698,0.502533
SRR5602151,0.47430107,0.5256989
SRR3680036,0.49746698,0.502533
SRR5602201,0.49746698,0.502533
SRR5602186,0.49746698,0.502533
SRR3680055,0.49746698,0.502533
SRR3679965,0.49746698,0.502533
SRR5602231,0.5366823,0.4633177
SRR5601992,0.49746698,0.502533
SRR5602015,0.49746698,0.502533
SRR5602192,0.44018972,0.5598103
SRR5601926,0.49746698,0.502533
SRR5602273,0.49746698,0.502533
SRR5602297,0.49746698,0.502533
SRR3680086,0.49746698,0.502533
SRR3679998,0.49746698,0.502533
SRR5602257,0.49746698,0.502533
SRR5602153,0.49746698,0.502533
SRR5602304,0.49746698,0.502533
SRR3679990,0.49746698,0.502533
SRR3680084,0.49746698,0.502533
SRR5610010,0.49746698,0.502533
SRR5602202,0.49746698,0.502533
SRR5602255,0.49746698,0.502533
SRR5602101,0.49746698,0.502533
SRR5602296,0.49746698,0.502533
SRR5602336,0.5276853,0.47231472
SRR5601984,0.49746698,0.502533
SRR5602331,0.49746698,0.502533
SRR5602136,0.49746698,0.502533
SRR5602171,0.49746698,0.502533
SRR5601932,0.49746698,0.502533
SRR5602343,0.49746698,0.502533
SRR5602279,0.49746698,0.502533
SRR5602139,0.45083505,0.54916495
SRR5602181,0.49746698,0.502533
SRR5602245,0.49746698,0.502533
SRR5602025,0.49746698,0.502533
SRR5602289,0.49746698,0.502533
SRR5602313,0.49746698,0.502533
SRR3679996,0.49746698,0.502533
SRR5602281,0.49746698,0.502533
SRR5602020,0.49746698,0.502533
SRR5602035,0.49746698,0.502533
SRR5602054,0.49746698,0.502533
SRR5601927,0.49746698,0.502533
SRR5602066,0.49746698,0.502533
SRR5602249,0.49746698,0.502533
SRR3680035,0.49746698,0.502533
SRR5602173,0.49746698,0.502533
SRR3680048,0.49746698,0.502533
SRR5601993,0.49746698,0.502533
SRR5602029,0.49746698,0.502533
SRR3679940,0.49746698,0.502533
SRR5602032,0.49746698,0.502533
SRR5602316,0.49746698,0.502533
SRR5602212,0.49746698,0.502533
SRR5602328,0.49746698,0.502533
SRR5602329,0.49746698,0.502533
SRR5602294,0.49746698,0.502533
SRR3680016,0.49746698,0.502533
SRR3680053,0.49746698,0.502533
SRR5602141,0.4506286,0.54937136
SRR3680078,0.49746698,0.502533
SRR5602327,0.49746698,0.502533
SRR5602096,0.49746698,0.502533
SRR5602204,0.49746698,0.502533
SRR5602266,0.49746698,0.502533
SRR5601928,0.49746698,0.502533
SRR3679929,0.49746698,0.502533
SRR5602062,0.49746698,0.502533
SRR5602224,0.49746698,0.502533
SRR5602021,0.49746698,0.502533
SRR5602154,0.49746698,0.502533
SRR5602122,0.49746698,0.502533
SRR5602079,0.49746698,0.502533
SRR5602132,0.49746698,0.502533
