SampleID,Env,Contribution
SRR5602038,Elder,0.6708851
SRR3679963,Elder,0.66034496
SRR3680042,Elder,0.6463918
SRR5601929,Elder,0.630567
SRR5601965,Elder,0.45438862
SRR5602262,Elder,0.6326411
SRR5602296,Elder,0.155322
SRR5602140,Elder,0.43040314
SRR5601931,Elder,0.375044
SRR5602327,Elder,0.66988283
SRR5602302,Elder,0.6459956
SRR5602192,Elder,0.13109744
SRR5602017,Elder,0.67186034
SRR5602178,Elder,0.1197296
SRR5602310,Elder,0.119900934
SRR3680043,Elder,0.65033495
SRR5601992,Elder,0.13417777
SRR3680031,Elder,0.6159887
SRR5601942,Elder,0.64404494
SRR5602287,Elder,0.6723824
SRR5602005,Elder,0.6723824
SRR5601993,Elder,0.59190315
SRR5610011,Elder,0.606948
SRR5602199,Elder,0.13465147
SRR5602180,Elder,0.67216176
SRR5602124,Elder,0.28703904
SRR5602172,Elder,0.47649094
SRR5601985,Elder,0.57220453
SRR5602289,Elder,0.6710136
SRR3679930,Elder,0.66379756
SRR5602292,Elder,0.2301274
SRR5602034,Elder,0.66010547
SRR5602026,Elder,0.25651714
SRR3680036,Elder,0.6233527
SRR5601928,Elder,0.6587901
C054,Elder,0.033085354
SRR5601983,Elder,0.6723099
SRR5602320,Elder,0.12734547
SRR5602152,Elder,0.6723824
SRR3680063,Elder,0.6615439
SRR5602194,Elder,0.033085354
SRR5602066,Elder,0.632842
SRR5602142,Elder,0.671457
SRR5602189,Elder,0.67229205
SRR5601989,Elder,0.6621818
SRR3679975,Elder,0.67235535
SRR5602214,Elder,0.6723789
SRR5602157,Elder,0.6592809
SRR5602297,Elder,0.6723824
SRR3680048,Elder,0.63777786
SRR5602305,Elder,0.24786656
SRR5601941,Elder,0.11234977
SRR5610008,Elder,0.6549867
SRR5602315,Elder,0.26671267
SRR3680039,Elder,0.12693273
SRR5602038,Young,0.32911497
SRR3679963,Young,0.33965504
SRR3680042,Young,0.35360813
SRR5601929,Young,0.36943302
SRR5601965,Young,0.54561144
SRR5602262,Young,0.36735892
SRR5602296,Young,0.844678
SRR5602140,Young,0.5695969
SRR5601931,Young,0.624956
SRR5602327,Young,0.33011714
SRR5602302,Young,0.35400435
SRR5602192,Young,0.86890256
SRR5602017,Young,0.32813963
SRR5602178,Young,0.8802704
SRR5602310,Young,0.88009906
SRR3680043,Young,0.3496651
SRR5601992,Young,0.86582226
SRR3680031,Young,0.38401133
SRR5601942,Young,0.35595503
SRR5602287,Young,0.32761762
SRR5602005,Young,0.32761762
SRR5601993,Young,0.40809688
SRR5610011,Young,0.393052
SRR5602199,Young,0.8653485
SRR5602180,Young,0.3278382
SRR5602124,Young,0.71296096
SRR5602172,Young,0.523509
SRR5601985,Young,0.42779544
SRR5602289,Young,0.32898644
SRR3679930,Young,0.33620247
SRR5602292,Young,0.7698726
SRR5602034,Young,0.3398945
SRR5602026,Young,0.7434829
SRR3680036,Young,0.3766473
SRR5601928,Young,0.34120986
C054,Young,0.9669146
SRR5601983,Young,0.3276901
SRR5602320,Young,0.8726545
SRR5602152,Young,0.32761762
SRR3680063,Young,0.3384561
SRR5602194,Young,0.9669146
SRR5602066,Young,0.36715797
SRR5602142,Young,0.328543
SRR5602189,Young,0.32770798
SRR5601989,Young,0.33781818
SRR3679975,Young,0.32764462
SRR5602214,Young,0.32762107
SRR5602157,Young,0.34071907
SRR5602297,Young,0.32761762
SRR3680048,Young,0.3622221
SRR5602305,Young,0.7521335
SRR5601941,Young,0.88765025
SRR5610008,Young,0.34501332
SRR5602315,Young,0.7332873
SRR3680039,Young,0.8730673
