,root:Elder,root:Young
S320,0.030182792,0.9698173
S290,0.062217563,0.9377824
SRR5602345,0.53139234,0.46860763
S330,0.5616111,0.43838888
SRR5602125,0.030248282,0.96975166
SRR5602220,0.5445214,0.4554786
S050,0.048306756,0.9516933
S080,0.028620584,0.9713794
SRR5602155,0.55980396,0.44019604
SRR5602193,0.50433576,0.49566424
SRR5602335,0.5183272,0.48167285
SRR5602119,0.4856696,0.51433045
S150,0.028793572,0.9712064
SRR5602179,0.5037849,0.4962151
SRR3679961,0.54425764,0.4557424
SRR5602134,0.55804384,0.44195616
S130,0.041950837,0.95804924
S200,0.30795464,0.6920454
S210,0.028863708,0.9711363
SRR5602290,0.028620584,0.9713794
SRR5602138,0.45555526,0.54444474
C052,0.5703091,0.42969093
C012,0.06247097,0.93752897
SRR5602168,0.034770783,0.9652292
SRR5602159,0.47712415,0.52287585
SRR5602160,0.53834456,0.46165544
SRR5602010,0.57002646,0.42997354
C010,0.038413875,0.9615861
S240,0.029248388,0.9707516
S030,0.028620584,0.9713794
SRR5602324,0.39762348,0.60237646
SRR3679980,0.028620584,0.9713794
SRR5602349,0.47510916,0.5248909
S110,0.10934777,0.89065224
SRR5602182,0.56822556,0.4317744
S100,0.061368465,0.93863153
C042,0.043961126,0.95603883
SRR5602351,0.57034194,0.429658
SRR5602333,0.05412508,0.9458749
S220,0.028620584,0.9713794
SRR5602092,0.49185935,0.5081406
S120,0.5240786,0.47592136
SRR5602260,0.2916157,0.7083843
SRR5602284,0.5704419,0.42955813
C021,0.06334329,0.9366568
SRR5602256,0.47435623,0.5256438
SRR5602234,0.44623277,0.55376726
SRR5602210,0.53313226,0.4668677
S010,0.043706063,0.9562939
S280,0.028620584,0.9713794
S260,0.08271825,0.9172818
S020,0.40877435,0.5912256
SRR5602016,0.5380967,0.4619033
S180,0.56904036,0.43095964
SRR5602145,0.33539551,0.6646044
