,Env,Contribution,Region
C010,Senior,0.038413875,Italy
C010,Young,0.9615861,Italy
C012,Senior,0.06247097,Italy
C012,Young,0.93752897,Italy
C021,Senior,0.06334329,Italy
C021,Young,0.9366568,Italy
C042,Senior,0.043961126,Italy
C042,Young,0.95603883,Italy
C052,Senior,0.5703091,Italy
C052,Young,0.42969093,Italy
S010,Senior,0.043706063,Italy
S010,Young,0.9562939,Italy
S020,Senior,0.40877435,Italy
S020,Young,0.5912256,Italy
S030,Senior,0.028620584,Italy
S030,Young,0.9713794,Italy
S050,Senior,0.048306756,Italy
S050,Young,0.9516933,Italy
S080,Senior,0.028620584,Italy
S080,Young,0.9713794,Italy
S100,Senior,0.061368465,Italy
S100,Young,0.93863153,Italy
S110,Senior,0.10934777,Italy
S110,Young,0.89065224,Italy
S120,Senior,0.5240786,Italy
S120,Young,0.47592136,Italy
S130,Senior,0.041950837,Italy
S130,Young,0.95804924,Italy
S150,Senior,0.028793572,Italy
S150,Young,0.9712064,Italy
S180,Senior,0.56904036,Italy
S180,Young,0.43095964,Italy
S200,Senior,0.30795464,Italy
S200,Young,0.6920454,Italy
S210,Senior,0.028863708,Italy
S210,Young,0.9711363,Italy
S220,Senior,0.028620584,Italy
S220,Young,0.9713794,Italy
S240,Senior,0.029248388,Italy
S240,Young,0.9707516,Italy
S260,Senior,0.08271825,Italy
S260,Young,0.9172818,Italy
S280,Senior,0.028620584,Italy
S280,Young,0.9713794,Italy
S290,Senior,0.062217563,Italy
S290,Young,0.9377824,Italy
S320,Senior,0.030182792,Italy
S320,Young,0.9698173,Italy
S330,Senior,0.5616111,Italy
S330,Young,0.43838888,Italy
SRR3679961,Senior,0.54425764,Sichuan
SRR3679961,Young,0.4557424,Sichuan
SRR3679980,Senior,0.028620584,Sichuan
SRR3679980,Young,0.9713794,Sichuan
SRR5602010,Senior,0.57002646,Jiangsu
SRR5602010,Young,0.42997354,Jiangsu
SRR5602016,Senior,0.5380967,Jiangsu
SRR5602016,Young,0.4619033,Jiangsu
SRR5602092,Senior,0.49185935,Jiangsu
SRR5602092,Young,0.5081406,Jiangsu
SRR5602119,Senior,0.4856696,Jiangsu
SRR5602119,Young,0.51433045,Jiangsu
SRR5602125,Senior,0.030248282,Jiangsu
SRR5602125,Young,0.96975166,Jiangsu
SRR5602134,Senior,0.55804384,Jiangsu
SRR5602134,Young,0.44195616,Jiangsu
SRR5602138,Senior,0.45555526,Jiangsu
SRR5602138,Young,0.54444474,Jiangsu
SRR5602145,Senior,0.33539551,Jiangsu
SRR5602145,Young,0.6646044,Jiangsu
SRR5602155,Senior,0.55980396,Jiangsu
SRR5602155,Young,0.44019604,Jiangsu
SRR5602159,Senior,0.47712415,Jiangsu
SRR5602159,Young,0.52287585,Jiangsu
SRR5602160,Senior,0.53834456,Jiangsu
SRR5602160,Young,0.46165544,Jiangsu
SRR5602168,Senior,0.034770783,Jiangsu
SRR5602168,Young,0.9652292,Jiangsu
SRR5602179,Senior,0.5037849,Jiangsu
SRR5602179,Young,0.4962151,Jiangsu
SRR5602182,Senior,0.56822556,Jiangsu
SRR5602182,Young,0.4317744,Jiangsu
SRR5602193,Senior,0.50433576,Jiangsu
SRR5602193,Young,0.49566424,Jiangsu
SRR5602210,Senior,0.53313226,Jiangsu
SRR5602210,Young,0.4668677,Jiangsu
SRR5602220,Senior,0.5445214,Jiangsu
SRR5602220,Young,0.4554786,Jiangsu
SRR5602234,Senior,0.44623277,Jiangsu
SRR5602234,Young,0.55376726,Jiangsu
SRR5602256,Senior,0.47435623,Jiangsu
SRR5602256,Young,0.5256438,Jiangsu
SRR5602260,Senior,0.2916157,Jiangsu
SRR5602260,Young,0.7083843,Jiangsu
SRR5602284,Senior,0.5704419,Jiangsu
SRR5602284,Young,0.42955813,Jiangsu
SRR5602290,Senior,0.028620584,Jiangsu
SRR5602290,Young,0.9713794,Jiangsu
SRR5602324,Senior,0.39762348,Jiangsu
SRR5602324,Young,0.60237646,Jiangsu
SRR5602333,Senior,0.05412508,Jiangsu
SRR5602333,Young,0.9458749,Jiangsu
SRR5602335,Senior,0.5183272,Jiangsu
SRR5602335,Young,0.48167285,Jiangsu
SRR5602345,Senior,0.53139234,Jiangsu
SRR5602345,Young,0.46860763,Jiangsu
SRR5602349,Senior,0.47510916,Jiangsu
SRR5602349,Young,0.5248909,Jiangsu
SRR5602351,Senior,0.57034194,Jiangsu
SRR5602351,Young,0.429658,Jiangsu
