,root:Elder,root:Young
S320,0.118250474,0.8817495
S290,0.5024513,0.49754867
SRR5602345,0.67167026,0.32832974
S330,0.6703095,0.32969055
SRR5602125,0.112087406,0.88791263
SRR5602220,0.6610655,0.33893445
S050,0.12421985,0.87578017
S080,0.6723824,0.32761762
SRR5602155,0.6688091,0.3311909
SRR5602193,0.54842997,0.4515701
SRR5602335,0.57314116,0.42685884
SRR5602119,0.6460418,0.3539582
S150,0.11966773,0.8803323
SRR5602179,0.65427196,0.34572798
SRR3679961,0.120271884,0.87972814
SRR5602134,0.6712957,0.32870427
S130,0.15458725,0.84541273
S200,0.12191438,0.8780856
S210,0.0335836,0.96641636
SRR5602290,0.6723824,0.32761762
SRR5602138,0.41354838,0.5864516
C052,0.67164415,0.32835582
C012,0.11888396,0.88111603
SRR5602168,0.12046756,0.8795324
SRR5602159,0.631296,0.36870402
SRR5602160,0.6678341,0.33216596
SRR5602010,0.6716203,0.32837972
C010,0.18898477,0.81101525
S240,0.11598589,0.8840141
S030,0.6723824,0.32761762
SRR5602324,0.63995427,0.36004576
SRR3679980,0.6723824,0.32761762
SRR5602349,0.2039673,0.79603267
S110,0.12047962,0.8795203
SRR5602182,0.671788,0.328212
S100,0.4431677,0.5568324
C042,0.07710038,0.92289966
SRR5602351,0.6712184,0.3287816
SRR5602333,0.6648341,0.3351659
S220,0.6723824,0.32761762
SRR5602092,0.66530645,0.33469352
S120,0.6694832,0.33051682
SRR5602260,0.67237985,0.32762012
SRR5602284,0.6717108,0.32828924
C021,0.6723824,0.32761762
SRR5602256,0.5188441,0.48115584
SRR5602234,0.61755735,0.38244268
SRR5602210,0.1121757,0.8878243
S010,0.11928633,0.88071364
S280,0.6723824,0.32761762
S260,0.301267,0.698733
S020,0.6671114,0.3328886
SRR5602016,0.6745591,0.32544094
S180,0.6716773,0.32832268
SRR5602145,0.38045886,0.6195411
