,Env,Contribution,Region
C010,Senior,0.18898477,Italy
C010,Young,0.81101525,Italy
C012,Senior,0.11888396,Italy
C012,Young,0.88111603,Italy
C021,Senior,0.6723824,Italy
C021,Young,0.32761762,Italy
C042,Senior,0.07710038,Italy
C042,Young,0.92289966,Italy
C052,Senior,0.67164415,Italy
C052,Young,0.32835582,Italy
S010,Senior,0.11928633,Italy
S010,Young,0.88071364,Italy
S020,Senior,0.6671114,Italy
S020,Young,0.3328886,Italy
S030,Senior,0.6723824,Italy
S030,Young,0.32761762,Italy
S050,Senior,0.12421985,Italy
S050,Young,0.87578017,Italy
S080,Senior,0.6723824,Italy
S080,Young,0.32761762,Italy
S100,Senior,0.4431677,Italy
S100,Young,0.5568324,Italy
S110,Senior,0.12047962,Italy
S110,Young,0.8795203,Italy
S120,Senior,0.6694832,Italy
S120,Young,0.33051682,Italy
S130,Senior,0.15458725,Italy
S130,Young,0.84541273,Italy
S150,Senior,0.11966773,Italy
S150,Young,0.8803323,Italy
S180,Senior,0.6716773,Italy
S180,Young,0.32832268,Italy
S200,Senior,0.12191438,Italy
S200,Young,0.8780856,Italy
S210,Senior,0.0335836,Italy
S210,Young,0.96641636,Italy
S220,Senior,0.6723824,Italy
S220,Young,0.32761762,Italy
S240,Senior,0.11598589,Italy
S240,Young,0.8840141,Italy
S260,Senior,0.301267,Italy
S260,Young,0.698733,Italy
S280,Senior,0.6723824,Italy
S280,Young,0.32761762,Italy
S290,Senior,0.5024513,Italy
S290,Young,0.49754867,Italy
S320,Senior,0.118250474,Italy
S320,Young,0.8817495,Italy
S330,Senior,0.6703095,Italy
S330,Young,0.32969055,Italy
SRR3679961,Senior,0.120271884,Sichuan
SRR3679961,Young,0.87972814,Sichuan
SRR3679980,Senior,0.6723824,Sichuan
SRR3679980,Young,0.32761762,Sichuan
SRR5602010,Senior,0.6716203,Jiangsu
SRR5602010,Young,0.32837972,Jiangsu
SRR5602016,Senior,0.6745591,Jiangsu
SRR5602016,Young,0.32544094,Jiangsu
SRR5602092,Senior,0.66530645,Jiangsu
SRR5602092,Young,0.33469352,Jiangsu
SRR5602119,Senior,0.6460418,Jiangsu
SRR5602119,Young,0.3539582,Jiangsu
SRR5602125,Senior,0.112087406,Jiangsu
SRR5602125,Young,0.88791263,Jiangsu
SRR5602134,Senior,0.6712957,Jiangsu
SRR5602134,Young,0.32870427,Jiangsu
SRR5602138,Senior,0.41354838,Jiangsu
SRR5602138,Young,0.5864516,Jiangsu
SRR5602145,Senior,0.38045886,Jiangsu
SRR5602145,Young,0.6195411,Jiangsu
SRR5602155,Senior,0.6688091,Jiangsu
SRR5602155,Young,0.3311909,Jiangsu
SRR5602159,Senior,0.631296,Jiangsu
SRR5602159,Young,0.36870402,Jiangsu
SRR5602160,Senior,0.6678341,Jiangsu
SRR5602160,Young,0.33216596,Jiangsu
SRR5602168,Senior,0.12046756,Jiangsu
SRR5602168,Young,0.8795324,Jiangsu
SRR5602179,Senior,0.65427196,Jiangsu
SRR5602179,Young,0.34572798,Jiangsu
SRR5602182,Senior,0.671788,Jiangsu
SRR5602182,Young,0.328212,Jiangsu
SRR5602193,Senior,0.54842997,Jiangsu
SRR5602193,Young,0.4515701,Jiangsu
SRR5602210,Senior,0.1121757,Jiangsu
SRR5602210,Young,0.8878243,Jiangsu
SRR5602220,Senior,0.6610655,Jiangsu
SRR5602220,Young,0.33893445,Jiangsu
SRR5602234,Senior,0.61755735,Jiangsu
SRR5602234,Young,0.38244268,Jiangsu
SRR5602256,Senior,0.5188441,Jiangsu
SRR5602256,Young,0.48115584,Jiangsu
SRR5602260,Senior,0.67237985,Jiangsu
SRR5602260,Young,0.32762012,Jiangsu
SRR5602284,Senior,0.6717108,Jiangsu
SRR5602284,Young,0.32828924,Jiangsu
SRR5602290,Senior,0.6723824,Jiangsu
SRR5602290,Young,0.32761762,Jiangsu
SRR5602324,Senior,0.63995427,Jiangsu
SRR5602324,Young,0.36004576,Jiangsu
SRR5602333,Senior,0.6648341,Jiangsu
SRR5602333,Young,0.3351659,Jiangsu
SRR5602335,Senior,0.57314116,Jiangsu
SRR5602335,Young,0.42685884,Jiangsu
SRR5602345,Senior,0.67167026,Jiangsu
SRR5602345,Young,0.32832974,Jiangsu
SRR5602349,Senior,0.2039673,Jiangsu
SRR5602349,Young,0.79603267,Jiangsu
SRR5602351,Senior,0.6712184,Jiangsu
SRR5602351,Young,0.3287816,Jiangsu
