,Env,Contribution,Region
SRR3679930,Senior,0.45370066,Sichuan
SRR3679930,Young,0.54629934,Sichuan
SRR3679963,Senior,0.4053967,Sichuan
SRR3679963,Young,0.59460324,Sichuan
SRR3679975,Senior,0.5665082,Sichuan
SRR3679975,Young,0.4334918,Sichuan
SRR3680031,Senior,0.5062124,Sichuan
SRR3680031,Young,0.49378765,Sichuan
SRR3680036,Senior,0.40704468,Sichuan
SRR3680036,Young,0.59295535,Sichuan
SRR3680039,Senior,0.3211178,Sichuan
SRR3680039,Young,0.6788822,Sichuan
SRR3680042,Senior,0.5414911,Sichuan
SRR3680042,Young,0.45850888,Sichuan
SRR3680043,Senior,0.46158856,Sichuan
SRR3680043,Young,0.53841144,Sichuan
SRR3680048,Senior,0.4047061,Sichuan
SRR3680048,Young,0.59529394,Sichuan
SRR3680063,Senior,0.41342267,Sichuan
SRR3680063,Young,0.5865774,Sichuan
SRR5601928,Senior,0.54410845,Jiangsu
SRR5601928,Young,0.45589152,Jiangsu
SRR5601929,Senior,0.4265158,Jiangsu
SRR5601929,Young,0.5734842,Jiangsu
SRR5601931,Senior,0.40584323,Jiangsu
SRR5601931,Young,0.5941568,Jiangsu
SRR5601941,Senior,0.24318968,Jiangsu
SRR5601941,Young,0.7568103,Jiangsu
SRR5601942,Senior,0.50975996,Jiangsu
SRR5601942,Young,0.49024007,Jiangsu
SRR5601965,Senior,0.2815397,Jiangsu
SRR5601965,Young,0.71846026,Jiangsu
SRR5601983,Senior,0.56686354,Jiangsu
SRR5601983,Young,0.43313637,Jiangsu
SRR5601985,Senior,0.4320618,Jiangsu
SRR5601985,Young,0.56793815,Jiangsu
SRR5601989,Senior,0.55459875,Jiangsu
SRR5601989,Young,0.44540122,Jiangsu
SRR5601992,Senior,0.1817775,Jiangsu
SRR5601992,Young,0.81822246,Jiangsu
SRR5601993,Senior,0.43989474,Jiangsu
SRR5601993,Young,0.5601053,Jiangsu
SRR5602005,Senior,0.028620584,Jiangsu
SRR5602005,Young,0.9713794,Jiangsu
SRR5602017,Senior,0.56643224,Jiangsu
SRR5602017,Young,0.43356776,Jiangsu
SRR5602026,Senior,0.44789627,Jiangsu
SRR5602026,Young,0.55210376,Jiangsu
SRR5602034,Senior,0.52997375,Jiangsu
SRR5602034,Young,0.47002622,Jiangsu
SRR5602038,Senior,0.53172314,Jiangsu
SRR5602038,Young,0.46827686,Jiangsu
SRR5602066,Senior,0.4674318,Jiangsu
SRR5602066,Young,0.53256816,Jiangsu
SRR5602124,Senior,0.46391907,Jiangsu
SRR5602124,Young,0.53608096,Jiangsu
SRR5602140,Senior,0.46318993,Jiangsu
SRR5602140,Young,0.5368101,Jiangsu
SRR5602142,Senior,0.5685754,Jiangsu
SRR5602142,Young,0.43142456,Jiangsu
SRR5602152,Senior,0.028620584,Jiangsu
SRR5602152,Young,0.9713794,Jiangsu
SRR5602157,Senior,0.54092723,Jiangsu
SRR5602157,Young,0.45907277,Jiangsu
SRR5602172,Senior,0.54811734,Jiangsu
SRR5602172,Young,0.45188266,Jiangsu
SRR5602178,Senior,0.034599826,Jiangsu
SRR5602178,Young,0.96540016,Jiangsu
SRR5602180,Senior,0.5674248,Jiangsu
SRR5602180,Young,0.43257526,Jiangsu
SRR5602189,Senior,0.5701556,Jiangsu
SRR5602189,Young,0.42984444,Jiangsu
SRR5602192,Senior,0.3775974,Jiangsu
SRR5602192,Young,0.6224026,Jiangsu
SRR5602194,Senior,0.028620584,Jiangsu
SRR5602194,Young,0.9713794,Jiangsu
SRR5602199,Senior,0.18861054,Jiangsu
SRR5602199,Young,0.81138945,Jiangsu
SRR5602214,Senior,0.54365754,Jiangsu
SRR5602214,Young,0.4563424,Jiangsu
SRR5602262,Senior,0.5187794,Jiangsu
SRR5602262,Young,0.48122057,Jiangsu
SRR5602287,Senior,0.028620584,Jiangsu
SRR5602287,Young,0.9713794,Jiangsu
SRR5602289,Senior,0.5676722,Jiangsu
SRR5602289,Young,0.43232775,Jiangsu
SRR5602292,Senior,0.51485294,Jiangsu
SRR5602292,Young,0.4851471,Jiangsu
SRR5602296,Senior,0.43491656,Jiangsu
SRR5602296,Young,0.5650835,Jiangsu
SRR5602297,Senior,0.028700981,Jiangsu
SRR5602297,Young,0.971299,Jiangsu
SRR5602302,Senior,0.52644604,Jiangsu
SRR5602302,Young,0.47355396,Jiangsu
SRR5602305,Senior,0.4110798,Jiangsu
SRR5602305,Young,0.5889201,Jiangsu
SRR5602310,Senior,0.06641226,Jiangsu
SRR5602310,Young,0.93358773,Jiangsu
SRR5602315,Senior,0.38484403,Jiangsu
SRR5602315,Young,0.61515594,Jiangsu
SRR5602320,Senior,0.34871024,Jiangsu
SRR5602320,Young,0.65128976,Jiangsu
SRR5602327,Senior,0.502392,Jiangsu
SRR5602327,Young,0.49760804,Jiangsu
SRR5610008,Senior,0.52631456,Jiangsu
SRR5610008,Young,0.47368547,Jiangsu
SRR5610011,Senior,0.56991404,Jiangsu
SRR5610011,Young,0.43008596,Jiangsu
