,root:Elder,root:Young
SRR5602038,0.6708851,0.32911497
SRR3679963,0.66034496,0.33965504
SRR3680042,0.6463918,0.35360813
SRR5601929,0.630567,0.36943302
SRR5601965,0.45438862,0.54561144
SRR5602262,0.6326411,0.36735892
SRR5602296,0.155322,0.844678
SRR5602140,0.43040314,0.5695969
SRR5601931,0.375044,0.624956
SRR5602327,0.66988283,0.33011714
SRR5602302,0.6459956,0.35400435
SRR5602192,0.13109744,0.86890256
SRR5602017,0.67186034,0.32813963
SRR5602178,0.1197296,0.8802704
SRR5602310,0.119900934,0.88009906
SRR3680043,0.65033495,0.3496651
SRR5601992,0.13417777,0.86582226
SRR3680031,0.6159887,0.38401133
SRR5601942,0.64404494,0.35595503
SRR5602287,0.6723824,0.32761762
SRR5602005,0.6723824,0.32761762
SRR5601993,0.59190315,0.40809688
SRR5610011,0.606948,0.393052
SRR5602199,0.13465147,0.8653485
SRR5602180,0.67216176,0.3278382
SRR5602124,0.28703904,0.71296096
SRR5602172,0.47649094,0.523509
SRR5601985,0.57220453,0.42779544
SRR5602289,0.6710136,0.32898644
SRR3679930,0.66379756,0.33620247
SRR5602292,0.2301274,0.7698726
SRR5602034,0.66010547,0.3398945
SRR5602026,0.25651714,0.7434829
SRR3680036,0.6233527,0.3766473
SRR5601928,0.6587901,0.34120986
C054,0.033085354,0.9669146
SRR5601983,0.6723099,0.3276901
SRR5602320,0.12734547,0.8726545
SRR5602152,0.6723824,0.32761762
SRR3680063,0.6615439,0.3384561
SRR5602194,0.033085354,0.9669146
SRR5602066,0.632842,0.36715797
SRR5602142,0.671457,0.328543
SRR5602189,0.67229205,0.32770798
SRR5601989,0.6621818,0.33781818
SRR3679975,0.67235535,0.32764462
SRR5602214,0.6723789,0.32762107
SRR5602157,0.6592809,0.34071907
SRR5602297,0.6723824,0.32761762
SRR3680048,0.63777786,0.3622221
SRR5602305,0.24786656,0.7521335
SRR5601941,0.11234977,0.88765025
SRR5610008,0.6549867,0.34501332
SRR5602315,0.26671267,0.7332873
SRR3680039,0.12693273,0.8730673
