,Env,Contribution,Region
SRR3679930,Senior,0.66379756,Sichuan
SRR3679930,Young,0.33620247,Sichuan
SRR3679963,Senior,0.66034496,Sichuan
SRR3679963,Young,0.33965504,Sichuan
SRR3679975,Senior,0.67235535,Sichuan
SRR3679975,Young,0.32764462,Sichuan
SRR3680031,Senior,0.6159887,Sichuan
SRR3680031,Young,0.38401133,Sichuan
SRR3680036,Senior,0.6233527,Sichuan
SRR3680036,Young,0.3766473,Sichuan
SRR3680039,Senior,0.12693273,Sichuan
SRR3680039,Young,0.8730673,Sichuan
SRR3680042,Senior,0.6463918,Sichuan
SRR3680042,Young,0.35360813,Sichuan
SRR3680043,Senior,0.65033495,Sichuan
SRR3680043,Young,0.3496651,Sichuan
SRR3680048,Senior,0.63777786,Sichuan
SRR3680048,Young,0.3622221,Sichuan
SRR3680063,Senior,0.6615439,Sichuan
SRR3680063,Young,0.3384561,Sichuan
SRR5601928,Senior,0.6587901,Jiangsu
SRR5601928,Young,0.34120986,Jiangsu
SRR5601929,Senior,0.630567,Jiangsu
SRR5601929,Young,0.36943302,Jiangsu
SRR5601931,Senior,0.375044,Jiangsu
SRR5601931,Young,0.624956,Jiangsu
SRR5601941,Senior,0.11234977,Jiangsu
SRR5601941,Young,0.88765025,Jiangsu
SRR5601942,Senior,0.64404494,Jiangsu
SRR5601942,Young,0.35595503,Jiangsu
SRR5601965,Senior,0.45438862,Jiangsu
SRR5601965,Young,0.54561144,Jiangsu
SRR5601983,Senior,0.6723099,Jiangsu
SRR5601983,Young,0.3276901,Jiangsu
SRR5601985,Senior,0.57220453,Jiangsu
SRR5601985,Young,0.42779544,Jiangsu
SRR5601989,Senior,0.6621818,Jiangsu
SRR5601989,Young,0.33781818,Jiangsu
SRR5601992,Senior,0.13417777,Jiangsu
SRR5601992,Young,0.86582226,Jiangsu
SRR5601993,Senior,0.59190315,Jiangsu
SRR5601993,Young,0.40809688,Jiangsu
SRR5602005,Senior,0.6723824,Jiangsu
SRR5602005,Young,0.32761762,Jiangsu
SRR5602017,Senior,0.67186034,Jiangsu
SRR5602017,Young,0.32813963,Jiangsu
SRR5602026,Senior,0.25651714,Jiangsu
SRR5602026,Young,0.7434829,Jiangsu
SRR5602034,Senior,0.66010547,Jiangsu
SRR5602034,Young,0.3398945,Jiangsu
SRR5602038,Senior,0.6708851,Jiangsu
SRR5602038,Young,0.32911497,Jiangsu
SRR5602066,Senior,0.632842,Jiangsu
SRR5602066,Young,0.36715797,Jiangsu
SRR5602124,Senior,0.28703904,Jiangsu
SRR5602124,Young,0.71296096,Jiangsu
SRR5602140,Senior,0.43040314,Jiangsu
SRR5602140,Young,0.5695969,Jiangsu
SRR5602142,Senior,0.671457,Jiangsu
SRR5602142,Young,0.328543,Jiangsu
SRR5602152,Senior,0.6723824,Jiangsu
SRR5602152,Young,0.32761762,Jiangsu
SRR5602157,Senior,0.6592809,Jiangsu
SRR5602157,Young,0.34071907,Jiangsu
SRR5602172,Senior,0.47649094,Jiangsu
SRR5602172,Young,0.523509,Jiangsu
SRR5602178,Senior,0.1197296,Jiangsu
SRR5602178,Young,0.8802704,Jiangsu
SRR5602180,Senior,0.67216176,Jiangsu
SRR5602180,Young,0.3278382,Jiangsu
SRR5602189,Senior,0.67229205,Jiangsu
SRR5602189,Young,0.32770798,Jiangsu
SRR5602192,Senior,0.13109744,Jiangsu
SRR5602192,Young,0.86890256,Jiangsu
SRR5602194,Senior,0.033085354,Jiangsu
SRR5602194,Young,0.9669146,Jiangsu
SRR5602199,Senior,0.13465147,Jiangsu
SRR5602199,Young,0.8653485,Jiangsu
SRR5602214,Senior,0.6723789,Jiangsu
SRR5602214,Young,0.32762107,Jiangsu
SRR5602262,Senior,0.6326411,Jiangsu
SRR5602262,Young,0.36735892,Jiangsu
SRR5602287,Senior,0.6723824,Jiangsu
SRR5602287,Young,0.32761762,Jiangsu
SRR5602289,Senior,0.6710136,Jiangsu
SRR5602289,Young,0.32898644,Jiangsu
SRR5602292,Senior,0.2301274,Jiangsu
SRR5602292,Young,0.7698726,Jiangsu
SRR5602296,Senior,0.155322,Jiangsu
SRR5602296,Young,0.844678,Jiangsu
SRR5602297,Senior,0.6723824,Jiangsu
SRR5602297,Young,0.32761762,Jiangsu
SRR5602302,Senior,0.6459956,Jiangsu
SRR5602302,Young,0.35400435,Jiangsu
SRR5602305,Senior,0.24786656,Jiangsu
SRR5602305,Young,0.7521335,Jiangsu
SRR5602310,Senior,0.119900934,Jiangsu
SRR5602310,Young,0.88009906,Jiangsu
SRR5602315,Senior,0.26671267,Jiangsu
SRR5602315,Young,0.7332873,Jiangsu
SRR5602320,Senior,0.12734547,Jiangsu
SRR5602320,Young,0.8726545,Jiangsu
SRR5602327,Senior,0.66988283,Jiangsu
SRR5602327,Young,0.33011714,Jiangsu
SRR5610008,Senior,0.6549867,Jiangsu
SRR5610008,Young,0.34501332,Jiangsu
SRR5610011,Senior,0.606948,Jiangsu
SRR5610011,Young,0.393052,Jiangsu
