SampleID,Env
SRR3679969,root:Elder
SRR3680074,root:Elder
SRR5602095,root:Elder
SRR5602252,root:Elder
SRR5602204,root:Elder
SRR5602278,root:Elder
SRR5602339,root:Elder
SRR5602223,root:Elder
SRR5602285,root:Elder
SRR5602249,root:Elder
SRR5602287,root:Elder
SRR5602137,root:Elder
SRR5602133,root:Elder
SRR5601983,root:Elder
SRR3679962,root:Elder
K316,root:Elder
SRR5602012,root:Elder
SRR5602202,root:Elder
SRR5602316,root:Elder
SRR5602199,root:Elder
SRR5602157,root:Elder
SRR5602122,root:Elder
K125,root:Elder
SRR3679946,root:Elder
SRR5602141,root:Elder
SRR5609970,root:Elder
SRR5602097,root:Elder
SRR5602031,root:Elder
SRR5609969,root:Elder
SRR5602341,root:Elder
SRR3680058,root:Elder
SRR3679979,root:Elder
SRR5602148,root:Elder
SRR3680078,root:Elder
K108,root:Elder
SRR5602296,root:Elder
SRR3680016,root:Elder
C002,root:Elder
SRR5602017,root:Elder
SRR5602038,root:Elder
SRR5602218,root:Elder
SRR5602340,root:Elder
SRR3680036,root:Elder
SRR3680039,root:Elder
SRR5602185,root:Elder
SRR5602175,root:Elder
SRR5602172,root:Elder
SRR5602025,root:Elder
SRR5602032,root:Elder
SRR5602026,root:Elder
SRR5601995,root:Elder
SRR5610014,root:Elder
SRR5601985,root:Elder
SRR3680072,root:Elder
SRR5602315,root:Elder
SRR5602265,root:Elder
SRR5602294,root:Elder
SRR3679974,root:Elder
SRR5602170,root:Elder
SRR3680063,root:Elder
SRR5602328,root:Elder
C007,root:Elder
SRR5602140,root:Elder
SRR5602076,root:Elder
SRR3680048,root:Elder
K306,root:Elder
SRR5602281,root:Elder
SRR5602314,root:Elder
SRR5610085,root:Elder
SRR3680034,root:Elder
SRR5601942,root:Elder
C048,root:Elder
SRR3680046,root:Elder
SRR5602166,root:Elder
SRR5602169,root:Elder
SRR5602329,root:Elder
SRR5602101,root:Elder
SRR3679989,root:Elder
SRR5602312,root:Elder
SRR5602057,root:Elder
SRR5601933,root:Elder
SRR5601928,root:Elder
SRR5602337,root:Elder
SRR5602196,root:Elder
K100,root:Elder
SRR5602008,root:Elder
SRR5602011,root:Elder
