,root:Elder,root:Young
S320,0.030791923,0.96920806
S290,0.052925553,0.9470745
SRR5602345,0.47594768,0.5240523
S330,0.043689933,0.95631003
SRR5602125,0.029995462,0.97000456
SRR5602220,0.17983674,0.8201632
S050,0.052862164,0.9471378
S080,0.028620949,0.97137904
SRR5602155,0.56810826,0.4318918
SRR5602193,0.5118766,0.48812336
SRR5602335,0.5419402,0.45805976
SRR5602119,0.40377146,0.59622854
S150,0.028804237,0.97119576
SRR5602179,0.028620949,0.97137904
SRR3679961,0.535177,0.464823
SRR5602134,0.5644883,0.4355117
S130,0.09360679,0.9063932
S200,0.45883372,0.5411663
S210,0.028979471,0.9710206
SRR5602290,0.028620949,0.97137904
SRR5602138,0.4044145,0.59558547
C052,0.41248578,0.5875142
C012,0.06949323,0.93050677
SRR5602168,0.03998138,0.9600186
SRR5602159,0.48841175,0.5115883
SRR5602160,0.5305802,0.46941972
SRR5602010,0.56943464,0.4305654
C010,0.045811694,0.9541883
S240,0.029452844,0.97054714
S030,0.11318469,0.88681537
SRR5602324,0.37416914,0.6258308
SRR3679980,0.028620949,0.97137904
SRR5602349,0.51864666,0.48135337
S110,0.295185,0.704815
SRR5602182,0.56553286,0.4344671
S100,0.0599087,0.9400913
C042,0.044173375,0.95582664
SRR5602351,0.5701921,0.4298079
SRR5602333,0.039542105,0.9604579
S220,0.5252965,0.4747035
SRR5602092,0.40562344,0.59437656
S120,0.48816505,0.511835
SRR5602260,0.50627935,0.49372062
SRR5602284,0.5677939,0.43220603
C021,0.57001185,0.42998815
SRR5602256,0.17678663,0.82321334
SRR5602234,0.41347185,0.5865282
SRR5602210,0.5014091,0.49859083
S010,0.039234713,0.9607653
S280,0.53581786,0.4641821
S260,0.059486352,0.9405137
S020,0.51226187,0.4877381
SRR5602016,0.5344108,0.46558923
S180,0.5602922,0.43970785
SRR5602145,0.21295297,0.78704697
