,root:Elder,root:Young
S320,0.137625,0.862375
S290,0.48783702,0.512163
SRR5602345,0.727627,0.27237302
S330,0.7235717,0.27642825
SRR5602125,0.13812065,0.86187935
SRR5602220,0.72243243,0.27756754
S050,0.13694385,0.8630561
S080,0.13835439,0.86164564
SRR5602155,0.7262728,0.27372715
SRR5602193,0.21589896,0.78410107
SRR5602335,0.7268427,0.2731573
SRR5602119,0.71293515,0.28706488
S150,0.13835388,0.86164606
SRR5602179,0.72732586,0.2726741
SRR3679961,0.72752476,0.2724752
SRR5602134,0.7266626,0.27333742
S130,0.13809972,0.86190027
S200,0.72627133,0.2737287
S210,0.13821423,0.86178577
SRR5602290,0.7064574,0.2935426
SRR5602138,0.6713294,0.32867068
C052,0.72798187,0.27201807
C012,0.13862908,0.8613709
SRR5602168,0.13834347,0.86165655
SRR5602159,0.68769515,0.31230485
SRR5602160,0.7273768,0.27262312
SRR5602010,0.7274496,0.2725504
C010,0.44787776,0.55212224
S240,0.17423427,0.8257657
S030,0.13835439,0.86164564
SRR5602324,0.7110523,0.28894773
SRR3679980,0.7280335,0.27196652
SRR5602349,0.4424425,0.5575575
S110,0.13831444,0.8616856
SRR5602182,0.7279982,0.27200183
S100,0.6350501,0.3649499
C042,0.13785432,0.8621457
SRR5602351,0.727872,0.272128
SRR5602333,0.47455183,0.52544814
S220,0.54457927,0.45542073
SRR5602092,0.721631,0.27836898
S120,0.7263816,0.27361837
SRR5602260,0.72803146,0.2719685
SRR5602284,0.7279962,0.27200386
C021,0.7280335,0.27196652
SRR5602256,0.29622978,0.7037702
SRR5602234,0.70782316,0.29217687
SRR5602210,0.5201271,0.47987285
S010,0.1375503,0.86244977
S280,0.7276143,0.27238575
S260,0.17736603,0.82263404
S020,0.72703487,0.2729652
SRR5602016,0.7268595,0.2731405
S180,0.7279183,0.2720817
SRR5602145,0.5569033,0.44309664
