,SampleID,Env,Region,Contribution
C010,,Senior,Italy,0.042377524
C010,,Young,Italy,0.95762247
C012,,Senior,Italy,0.058020435
C012,,Young,Italy,0.9419796
C021,,Senior,Italy,0.5664654
C021,,Young,Italy,0.43353462
C042,,Senior,Italy,0.07761491
C042,,Young,Italy,0.9223851
C052,,Senior,Italy,0.5178693
C052,,Young,Italy,0.4821308
S010,,Senior,Italy,0.040290467
S010,,Young,Italy,0.9597095
S020,,Senior,Italy,0.5260813
S020,,Young,Italy,0.47391865
S030,,Senior,Italy,0.56684446
S030,,Young,Italy,0.43315557
S050,,Senior,Italy,0.07238386
S050,,Young,Italy,0.9276161
S080,,Senior,Italy,0.028621433
S080,,Young,Italy,0.9713786
S100,,Senior,Italy,0.061214894
S100,,Young,Italy,0.9387851
S110,,Senior,Italy,0.35935682
S110,,Young,Italy,0.6406432
S120,,Senior,Italy,0.2422429
S120,,Young,Italy,0.7577571
S130,,Senior,Italy,0.0433532
S130,,Young,Italy,0.9566468
S150,,Senior,Italy,0.029199405
S150,,Young,Italy,0.9708006
S180,,Senior,Italy,0.54975915
S180,,Young,Italy,0.45024088
S200,,Senior,Italy,0.09092194
S200,,Young,Italy,0.90907806
S210,,Senior,Italy,0.03013006
S210,,Young,Italy,0.96987
S220,,Senior,Italy,0.2812239
S220,,Young,Italy,0.71877617
S240,,Senior,Italy,0.030183075
S240,,Young,Italy,0.9698169
S260,,Senior,Italy,0.05376313
S260,,Young,Italy,0.9462369
S280,,Senior,Italy,0.56638193
S280,,Young,Italy,0.43361804
S290,,Senior,Italy,0.056385558
S290,,Young,Italy,0.9436145
S320,,Senior,Italy,0.031925976
S320,,Young,Italy,0.96807396
S330,,Senior,Italy,0.09153944
S330,,Young,Italy,0.9084605
SRR3679961,,Senior,Sichuan,0.5189892
SRR3679961,,Young,Sichuan,0.48101076
SRR3679980,,Senior,Sichuan,0.028621433
SRR3679980,,Young,Sichuan,0.9713786
SRR5602010,,Senior,Jiangsu,0.5690151
SRR5602010,,Young,Jiangsu,0.43098497
SRR5602016,,Senior,Jiangsu,0.52170265
SRR5602016,,Young,Jiangsu,0.47829732
SRR5602092,,Senior,Jiangsu,0.37026402
SRR5602092,,Young,Jiangsu,0.62973595
SRR5602119,,Senior,Jiangsu,0.321788
SRR5602119,,Young,Jiangsu,0.67821205
SRR5602125,,Senior,Jiangsu,0.032729365
SRR5602125,,Young,Jiangsu,0.9672706
SRR5602134,,Senior,Jiangsu,0.5342328
SRR5602134,,Young,Jiangsu,0.46576715
SRR5602138,,Senior,Jiangsu,0.31074023
SRR5602138,,Young,Jiangsu,0.68925977
SRR5602145,,Senior,Jiangsu,0.27313522
SRR5602145,,Young,Jiangsu,0.72686476
SRR5602155,,Senior,Jiangsu,0.5544042
SRR5602155,,Young,Jiangsu,0.4455958
SRR5602159,,Senior,Jiangsu,0.34905487
SRR5602159,,Young,Jiangsu,0.6509452
SRR5602160,,Senior,Jiangsu,0.5152331
SRR5602160,,Young,Jiangsu,0.4847669
SRR5602168,,Senior,Jiangsu,0.038237292
SRR5602168,,Young,Jiangsu,0.9617627
SRR5602179,,Senior,Jiangsu,0.4780594
SRR5602179,,Young,Jiangsu,0.5219406
